Time,O2,CH4,CO,CO2,H2O
0,0.8,0.1,0,0,0
0.05,0.67293,0.060648,0.053092,0.024787,0.088541
0.1,0.58391,0.036772,0.064434,0.072623,0.14226
0.15,0.52265,0.022285,0.058647,0.12156,0.17486
0.2,0.48111,0.013501,0.047425,0.16335,0.19462
0.25,0.45325,0.0081784,0.03594,0.19603,0.2066
0.3,0.43475,0.004954,0.026139,0.2203,0.21385
0.35,0.42256,0.0030008,0.01848,0.23771,0.21825
0.4,0.41458,0.0018177,0.012797,0.24989,0.22091
0.45,0.40939,0.0011011,0.0087229,0.25826,0.22252
0.5,0.40602,0.00066697,0.005872,0.26394,0.2235
0.55,0.40385,0.00040401,0.0039132,0.26774,0.22409
0.6,0.40246,0.00024472,0.0025862,0.27026,0.22445
0.65,0.40156,0.00014824,0.0016973,0.27193,0.22467
0.7,0.40099,8.98E-05,0.0011073,0.27301,0.2248
0.75,0.40063,5.44E-05,0.00071872,0.27372,0.22488
0.8,0.4004,3.29E-05,0.00046442,0.27418,0.22493
0.85,0.40025,2.00E-05,0.00029892,0.27448,0.22496
0.9,0.40016,1.21E-05,0.00019173,0.27467,0.22497
0.95,0.4001,7.32E-06,0.00012259,0.27479,0.22498
1,0.40006,4.43E-06,7.81E-05,0.27487,0.22499
