Z,TEMP_MIN,TEMP_AVG,TEMP_MAX
 m,C,C,C
 0.00000E+00, 0.59320E+02, 0.60051E+02, 0.63526E+02
 0.10000E+00, 0.58908E+02, 0.59763E+02, 0.64004E+02
 0.20000E+00, 0.59031E+02, 0.59509E+02, 0.65265E+02
 0.30000E+00, 0.60662E+02, 0.59974E+02, 0.66264E+02
 0.40000E+00, 0.62477E+02, 0.61236E+02, 0.66928E+02
 0.50000E+00, 0.63529E+02, 0.63845E+02, 0.68817E+02
 0.60000E+00, 0.65878E+02, 0.68025E+02, 0.71772E+02
 0.70000E+00, 0.71554E+02, 0.73038E+02, 0.76775E+02
 0.80000E+00, 0.81639E+02, 0.79895E+02, 0.87007E+02
 0.90000E+00, 0.94806E+02, 0.91108E+02, 0.10308E+03
 0.10000E+01, 0.11292E+03, 0.11323E+03, 0.12650E+03
 0.11000E+01, 0.15453E+03, 0.15721E+03, 0.16276E+03
 0.12000E+01, 0.21531E+03, 0.21424E+03, 0.22190E+03
 0.13000E+01, 0.29164E+03, 0.28754E+03, 0.29830E+03
 0.14000E+01, 0.38104E+03, 0.37885E+03, 0.37406E+03
 0.15000E+01, 0.45807E+03, 0.46253E+03, 0.44549E+03
 0.16000E+01, 0.52463E+03, 0.52839E+03, 0.50652E+03
 0.17000E+01, 0.58337E+03, 0.58072E+03, 0.55398E+03
 0.18000E+01, 0.62709E+03, 0.61899E+03, 0.59178E+03
 0.19000E+01, 0.66019E+03, 0.64379E+03, 0.62163E+03
 0.20000E+01, 0.68543E+03, 0.66265E+03, 0.64239E+03
 0.21000E+01, 0.70209E+03, 0.68130E+03, 0.65409E+03
 0.22000E+01, 0.71065E+03, 0.69749E+03, 0.66303E+03
 0.23000E+01, 0.71482E+03, 0.70830E+03, 0.67340E+03
 0.24000E+01, 0.72198E+03, 0.71759E+03, 0.68612E+03
 0.25000E+01, 0.73730E+03, 0.72886E+03, 0.69968E+03
 0.26000E+01, 0.77024E+03, 0.75395E+03, 0.72095E+03
 0.27000E+01, 0.86398E+03, 0.84084E+03, 0.79609E+03
 0.28000E+01, 0.93492E+03, 0.90948E+03, 0.85672E+03
