s,kW,kW,kW,kW,kg/s
FDS_HRR_Time,HRR,RAD_LOSS,CONV_LOSS,COND_LOSS,BURN_RATE
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3254933E-003, 0.0000000E+000, 0.0000000E+000
 5.0173573E+000, 1.1051982E+002, 3.9123074E+001,-4.9558626E+001, 7.4290659E+001, 2.3329029E-003
 1.0011583E+001, 2.7877222E+002, 1.0614456E+002, 1.1609546E+002, 1.6181135E+002, 5.9253834E-003
 1.5008538E+001, 4.5619285E+002, 1.8520427E+002, 1.8511272E+002, 2.7072403E+002, 9.7093606E-003
 2.0000069E+001, 6.3908206E+002, 2.8162211E+002, 2.1602256E+002, 4.0222167E+002, 1.3528134E-002
 2.5002083E+001, 8.2180910E+002, 3.8333300E+002, 2.5926559E+002, 5.3227672E+002, 1.7370760E-002
 3.0007727E+001, 1.0111660E+003, 4.9491472E+002, 3.0001518E+002, 6.7166565E+002, 2.1227237E-002
 3.5008518E+001, 1.1860748E+003, 6.2498344E+002, 3.0549902E+002, 8.2969413E+002, 2.4831735E-002
 4.0005615E+001, 1.2567316E+003, 6.9380576E+002, 2.8807608E+002, 9.1933043E+002, 2.5995206E-002
 4.5004761E+001, 1.2852616E+003, 7.3401706E+002, 2.6696837E+002, 9.7022619E+002, 2.6605886E-002
 5.0002773E+001, 1.3158495E+003, 7.8144858E+002, 2.3654655E+002, 1.0272667E+003, 2.7204580E-002
 5.5006462E+001, 1.3354931E+003, 8.1275998E+002, 2.2047138E+002, 1.0634992E+003, 2.7813010E-002
 6.0003803E+001, 1.3841963E+003, 8.4973640E+002, 2.2383733E+002, 1.1043632E+003, 2.8412316E-002
 6.5001465E+001, 1.4093822E+003, 8.7555743E+002, 2.1747573E+002, 1.1406290E+003, 2.9015692E-002
 7.0008270E+001, 1.4258482E+003, 8.9262242E+002, 2.1289962E+002, 1.1665120E+003, 2.9619247E-002
 7.5000877E+001, 1.4494450E+003, 9.4991856E+002, 1.7883422E+002, 1.2074012E+003, 3.0225016E-002
 8.0002106E+001, 1.4869216E+003, 9.7495850E+002, 1.9379262E+002, 1.2374208E+003, 3.0828465E-002
 8.5005882E+001, 1.5201180E+003, 9.9310540E+002, 2.0356357E+002, 1.2558086E+003, 3.1433615E-002
 9.0005234E+001, 1.5417717E+003, 1.0153811E+003, 1.9553167E+002, 1.2784909E+003, 3.2036941E-002
 9.5003700E+001, 1.5749307E+003, 1.0477314E+003, 2.0003864E+002, 1.3098132E+003, 3.2637056E-002
 1.0000217E+002, 1.6018788E+003, 1.0726024E+003, 2.0256749E+002, 1.3374192E+003, 3.3243913E-002
 1.0500972E+002, 1.6311611E+003, 1.0913916E+003, 2.0969420E+002, 1.3509611E+003, 3.3847431E-002
 1.1000750E+002, 1.6694652E+003, 1.1244894E+003, 2.1666917E+002, 1.3879243E+003, 3.4452695E-002
 1.1500391E+002, 1.6753498E+003, 1.1363522E+003, 2.0549338E+002, 1.4020172E+003, 3.5052982E-002
 1.2000584E+002, 1.7255978E+003, 1.1692067E+003, 2.1983312E+002, 1.4345807E+003, 3.5658594E-002
 1.2500545E+002, 1.7414241E+003, 1.1866124E+003, 2.2232361E+002, 1.4536655E+003, 3.6264408E-002
