Z,TEMP_MIN,TEMP_AVG,TEMP_MAX
 m,C,C,C
 0.00000E+00, 0.40960E+02, 0.44605E+02, 0.60810E+02
 0.10000E+00, 0.41212E+02, 0.44826E+02, 0.61033E+02
 0.20000E+00, 0.42000E+02, 0.45281E+02, 0.61766E+02
 0.30000E+00, 0.43144E+02, 0.46642E+02, 0.63099E+02
 0.40000E+00, 0.44907E+02, 0.49149E+02, 0.65244E+02
 0.50000E+00, 0.47256E+02, 0.51881E+02, 0.68631E+02
 0.60000E+00, 0.50674E+02, 0.55295E+02, 0.73896E+02
 0.70000E+00, 0.55338E+02, 0.59431E+02, 0.81257E+02
 0.80000E+00, 0.61727E+02, 0.63848E+02, 0.91488E+02
 0.90000E+00, 0.70439E+02, 0.70900E+02, 0.10618E+03
 0.10000E+01, 0.84885E+02, 0.86796E+02, 0.13182E+03
 0.11000E+01, 0.10927E+03, 0.12076E+03, 0.17950E+03
 0.12000E+01, 0.14876E+03, 0.16814E+03, 0.23866E+03
 0.13000E+01, 0.19893E+03, 0.22231E+03, 0.29960E+03
 0.14000E+01, 0.25827E+03, 0.29149E+03, 0.37504E+03
 0.15000E+01, 0.32281E+03, 0.37965E+03, 0.46831E+03
 0.16000E+01, 0.37049E+03, 0.45176E+03, 0.56303E+03
 0.17000E+01, 0.39293E+03, 0.48460E+03, 0.63458E+03
 0.18000E+01, 0.40298E+03, 0.50440E+03, 0.68194E+03
 0.19000E+01, 0.41262E+03, 0.52830E+03, 0.71818E+03
 0.20000E+01, 0.42361E+03, 0.54924E+03, 0.74732E+03
 0.21000E+01, 0.43394E+03, 0.56019E+03, 0.77335E+03
 0.22000E+01, 0.44167E+03, 0.56628E+03, 0.78998E+03
 0.23000E+01, 0.44533E+03, 0.57150E+03, 0.79925E+03
 0.24000E+01, 0.44469E+03, 0.57614E+03, 0.81015E+03
 0.25000E+01, 0.44240E+03, 0.58031E+03, 0.82663E+03
 0.26000E+01, 0.44830E+03, 0.58891E+03, 0.86402E+03
 0.27000E+01, 0.48692E+03, 0.65190E+03, 0.95368E+03
 0.28000E+01, 0.51823E+03, 0.70834E+03, 0.10171E+04
