Z,TEMP_MIN,TEMP_AVG,TEMP_MAX
 m,C,C,C
 0.00000E+00, 0.43181E+02, 0.61073E+02, 0.77776E+02
 0.10000E+00, 0.42928E+02, 0.60174E+02, 0.76961E+02
 0.20000E+00, 0.42877E+02, 0.58816E+02, 0.76628E+02
 0.30000E+00, 0.43133E+02, 0.58545E+02, 0.77333E+02
 0.40000E+00, 0.43576E+02, 0.60134E+02, 0.79389E+02
 0.50000E+00, 0.45011E+02, 0.62605E+02, 0.83911E+02
 0.60000E+00, 0.48046E+02, 0.66261E+02, 0.88672E+02
 0.70000E+00, 0.53306E+02, 0.73689E+02, 0.95511E+02
 0.80000E+00, 0.61003E+02, 0.85326E+02, 0.10839E+03
 0.90000E+00, 0.70513E+02, 0.99433E+02, 0.12950E+03
 0.10000E+01, 0.82754E+02, 0.12016E+03, 0.16162E+03
 0.11000E+01, 0.11163E+03, 0.15480E+03, 0.20139E+03
 0.12000E+01, 0.16146E+03, 0.20748E+03, 0.24735E+03
 0.13000E+01, 0.24145E+03, 0.28372E+03, 0.31068E+03
 0.14000E+01, 0.33575E+03, 0.36207E+03, 0.39318E+03
 0.15000E+01, 0.40173E+03, 0.43442E+03, 0.48728E+03
 0.16000E+01, 0.43530E+03, 0.50681E+03, 0.58579E+03
 0.17000E+01, 0.45429E+03, 0.57132E+03, 0.67030E+03
 0.18000E+01, 0.47449E+03, 0.62391E+03, 0.72017E+03
 0.19000E+01, 0.49433E+03, 0.65430E+03, 0.74075E+03
 0.20000E+01, 0.50665E+03, 0.66955E+03, 0.74759E+03
 0.21000E+01, 0.51246E+03, 0.68224E+03, 0.75332E+03
 0.22000E+01, 0.51689E+03, 0.69447E+03, 0.76229E+03
 0.23000E+01, 0.52047E+03, 0.70433E+03, 0.77272E+03
 0.24000E+01, 0.52263E+03, 0.71457E+03, 0.79056E+03
 0.25000E+01, 0.52663E+03, 0.73409E+03, 0.81044E+03
 0.26000E+01, 0.53712E+03, 0.76723E+03, 0.84307E+03
 0.27000E+01, 0.57719E+03, 0.84214E+03, 0.92922E+03
 0.28000E+01, 0.60986E+03, 0.89693E+03, 0.99147E+03
