Z,TEMP_MIN,TEMP_AVG,TEMP_MAX
 m,C,C,C
 0.00000E+00, 0.43722E+02, 0.61024E+02, 0.84663E+02
 0.10000E+00, 0.43941E+02, 0.60301E+02, 0.83419E+02
 0.20000E+00, 0.44588E+02, 0.59857E+02, 0.81875E+02
 0.30000E+00, 0.45197E+02, 0.60606E+02, 0.81681E+02
 0.40000E+00, 0.46033E+02, 0.61722E+02, 0.82410E+02
 0.50000E+00, 0.47969E+02, 0.63868E+02, 0.84963E+02
 0.60000E+00, 0.50903E+02, 0.67463E+02, 0.90922E+02
 0.70000E+00, 0.55593E+02, 0.72574E+02, 0.10076E+03
 0.80000E+00, 0.62589E+02, 0.79871E+02, 0.11319E+03
 0.90000E+00, 0.72407E+02, 0.91989E+02, 0.13094E+03
 0.10000E+01, 0.87725E+02, 0.11421E+03, 0.16137E+03
 0.11000E+01, 0.12290E+03, 0.15655E+03, 0.20234E+03
 0.12000E+01, 0.18404E+03, 0.21350E+03, 0.24995E+03
 0.13000E+01, 0.25932E+03, 0.29018E+03, 0.30825E+03
 0.14000E+01, 0.33401E+03, 0.39106E+03, 0.38612E+03
 0.15000E+01, 0.39156E+03, 0.47922E+03, 0.48347E+03
 0.16000E+01, 0.43320E+03, 0.54121E+03, 0.58673E+03
 0.17000E+01, 0.46768E+03, 0.58339E+03, 0.67696E+03
 0.18000E+01, 0.49045E+03, 0.61269E+03, 0.73089E+03
 0.19000E+01, 0.50520E+03, 0.63502E+03, 0.75093E+03
 0.20000E+01, 0.51393E+03, 0.65169E+03, 0.76508E+03
 0.21000E+01, 0.51671E+03, 0.66765E+03, 0.77978E+03
 0.22000E+01, 0.52101E+03, 0.68085E+03, 0.78990E+03
 0.23000E+01, 0.52591E+03, 0.69039E+03, 0.80041E+03
 0.24000E+01, 0.53035E+03, 0.69917E+03, 0.81618E+03
 0.25000E+01, 0.53749E+03, 0.71140E+03, 0.83337E+03
 0.26000E+01, 0.54969E+03, 0.74097E+03, 0.85763E+03
 0.27000E+01, 0.60127E+03, 0.82440E+03, 0.93197E+03
 0.28000E+01, 0.64552E+03, 0.88550E+03, 0.98932E+03
