Z,TEMP_MIN,TEMP_AVG,TEMP_MAX
 m,C,C,C
 0.00000E+00, 0.60799E+02, 0.85203E+02, 0.11301E+03
 0.10000E+00, 0.60316E+02, 0.84245E+02, 0.11202E+03
 0.20000E+00, 0.58938E+02, 0.83358E+02, 0.11258E+03
 0.30000E+00, 0.58139E+02, 0.83972E+02, 0.11557E+03
 0.40000E+00, 0.58960E+02, 0.84788E+02, 0.11978E+03
 0.50000E+00, 0.60344E+02, 0.86810E+02, 0.12584E+03
 0.60000E+00, 0.63295E+02, 0.91910E+02, 0.13306E+03
 0.70000E+00, 0.69687E+02, 0.99104E+02, 0.14196E+03
 0.80000E+00, 0.79706E+02, 0.10811E+03, 0.15322E+03
 0.90000E+00, 0.92490E+02, 0.12410E+03, 0.16846E+03
 0.10000E+01, 0.11468E+03, 0.15968E+03, 0.19764E+03
 0.11000E+01, 0.14956E+03, 0.21193E+03, 0.25272E+03
 0.12000E+01, 0.19612E+03, 0.26130E+03, 0.31837E+03
 0.13000E+01, 0.25997E+03, 0.31298E+03, 0.37686E+03
 0.14000E+01, 0.33529E+03, 0.37483E+03, 0.43311E+03
 0.15000E+01, 0.41321E+03, 0.44671E+03, 0.50946E+03
 0.16000E+01, 0.47772E+03, 0.52970E+03, 0.61425E+03
 0.17000E+01, 0.51442E+03, 0.60878E+03, 0.72152E+03
 0.18000E+01, 0.53750E+03, 0.67439E+03, 0.79747E+03
 0.19000E+01, 0.55554E+03, 0.71815E+03, 0.84478E+03
 0.20000E+01, 0.56650E+03, 0.74607E+03, 0.87050E+03
 0.21000E+01, 0.57228E+03, 0.76744E+03, 0.87352E+03
 0.22000E+01, 0.57458E+03, 0.77895E+03, 0.87569E+03
 0.23000E+01, 0.57600E+03, 0.78435E+03, 0.88316E+03
 0.24000E+01, 0.57672E+03, 0.79536E+03, 0.89257E+03
 0.25000E+01, 0.58017E+03, 0.82065E+03, 0.90578E+03
 0.26000E+01, 0.59252E+03, 0.85935E+03, 0.92225E+03
 0.27000E+01, 0.64336E+03, 0.94424E+03, 0.96070E+03
 0.28000E+01, 0.68510E+03, 0.10061E+04, 0.99069E+03
