Z,TEMP_MIN,TEMP_AVG,TEMP_MAX
 m,C,C,C
 0.00000E+00, 0.34501E+02, 0.38895E+02, 0.49915E+02
 0.10000E+00, 0.34635E+02, 0.39141E+02, 0.49547E+02
 0.20000E+00, 0.34763E+02, 0.39469E+02, 0.49339E+02
 0.30000E+00, 0.35005E+02, 0.39856E+02, 0.49610E+02
 0.40000E+00, 0.35576E+02, 0.40831E+02, 0.49848E+02
 0.50000E+00, 0.36223E+02, 0.42358E+02, 0.50571E+02
 0.60000E+00, 0.37124E+02, 0.44304E+02, 0.52626E+02
 0.70000E+00, 0.38676E+02, 0.47048E+02, 0.57917E+02
 0.80000E+00, 0.41545E+02, 0.52226E+02, 0.67927E+02
 0.90000E+00, 0.46631E+02, 0.60128E+02, 0.80217E+02
 0.10000E+01, 0.53880E+02, 0.70350E+02, 0.94346E+02
 0.11000E+01, 0.68571E+02, 0.91425E+02, 0.11659E+03
 0.12000E+01, 0.10009E+03, 0.13186E+03, 0.15802E+03
 0.13000E+01, 0.14614E+03, 0.18572E+03, 0.22231E+03
 0.14000E+01, 0.20146E+03, 0.25122E+03, 0.30288E+03
 0.15000E+01, 0.26655E+03, 0.33053E+03, 0.38791E+03
 0.16000E+01, 0.32858E+03, 0.40746E+03, 0.47852E+03
 0.17000E+01, 0.36894E+03, 0.46402E+03, 0.58161E+03
 0.18000E+01, 0.38677E+03, 0.49685E+03, 0.68756E+03
 0.19000E+01, 0.39202E+03, 0.51397E+03, 0.76114E+03
 0.20000E+01, 0.39478E+03, 0.52695E+03, 0.78531E+03
 0.21000E+01, 0.39729E+03, 0.53899E+03, 0.78752E+03
 0.22000E+01, 0.39798E+03, 0.54642E+03, 0.78776E+03
 0.23000E+01, 0.39847E+03, 0.54901E+03, 0.79131E+03
 0.24000E+01, 0.39975E+03, 0.54957E+03, 0.79985E+03
 0.25000E+01, 0.40150E+03, 0.55131E+03, 0.80701E+03
 0.26000E+01, 0.40535E+03, 0.55788E+03, 0.82978E+03
 0.27000E+01, 0.42128E+03, 0.59821E+03, 0.91387E+03
 0.28000E+01, 0.43409E+03, 0.63372E+03, 0.97681E+03
