s,C,C,C,C,C,C,C,C,C
FDS Time,TC03S,TC06S,TC10S,TC03M,TC06M,TC10M,TC03L,TC06L,TC10L
 0.0000000E+000, 4.3641138E+001, 4.3602796E+001, 4.3609371E+001, 4.3641138E+001, 4.3602796E+001, 4.3609371E+001, 4.3641138E+001, 4.3602796E+001, 4.3609371E+001
 5.0069590E+000, 4.4074635E+001, 4.4139290E+001, 4.4196940E+001, 4.4074635E+001, 4.4139290E+001, 4.4196940E+001, 4.4074635E+001, 4.4139290E+001, 4.4196940E+001
 1.0005675E+001, 6.6649085E+001, 6.2092946E+001, 4.3843946E+001, 6.6649085E+001, 6.2092946E+001, 4.3843946E+001, 6.6649085E+001, 6.2092946E+001, 4.3843946E+001
 1.5009431E+001, 1.1023485E+002, 9.4392166E+001, 4.6066044E+001, 1.1019108E+002, 9.4521317E+001, 4.6095391E+001, 1.1019108E+002, 9.4521317E+001, 4.6095391E+001
 2.0009777E+001, 1.5396208E+002, 1.4693348E+002, 4.6863847E+001, 1.6002266E+002, 1.4694612E+002, 4.6944045E+001, 1.6002266E+002, 1.4694612E+002, 4.6944045E+001
 2.5010036E+001, 1.9119182E+002, 1.7092322E+002, 4.8285656E+001, 1.9769288E+002, 1.8002140E+002, 4.7779055E+001, 1.9769288E+002, 1.8002140E+002, 4.7779055E+001
 3.0000826E+001, 2.6419346E+002, 2.2837351E+002, 4.9410302E+001, 2.5948661E+002, 2.3140017E+002, 5.0832886E+001, 2.5948661E+002, 2.3140017E+002, 5.0832886E+001
 3.5007397E+001, 2.8373649E+002, 2.6240208E+002, 4.7271249E+001, 3.0778306E+002, 2.9304517E+002, 5.1504002E+001, 3.0778306E+002, 2.9304517E+002, 5.1504002E+001
 4.0006493E+001, 3.3570540E+002, 3.1898073E+002, 5.1557481E+001, 3.7794902E+002, 3.3889473E+002, 5.8437921E+001, 3.7794902E+002, 3.3889473E+002, 5.8437921E+001
 4.5005894E+001, 4.2078321E+002, 3.4911341E+002, 5.6232073E+001, 4.1654045E+002, 3.7974990E+002, 5.8339487E+001, 4.1654045E+002, 3.7974990E+002, 5.8339487E+001
 5.0002083E+001, 4.7272762E+002, 3.7311080E+002, 5.9271611E+001, 4.1845490E+002, 4.0116473E+002, 5.6968008E+001, 4.1845490E+002, 4.0116473E+002, 5.6968008E+001
 5.5005020E+001, 4.7134068E+002, 4.2912194E+002, 5.9435310E+001, 4.8710795E+002, 4.0880811E+002, 6.4822421E+001, 4.8710795E+002, 4.0880811E+002, 6.4822421E+001
 6.0005985E+001, 4.6345358E+002, 4.3571381E+002, 6.2276486E+001, 5.7203258E+002, 3.9821339E+002, 7.4834816E+001, 5.7203258E+002, 3.9821339E+002, 7.4834816E+001
 6.5003723E+001, 5.3857382E+002, 4.5204880E+002, 7.4060721E+001, 5.6156538E+002, 4.5308677E+002, 7.8976548E+001, 5.6156538E+002, 4.5308677E+002, 7.8976548E+001
 7.0004913E+001, 6.0949004E+002, 4.6496118E+002, 7.5357693E+001, 5.9891115E+002, 4.5318413E+002, 8.1599020E+001, 5.9891115E+002, 4.5318413E+002, 8.1599020E+001
 7.5002609E+001, 6.3803938E+002, 4.8390752E+002, 8.0574571E+001, 5.3129016E+002, 4.8959424E+002, 7.9277471E+001, 5.3129016E+002, 4.8959424E+002, 7.9277471E+001
 8.0002380E+001, 6.1222442E+002, 4.6123849E+002, 8.2037069E+001, 5.8208764E+002, 4.7118921E+002, 8.2143883E+001, 5.8208764E+002, 4.7118921E+002, 8.2143883E+001
 8.5005165E+001, 5.4630427E+002, 4.6842300E+002, 8.2808581E+001, 5.8298292E+002, 5.1992414E+002, 8.5463467E+001, 5.8298292E+002, 5.1992414E+002, 8.5463467E+001
 9.0003357E+001, 5.4842856E+002, 5.0948055E+002, 8.3787496E+001, 5.1922090E+002, 4.8296841E+002, 7.8478486E+001, 5.1922090E+002, 4.8296841E+002, 7.8478486E+001
 9.5004715E+001, 6.0131759E+002, 4.9267799E+002, 8.4071684E+001, 5.5123263E+002, 5.2223754E+002, 8.4056739E+001, 5.5123263E+002, 5.2223754E+002, 8.4056739E+001
 1.0000469E+002, 5.5201969E+002, 5.2058705E+002, 8.6187328E+001, 5.5471609E+002, 5.2685561E+002, 8.6782315E+001, 5.5471609E+002, 5.2685561E+002, 8.6782315E+001
 1.0500819E+002, 6.1301565E+002, 4.8803272E+002, 8.5596423E+001, 5.5676174E+002, 5.0251942E+002, 8.9858906E+001, 5.5676174E+002, 5.0251942E+002, 8.9858906E+001
 1.1000215E+002, 5.7446651E+002, 5.0897115E+002, 9.2950450E+001, 5.6854437E+002, 5.3793280E+002, 8.5050410E+001, 5.6854437E+002, 5.3793280E+002, 8.5050410E+001
 1.1500340E+002, 5.9287208E+002, 5.4969557E+002, 9.3386669E+001, 5.6839734E+002, 5.2468887E+002, 9.0171616E+001, 5.6839734E+002, 5.2468887E+002, 9.0171616E+001
 1.2000974E+002, 6.3937938E+002, 4.7023330E+002, 9.1030883E+001, 5.9309500E+002, 5.4342078E+002, 9.3630374E+001, 5.9309500E+002, 5.4342078E+002, 9.3630374E+001
 1.2500434E+002, 6.1778562E+002, 5.0381502E+002, 9.3815962E+001, 6.2032413E+002, 5.3741861E+002, 9.5335725E+001, 6.2032413E+002, 5.3741861E+002, 9.5335725E+001
 1.3000914E+002, 6.5449395E+002, 4.8917604E+002, 9.3410740E+001, 6.4412913E+002, 5.3417113E+002, 1.0172093E+002, 6.4412913E+002, 5.3417113E+002, 1.0172093E+002
 1.3500169E+002, 6.8059876E+002, 5.1660380E+002, 1.0326767E+002, 5.8983084E+002, 5.3860296E+002, 9.0728625E+001, 5.8983084E+002, 5.3860296E+002, 9.0728625E+001
 1.4000191E+002, 6.8050340E+002, 5.1751594E+002, 1.0748265E+002, 6.4944779E+002, 5.1705963E+002, 1.0122251E+002, 6.4944779E+002, 5.1705963E+002, 1.0122251E+002
 1.4500754E+002, 7.4267679E+002, 5.0670553E+002, 1.1729333E+002, 6.5303849E+002, 5.6867064E+002, 1.0291791E+002, 6.5303849E+002, 5.6867064E+002, 1.0291791E+002
 1.5000922E+002, 6.7622359E+002, 5.0576947E+002, 1.0685915E+002, 7.0886707E+002, 5.7179036E+002, 9.8852979E+001, 7.0886707E+002, 5.7179036E+002, 9.8852979E+001
 1.5500966E+002, 7.3660561E+002, 5.2647340E+002, 1.1800985E+002, 6.9224197E+002, 5.0515551E+002, 1.0859235E+002, 6.9224197E+002, 5.0515551E+002, 1.0859235E+002
 1.6000793E+002, 6.4529171E+002, 5.5087794E+002, 1.0595699E+002, 6.9079780E+002, 5.5802243E+002, 1.0797872E+002, 6.9079780E+002, 5.5802243E+002, 1.0797872E+002
 1.6500015E+002, 6.4567750E+002, 5.9380846E+002, 1.0382197E+002, 7.0795826E+002, 5.4063627E+002, 1.1671621E+002, 7.0795826E+002, 5.4063627E+002, 1.1671621E+002
 1.7000142E+002, 6.6892809E+002, 5.7202500E+002, 9.7500382E+001, 7.1510560E+002, 6.0071522E+002, 1.1416559E+002, 7.1510560E+002, 6.0071522E+002, 1.1416559E+002
 1.7500278E+002, 6.4862572E+002, 5.2552216E+002, 1.0267193E+002, 7.0979189E+002, 5.4876933E+002, 1.0815448E+002, 7.0979189E+002, 5.4876933E+002, 1.0815448E+002
 1.8000894E+002, 6.6326620E+002, 5.5078567E+002, 1.0221839E+002, 7.1698271E+002, 5.0388547E+002, 1.1661209E+002, 7.1698271E+002, 5.0388547E+002, 1.1661209E+002
