Z,TEMP_MIN,TEMP_AVG,TEMP_MAX
 m,C,C,C
 0.00000E+00, 0.46042E+02, 0.43961E+02, 0.46734E+02
 0.10000E+00, 0.45909E+02, 0.43716E+02, 0.47030E+02
 0.20000E+00, 0.46220E+02, 0.43552E+02, 0.47895E+02
 0.30000E+00, 0.47538E+02, 0.44419E+02, 0.49432E+02
 0.40000E+00, 0.50039E+02, 0.46185E+02, 0.51539E+02
 0.50000E+00, 0.53635E+02, 0.48436E+02, 0.54039E+02
 0.60000E+00, 0.57949E+02, 0.51433E+02, 0.57590E+02
 0.70000E+00, 0.63580E+02, 0.56132E+02, 0.62753E+02
 0.80000E+00, 0.72151E+02, 0.62602E+02, 0.68927E+02
 0.90000E+00, 0.84026E+02, 0.71920E+02, 0.76172E+02
 0.10000E+01, 0.99979E+02, 0.92299E+02, 0.88528E+02
 0.11000E+01, 0.12795E+03, 0.12678E+03, 0.11552E+03
 0.12000E+01, 0.16792E+03, 0.18017E+03, 0.16192E+03
 0.13000E+01, 0.22850E+03, 0.25230E+03, 0.22233E+03
 0.14000E+01, 0.32209E+03, 0.32687E+03, 0.29010E+03
 0.15000E+01, 0.42661E+03, 0.39359E+03, 0.37119E+03
 0.16000E+01, 0.48985E+03, 0.44419E+03, 0.45081E+03
 0.17000E+01, 0.50753E+03, 0.47833E+03, 0.50090E+03
 0.18000E+01, 0.52291E+03, 0.50717E+03, 0.52830E+03
 0.19000E+01, 0.54204E+03, 0.52808E+03, 0.54425E+03
 0.20000E+01, 0.55331E+03, 0.53685E+03, 0.55396E+03
 0.21000E+01, 0.55697E+03, 0.54201E+03, 0.56481E+03
 0.22000E+01, 0.55760E+03, 0.54952E+03, 0.57296E+03
 0.23000E+01, 0.55763E+03, 0.55673E+03, 0.57504E+03
 0.24000E+01, 0.55801E+03, 0.56010E+03, 0.57488E+03
 0.25000E+01, 0.56145E+03, 0.56467E+03, 0.57816E+03
 0.26000E+01, 0.57573E+03, 0.57777E+03, 0.59046E+03
 0.27000E+01, 0.63610E+03, 0.63517E+03, 0.65801E+03
 0.28000E+01, 0.68539E+03, 0.68320E+03, 0.71680E+03
