Z,TEMP_MIN,TEMP_AVG,TEMP_MAX
 m,C,C,C
 0.00000E+00, 0.38251E+02, 0.43961E+02, 0.60595E+02
 0.10000E+00, 0.38089E+02, 0.43716E+02, 0.60326E+02
 0.20000E+00, 0.37957E+02, 0.43552E+02, 0.60495E+02
 0.30000E+00, 0.38267E+02, 0.44419E+02, 0.61396E+02
 0.40000E+00, 0.39012E+02, 0.46185E+02, 0.62327E+02
 0.50000E+00, 0.40292E+02, 0.48436E+02, 0.64658E+02
 0.60000E+00, 0.42863E+02, 0.51433E+02, 0.69003E+02
 0.70000E+00, 0.46641E+02, 0.56132E+02, 0.75034E+02
 0.80000E+00, 0.50912E+02, 0.62602E+02, 0.83624E+02
 0.90000E+00, 0.57010E+02, 0.71920E+02, 0.96360E+02
 0.10000E+01, 0.70611E+02, 0.92299E+02, 0.12306E+03
 0.11000E+01, 0.97085E+02, 0.12678E+03, 0.16957E+03
 0.12000E+01, 0.14142E+03, 0.18017E+03, 0.22786E+03
 0.13000E+01, 0.20023E+03, 0.25230E+03, 0.29782E+03
 0.14000E+01, 0.26262E+03, 0.32687E+03, 0.37940E+03
 0.15000E+01, 0.31895E+03, 0.39359E+03, 0.47317E+03
 0.16000E+01, 0.35562E+03, 0.44419E+03, 0.56908E+03
 0.17000E+01, 0.37368E+03, 0.47833E+03, 0.63486E+03
 0.18000E+01, 0.38242E+03, 0.50717E+03, 0.67945E+03
 0.19000E+01, 0.38844E+03, 0.52808E+03, 0.71685E+03
 0.20000E+01, 0.39597E+03, 0.53685E+03, 0.73635E+03
 0.21000E+01, 0.40228E+03, 0.54201E+03, 0.74519E+03
 0.22000E+01, 0.40613E+03, 0.54952E+03, 0.75322E+03
 0.23000E+01, 0.40760E+03, 0.55673E+03, 0.76093E+03
 0.24000E+01, 0.40836E+03, 0.56010E+03, 0.76856E+03
 0.25000E+01, 0.41183E+03, 0.56467E+03, 0.78228E+03
 0.26000E+01, 0.42387E+03, 0.57777E+03, 0.81105E+03
 0.27000E+01, 0.45953E+03, 0.63517E+03, 0.90578E+03
 0.28000E+01, 0.48605E+03, 0.68320E+03, 0.98092E+03
