s,s,s,s,C,C,C,C,C,C,C,C
FDS Time,"TIMER","open stair door","open hall door","TC03","TC04","TC05","TC06","TC07","TC08","TC09","TC10"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.7648380E+001, 5.7653419E+001, 5.7671420E+001, 5.7697622E+001, 5.7751521E+001, 5.7706071E+001, 5.7706673E+001, 5.7577203E+001
 5.0179563E+000, 2.8341751E+000, 2.8341751E+000, 2.8341751E+000, 5.8320189E+001, 5.8304417E+001, 5.8262977E+001, 5.8187210E+001, 5.8256786E+001, 5.8586810E+001, 5.9099037E+001, 5.8062458E+001
 1.0002375E+001, 7.7153730E+000, 7.7153730E+000, 7.7153730E+000, 8.2064473E+001, 8.2124042E+001, 7.9397384E+001, 7.0160025E+001, 6.5840150E+001, 6.1310078E+001, 5.9692306E+001, 5.7625753E+001
 1.5003983E+001, 1.2568432E+001, 1.2568432E+001, 1.2568432E+001, 1.1726086E+002, 1.1089478E+002, 1.0143301E+002, 9.5251651E+001, 8.9048823E+001, 7.7176567E+001, 6.2611715E+001, 5.9678266E+001
 2.0005430E+001, 1.7526557E+001, 1.7526557E+001, 1.7526557E+001, 1.5928488E+002, 1.5477774E+002, 1.4961429E+002, 1.3991119E+002, 6.8134994E+001, 5.9844924E+001, 5.8760433E+001, 5.4349513E+001
 2.5000748E+001, 2.2510422E+001, 2.2510422E+001, 2.2510422E+001, 1.8125871E+002, 1.7519676E+002, 1.6965684E+002, 1.6385154E+002, 1.2227449E+002, 7.7954336E+001, 6.7299545E+001, 5.3548716E+001
 3.0000418E+001, 2.7486830E+001, 2.7486830E+001, 2.7486830E+001, 2.5714093E+002, 2.5075209E+002, 2.4631567E+002, 2.2851066E+002, 1.2501074E+002, 8.5225960E+001, 7.3680508E+001, 5.3570572E+001
 3.5004749E+001, 3.2519925E+001, 3.2519925E+001, 3.2519925E+001, 3.3479304E+002, 3.2894089E+002, 3.2279985E+002, 2.7952998E+002, 1.4067083E+002, 8.8437093E+001, 6.2808924E+001, 5.4815485E+001
 4.0007973E+001, 3.7496390E+001, 3.7496390E+001, 3.7496390E+001, 3.7092391E+002, 3.5793784E+002, 3.5592871E+002, 3.0148532E+002, 1.5997482E+002, 8.4195546E+001, 6.1156523E+001, 5.3156240E+001
 4.5005211E+001, 4.2487171E+001, 4.2487171E+001, 4.2487171E+001, 4.0419395E+002, 3.9309084E+002, 3.8538530E+002, 3.6744159E+002, 1.5704181E+002, 8.5321024E+001, 6.4045315E+001, 5.6436569E+001
 5.0000629E+001, 4.7542357E+001, 4.7542357E+001, 4.7542357E+001, 3.9888056E+002, 3.9377435E+002, 3.9572758E+002, 3.6492243E+002, 1.9040893E+002, 7.8883254E+001, 6.3189762E+001, 5.3067827E+001
 5.5005955E+001, 5.2493765E+001, 5.2493765E+001, 5.2493765E+001, 3.8712966E+002, 3.7430796E+002, 3.6870505E+002, 3.5680348E+002, 2.1127660E+002, 7.6452275E+001, 6.1466560E+001, 5.7146376E+001
