Z,TEMP_MIN,TEMP_AVG,TEMP_MAX
 m,C,C,C
 0.00000E+00, 0.61280E+02, 0.82342E+02, 0.11430E+03
 0.10000E+00, 0.60998E+02, 0.81385E+02, 0.11605E+03
 0.20000E+00, 0.61034E+02, 0.81352E+02, 0.11771E+03
 0.30000E+00, 0.61683E+02, 0.83113E+02, 0.11797E+03
 0.40000E+00, 0.62827E+02, 0.85565E+02, 0.11871E+03
 0.50000E+00, 0.65099E+02, 0.88258E+02, 0.12066E+03
 0.60000E+00, 0.68170E+02, 0.90968E+02, 0.12499E+03
 0.70000E+00, 0.71828E+02, 0.97302E+02, 0.13292E+03
 0.80000E+00, 0.78478E+02, 0.10921E+03, 0.14469E+03
 0.90000E+00, 0.91318E+02, 0.12849E+03, 0.16328E+03
 0.10000E+01, 0.11279E+03, 0.16601E+03, 0.20274E+03
 0.11000E+01, 0.14691E+03, 0.21462E+03, 0.26207E+03
 0.12000E+01, 0.19436E+03, 0.26167E+03, 0.32026E+03
 0.13000E+01, 0.25119E+03, 0.31360E+03, 0.38014E+03
 0.14000E+01, 0.31863E+03, 0.37309E+03, 0.46370E+03
 0.15000E+01, 0.38942E+03, 0.45593E+03, 0.56449E+03
 0.16000E+01, 0.45161E+03, 0.55280E+03, 0.66462E+03
 0.17000E+01, 0.50503E+03, 0.63236E+03, 0.74628E+03
 0.18000E+01, 0.54345E+03, 0.68991E+03, 0.80141E+03
 0.19000E+01, 0.56481E+03, 0.73624E+03, 0.84022E+03
 0.20000E+01, 0.57667E+03, 0.76383E+03, 0.86187E+03
 0.21000E+01, 0.58281E+03, 0.77261E+03, 0.86895E+03
 0.22000E+01, 0.59059E+03, 0.77720E+03, 0.87663E+03
 0.23000E+01, 0.60087E+03, 0.78319E+03, 0.88021E+03
 0.24000E+01, 0.60699E+03, 0.79478E+03, 0.87908E+03
 0.25000E+01, 0.61401E+03, 0.81286E+03, 0.88506E+03
 0.26000E+01, 0.63035E+03, 0.85084E+03, 0.90001E+03
 0.27000E+01, 0.68842E+03, 0.93609E+03, 0.94194E+03
 0.28000E+01, 0.73561E+03, 0.99531E+03, 0.97338E+03
