Z,TEMP_MIN,TEMP_AVG,TEMP_MAX
 m,C,C,C
 0.00000E+00, 0.43974E+02, 0.62478E+02, 0.78900E+02
 0.10000E+00, 0.43796E+02, 0.61868E+02, 0.78848E+02
 0.20000E+00, 0.43700E+02, 0.60692E+02, 0.78741E+02
 0.30000E+00, 0.43877E+02, 0.60400E+02, 0.78311E+02
 0.40000E+00, 0.44135E+02, 0.61570E+02, 0.78175E+02
 0.50000E+00, 0.44716E+02, 0.63959E+02, 0.79465E+02
 0.60000E+00, 0.46379E+02, 0.68786E+02, 0.82892E+02
 0.70000E+00, 0.50461E+02, 0.77349E+02, 0.90578E+02
 0.80000E+00, 0.58145E+02, 0.89049E+02, 0.10252E+03
 0.90000E+00, 0.68887E+02, 0.10174E+03, 0.11863E+03
 0.10000E+01, 0.87015E+02, 0.12040E+03, 0.14954E+03
 0.11000E+01, 0.12176E+03, 0.15568E+03, 0.20077E+03
 0.12000E+01, 0.18068E+03, 0.20792E+03, 0.26072E+03
 0.13000E+01, 0.25331E+03, 0.27423E+03, 0.33705E+03
 0.14000E+01, 0.33108E+03, 0.34975E+03, 0.43581E+03
 0.15000E+01, 0.40066E+03, 0.41872E+03, 0.54304E+03
 0.16000E+01, 0.44594E+03, 0.48614E+03, 0.63363E+03
 0.17000E+01, 0.47092E+03, 0.55592E+03, 0.69063E+03
 0.18000E+01, 0.48019E+03, 0.61431E+03, 0.72510E+03
 0.19000E+01, 0.48612E+03, 0.64890E+03, 0.74949E+03
 0.20000E+01, 0.49353E+03, 0.66299E+03, 0.76729E+03
 0.21000E+01, 0.49950E+03, 0.67572E+03, 0.78141E+03
 0.22000E+01, 0.50377E+03, 0.69109E+03, 0.79282E+03
 0.23000E+01, 0.50700E+03, 0.70628E+03, 0.80470E+03
 0.24000E+01, 0.50899E+03, 0.71877E+03, 0.81914E+03
 0.25000E+01, 0.51254E+03, 0.73226E+03, 0.83435E+03
 0.26000E+01, 0.52414E+03, 0.76668E+03, 0.86562E+03
 0.27000E+01, 0.56272E+03, 0.86238E+03, 0.94163E+03
 0.28000E+01, 0.59313E+03, 0.93203E+03, 0.99494E+03
