Z,TEMP_MIN,TEMP_AVG,TEMP_MAX
 m,C,C,C
 0.00000E+00, 0.43361E+02, 0.51185E+02, 0.64980E+02
 0.10000E+00, 0.43479E+02, 0.51703E+02, 0.65112E+02
 0.20000E+00, 0.44042E+02, 0.52809E+02, 0.65646E+02
 0.30000E+00, 0.45181E+02, 0.53704E+02, 0.66708E+02
 0.40000E+00, 0.46951E+02, 0.54921E+02, 0.68648E+02
 0.50000E+00, 0.49149E+02, 0.57239E+02, 0.71910E+02
 0.60000E+00, 0.51456E+02, 0.60650E+02, 0.76034E+02
 0.70000E+00, 0.54789E+02, 0.65364E+02, 0.81605E+02
 0.80000E+00, 0.60699E+02, 0.72436E+02, 0.90362E+02
 0.90000E+00, 0.69555E+02, 0.84243E+02, 0.10337E+03
 0.10000E+01, 0.81408E+02, 0.10381E+03, 0.12514E+03
 0.11000E+01, 0.10411E+03, 0.13240E+03, 0.16793E+03
 0.12000E+01, 0.14682E+03, 0.17675E+03, 0.23260E+03
 0.13000E+01, 0.20266E+03, 0.24456E+03, 0.30840E+03
 0.14000E+01, 0.26602E+03, 0.32877E+03, 0.38641E+03
 0.15000E+01, 0.32868E+03, 0.40430E+03, 0.46905E+03
 0.16000E+01, 0.37261E+03, 0.45619E+03, 0.55979E+03
 0.17000E+01, 0.39723E+03, 0.49312E+03, 0.64007E+03
 0.18000E+01, 0.41301E+03, 0.52198E+03, 0.69019E+03
 0.19000E+01, 0.42354E+03, 0.54384E+03, 0.71677E+03
 0.20000E+01, 0.42989E+03, 0.55786E+03, 0.73231E+03
 0.21000E+01, 0.43595E+03, 0.56865E+03, 0.75031E+03
 0.22000E+01, 0.44167E+03, 0.58024E+03, 0.77390E+03
 0.23000E+01, 0.44507E+03, 0.58737E+03, 0.79331E+03
 0.24000E+01, 0.44577E+03, 0.58967E+03, 0.81254E+03
 0.25000E+01, 0.44769E+03, 0.59541E+03, 0.83712E+03
 0.26000E+01, 0.45699E+03, 0.61347E+03, 0.87571E+03
 0.27000E+01, 0.50050E+03, 0.69251E+03, 0.97046E+03
 0.28000E+01, 0.53713E+03, 0.75855E+03, 0.10407E+04
