s,s,s,s,C,C,C,C,C,C,C,C
FDS Time,"TIMER","open stair door","open hall door","TC03","TC04","TC05","TC06","TC07","TC08","TC09","TC10"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.7710761E+001, 5.7665335E+001, 5.7619116E+001, 5.7648464E+001, 5.7609120E+001, 5.7624517E+001, 5.7540347E+001, 5.7659139E+001
 5.0178823E+000, 2.8704010E+000, 2.8704010E+000, 2.8704010E+000, 5.8348731E+001, 5.8253269E+001, 5.8345443E+001, 5.8203890E+001, 5.8284615E+001, 5.8729376E+001, 5.9164540E+001, 5.8133506E+001
 1.0012686E+001, 7.7100673E+000, 7.7100673E+000, 7.7100673E+000, 8.3816005E+001, 8.1946329E+001, 7.9567945E+001, 7.7870072E+001, 6.9902786E+001, 6.0706225E+001, 5.9575364E+001, 5.7177809E+001
 1.5008007E+001, 1.2628963E+001, 1.2628963E+001, 1.2628963E+001, 1.2985387E+002, 1.3019250E+002, 1.1181981E+002, 1.0199476E+002, 9.2578332E+001, 8.0966891E+001, 6.6853430E+001, 5.9887850E+001
 2.0003696E+001, 1.7539034E+001, 1.7539034E+001, 1.7539034E+001, 1.6832585E+002, 1.6766171E+002, 1.6513759E+002, 1.4535904E+002, 6.7896263E+001, 6.2611597E+001, 6.0842143E+001, 5.6976436E+001
 2.5008389E+001, 2.2521946E+001, 2.2521946E+001, 2.2521946E+001, 2.0180488E+002, 1.9738374E+002, 1.9419742E+002, 1.8248299E+002, 1.3248917E+002, 8.2469408E+001, 7.1590818E+001, 5.3742294E+001
 3.0003130E+001, 2.7491106E+001, 2.7491106E+001, 2.7491106E+001, 2.8110975E+002, 2.7312055E+002, 2.6536020E+002, 2.3678811E+002, 1.2781198E+002, 8.7944896E+001, 6.8372287E+001, 5.4958042E+001
 3.5000706E+001, 3.2510626E+001, 3.2510626E+001, 3.2510626E+001, 3.6387911E+002, 3.5481898E+002, 3.5482665E+002, 3.1516699E+002, 1.6116682E+002, 9.1747148E+001, 7.0622870E+001, 5.9512371E+001
 4.0003445E+001, 3.7518185E+001, 3.7518185E+001, 3.7518185E+001, 4.1364605E+002, 3.9580473E+002, 3.9670488E+002, 3.6050191E+002, 1.8748986E+002, 8.9790604E+001, 6.9539012E+001, 5.8163506E+001
 4.5009228E+001, 4.2494200E+001, 4.2494200E+001, 4.2494200E+001, 4.5517727E+002, 4.4567281E+002, 4.3620615E+002, 3.7059351E+002, 1.8016381E+002, 1.0269568E+002, 7.2744829E+001, 6.2566435E+001
 5.0007553E+001, 4.7525299E+001, 4.7525299E+001, 4.7525299E+001, 4.7354044E+002, 4.6494636E+002, 4.5872918E+002, 4.4976213E+002, 2.4859618E+002, 8.9487308E+001, 7.3019287E+001, 6.4485443E+001
 5.5002529E+001, 5.2540166E+001, 5.2540166E+001, 5.2540166E+001, 5.4635471E+002, 5.4072483E+002, 5.2404538E+002, 4.2968334E+002, 2.1908476E+002, 9.6832718E+001, 7.7198289E+001, 6.9170611E+001
 6.0006516E+001, 5.7502730E+001, 5.7502730E+001, 5.7502730E+001, 5.4231083E+002, 5.3534939E+002, 5.2508356E+002, 4.3613163E+002, 2.7730516E+002, 1.0691972E+002, 8.4485125E+001, 7.4228242E+001
 6.5001938E+001, 6.2520690E+001, 6.2520690E+001, 6.2520690E+001, 6.7452351E+002, 6.6718077E+002, 6.3733468E+002, 4.3576095E+002, 2.6126015E+002, 1.2611955E+002, 9.7000079E+001, 7.9991717E+001
 7.0005577E+001, 6.7509790E+001, 6.7509790E+001, 6.7509790E+001, 5.8294269E+002, 5.6641933E+002, 5.2697945E+002, 4.7076888E+002, 2.8940148E+002, 1.1994856E+002, 9.7030322E+001, 8.2369059E+001
