Z,TEMP_MIN,TEMP_AVG,TEMP_MAX
 m,C,C,C
 0.00000E+00, 0.49317E+02, 0.55429E+02, 0.69752E+02
 0.10000E+00, 0.49886E+02, 0.56173E+02, 0.70803E+02
 0.20000E+00, 0.51438E+02, 0.57848E+02, 0.72634E+02
 0.30000E+00, 0.53413E+02, 0.59317E+02, 0.74192E+02
 0.40000E+00, 0.55572E+02, 0.60675E+02, 0.76169E+02
 0.50000E+00, 0.57856E+02, 0.63172E+02, 0.79114E+02
 0.60000E+00, 0.60322E+02, 0.67385E+02, 0.83173E+02
 0.70000E+00, 0.63396E+02, 0.72933E+02, 0.89229E+02
 0.80000E+00, 0.67690E+02, 0.79511E+02, 0.98622E+02
 0.90000E+00, 0.73830E+02, 0.88569E+02, 0.11267E+03
 0.10000E+01, 0.87283E+02, 0.10620E+03, 0.13242E+03
 0.11000E+01, 0.11677E+03, 0.14139E+03, 0.16938E+03
 0.12000E+01, 0.15252E+03, 0.19914E+03, 0.23481E+03
 0.13000E+01, 0.19218E+03, 0.27093E+03, 0.31536E+03
 0.14000E+01, 0.25019E+03, 0.34688E+03, 0.39982E+03
 0.15000E+01, 0.31736E+03, 0.41328E+03, 0.48629E+03
 0.16000E+01, 0.36772E+03, 0.46638E+03, 0.57615E+03
 0.17000E+01, 0.39099E+03, 0.50225E+03, 0.65768E+03
 0.18000E+01, 0.40194E+03, 0.51820E+03, 0.71114E+03
 0.19000E+01, 0.41225E+03, 0.52930E+03, 0.73211E+03
 0.20000E+01, 0.42122E+03, 0.53778E+03, 0.73723E+03
 0.21000E+01, 0.43004E+03, 0.54154E+03, 0.74528E+03
 0.22000E+01, 0.43914E+03, 0.54345E+03, 0.75946E+03
 0.23000E+01, 0.44369E+03, 0.54554E+03, 0.78045E+03
 0.24000E+01, 0.44549E+03, 0.54748E+03, 0.80209E+03
 0.25000E+01, 0.44667E+03, 0.55272E+03, 0.82713E+03
 0.26000E+01, 0.45085E+03, 0.56538E+03, 0.86788E+03
 0.27000E+01, 0.49293E+03, 0.62331E+03, 0.96648E+03
 0.28000E+01, 0.53047E+03, 0.67276E+03, 0.10394E+04
