Z,TEMP_MIN,TEMP_AVG,TEMP_MAX
 m,C,C,C
 0.00000E+00, 0.63680E+02, 0.81237E+02, 0.11425E+03
 0.10000E+00, 0.63501E+02, 0.81186E+02, 0.11469E+03
 0.20000E+00, 0.62818E+02, 0.81022E+02, 0.11461E+03
 0.30000E+00, 0.62223E+02, 0.80670E+02, 0.11519E+03
 0.40000E+00, 0.62290E+02, 0.81078E+02, 0.11745E+03
 0.50000E+00, 0.62946E+02, 0.82981E+02, 0.12178E+03
 0.60000E+00, 0.65176E+02, 0.87443E+02, 0.12949E+03
 0.70000E+00, 0.70194E+02, 0.95006E+02, 0.14001E+03
 0.80000E+00, 0.77237E+02, 0.10619E+03, 0.15381E+03
 0.90000E+00, 0.87599E+02, 0.12554E+03, 0.17853E+03
 0.10000E+01, 0.10924E+03, 0.16117E+03, 0.22205E+03
 0.11000E+01, 0.15328E+03, 0.20297E+03, 0.27371E+03
 0.12000E+01, 0.20820E+03, 0.24561E+03, 0.32732E+03
 0.13000E+01, 0.26437E+03, 0.30209E+03, 0.38841E+03
 0.14000E+01, 0.32379E+03, 0.37916E+03, 0.47168E+03
 0.15000E+01, 0.38196E+03, 0.46913E+03, 0.58286E+03
 0.16000E+01, 0.43795E+03, 0.54978E+03, 0.68769E+03
 0.17000E+01, 0.49037E+03, 0.61015E+03, 0.76253E+03
 0.18000E+01, 0.52917E+03, 0.65549E+03, 0.81097E+03
 0.19000E+01, 0.55230E+03, 0.68370E+03, 0.84082E+03
 0.20000E+01, 0.56332E+03, 0.69711E+03, 0.86139E+03
 0.21000E+01, 0.57017E+03, 0.70829E+03, 0.87184E+03
 0.22000E+01, 0.58184E+03, 0.71872E+03, 0.87549E+03
 0.23000E+01, 0.59268E+03, 0.72923E+03, 0.88406E+03
 0.24000E+01, 0.59872E+03, 0.74158E+03, 0.89578E+03
 0.25000E+01, 0.60742E+03, 0.75737E+03, 0.90805E+03
 0.26000E+01, 0.63034E+03, 0.78514E+03, 0.92786E+03
 0.27000E+01, 0.69119E+03, 0.86099E+03, 0.97632E+03
 0.28000E+01, 0.73651E+03, 0.91839E+03, 0.10122E+04
