Z,TEMP_MIN,TEMP_AVG,TEMP_MAX
 m,C,C,C
 0.00000E+00, 0.40830E+02, 0.47019E+02, 0.60651E+02
 0.10000E+00, 0.41115E+02, 0.47331E+02, 0.60868E+02
 0.20000E+00, 0.41630E+02, 0.48211E+02, 0.61201E+02
 0.30000E+00, 0.42261E+02, 0.49316E+02, 0.62145E+02
 0.40000E+00, 0.43650E+02, 0.50661E+02, 0.64039E+02
 0.50000E+00, 0.45130E+02, 0.51934E+02, 0.66687E+02
 0.60000E+00, 0.47508E+02, 0.54306E+02, 0.71286E+02
 0.70000E+00, 0.51690E+02, 0.58583E+02, 0.79189E+02
 0.80000E+00, 0.57060E+02, 0.63971E+02, 0.89867E+02
 0.90000E+00, 0.63532E+02, 0.72697E+02, 0.10392E+03
 0.10000E+01, 0.77795E+02, 0.87052E+02, 0.12675E+03
 0.11000E+01, 0.11027E+03, 0.11305E+03, 0.16851E+03
 0.12000E+01, 0.15823E+03, 0.16630E+03, 0.22897E+03
 0.13000E+01, 0.21237E+03, 0.23897E+03, 0.29722E+03
 0.14000E+01, 0.27556E+03, 0.30573E+03, 0.37328E+03
 0.15000E+01, 0.33866E+03, 0.36903E+03, 0.46897E+03
 0.16000E+01, 0.37781E+03, 0.42799E+03, 0.56697E+03
 0.17000E+01, 0.39571E+03, 0.47038E+03, 0.65079E+03
 0.18000E+01, 0.40623E+03, 0.50199E+03, 0.70894E+03
 0.19000E+01, 0.41428E+03, 0.52666E+03, 0.73332E+03
 0.20000E+01, 0.42377E+03, 0.54542E+03, 0.74962E+03
 0.21000E+01, 0.43307E+03, 0.55816E+03, 0.76415E+03
 0.22000E+01, 0.43946E+03, 0.56354E+03, 0.77673E+03
 0.23000E+01, 0.44287E+03, 0.56930E+03, 0.78831E+03
 0.24000E+01, 0.44319E+03, 0.57666E+03, 0.79627E+03
 0.25000E+01, 0.44309E+03, 0.58515E+03, 0.80887E+03
 0.26000E+01, 0.45031E+03, 0.59566E+03, 0.84006E+03
 0.27000E+01, 0.48739E+03, 0.65646E+03, 0.94320E+03
 0.28000E+01, 0.51768E+03, 0.71204E+03, 0.10237E+04
