Z,TEMP_MIN,TEMP_AVG,TEMP_MAX
 m,C,C,C
 0.00000E+00, 0.61894E+02, 0.81621E+02, 0.10928E+03
 0.10000E+00, 0.61654E+02, 0.81072E+02, 0.10845E+03
 0.20000E+00, 0.61770E+02, 0.80941E+02, 0.10855E+03
 0.30000E+00, 0.62094E+02, 0.81516E+02, 0.11140E+03
 0.40000E+00, 0.61792E+02, 0.83018E+02, 0.11515E+03
 0.50000E+00, 0.61934E+02, 0.86177E+02, 0.12079E+03
 0.60000E+00, 0.64505E+02, 0.90468E+02, 0.12887E+03
 0.70000E+00, 0.70177E+02, 0.96992E+02, 0.13726E+03
 0.80000E+00, 0.78218E+02, 0.10734E+03, 0.14818E+03
 0.90000E+00, 0.88691E+02, 0.12477E+03, 0.16887E+03
 0.10000E+01, 0.10702E+03, 0.15320E+03, 0.20842E+03
 0.11000E+01, 0.14732E+03, 0.19795E+03, 0.26539E+03
 0.12000E+01, 0.20566E+03, 0.25412E+03, 0.32207E+03
 0.13000E+01, 0.26450E+03, 0.31794E+03, 0.37543E+03
 0.14000E+01, 0.32512E+03, 0.38416E+03, 0.44177E+03
 0.15000E+01, 0.39222E+03, 0.45964E+03, 0.54767E+03
 0.16000E+01, 0.45207E+03, 0.54821E+03, 0.66706E+03
 0.17000E+01, 0.49642E+03, 0.62913E+03, 0.74672E+03
 0.18000E+01, 0.53948E+03, 0.69293E+03, 0.79257E+03
 0.19000E+01, 0.57488E+03, 0.73167E+03, 0.82274E+03
 0.20000E+01, 0.59091E+03, 0.74630E+03, 0.83886E+03
 0.21000E+01, 0.59809E+03, 0.75026E+03, 0.84404E+03
 0.22000E+01, 0.60452E+03, 0.75492E+03, 0.84752E+03
 0.23000E+01, 0.61187E+03, 0.76507E+03, 0.85576E+03
 0.24000E+01, 0.61953E+03, 0.77905E+03, 0.86706E+03
 0.25000E+01, 0.63181E+03, 0.79976E+03, 0.88113E+03
 0.26000E+01, 0.65480E+03, 0.83417E+03, 0.90221E+03
 0.27000E+01, 0.72407E+03, 0.90772E+03, 0.94828E+03
 0.28000E+01, 0.77879E+03, 0.96011E+03, 0.98201E+03
