s,kW,kW,kW,kW,kg/s
FDS_HRR_Time,HRR,RAD_LOSS,CONV_LOSS,COND_LOSS,BURN_RATE
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3254933E-003, 0.0000000E+000, 0.0000000E+000
 5.0064554E+000, 1.2732387E+002, 4.5251748E+001,-3.9355798E+001, 8.0945110E+001, 2.6907456E-003
 1.0009810E+001, 3.1770124E+002, 1.2253109E+002, 1.3317595E+002, 1.8219294E+002, 6.7747882E-003
 1.5005219E+001, 5.2248690E+002, 2.1710318E+002, 2.0573851E+002, 3.1118919E+002, 1.1129109E-002
 2.0003813E+001, 7.3191221E+002, 3.2948660E+002, 2.4403506E+002, 4.6114739E+002, 1.5510484E-002
 2.5000574E+001, 9.3807714E+002, 4.4793116E+002, 2.8683363E+002, 6.1131316E+002, 1.9873860E-002
 3.0006516E+001, 1.1499310E+003, 5.8443205E+002, 3.2158173E+002, 7.7541072E+002, 2.4300851E-002
 3.5007038E+001, 1.3586236E+003, 7.3990279E+002, 3.2980348E+002, 9.6058992E+002, 2.8703116E-002
 4.0001755E+001, 1.5677183E+003, 8.8729409E+002, 3.5800115E+002, 1.1263791E+003, 3.2905639E-002
 4.5002815E+001, 1.7024056E+003, 1.0132425E+003, 3.3689935E+002, 1.2728135E+003, 3.5101703E-002
 5.0002556E+001, 1.7570678E+003, 1.0943184E+003, 2.9934970E+002, 1.3617194E+003, 3.6800829E-002
 5.5009556E+001, 1.8609825E+003, 1.1819638E+003, 3.0557932E+002, 1.4622888E+003, 3.8509036E-002
 6.0003170E+001, 1.9555236E+003, 1.2583903E+003, 3.1233119E+002, 1.5444220E+003, 4.0230938E-002
 6.5006409E+001, 1.9783698E+003, 1.3162083E+003, 2.5516145E+002, 1.6279924E+003, 4.1189888E-002
 7.0005051E+001, 2.0113843E+003, 1.3573891E+003, 2.5455969E+002, 1.6602804E+003, 4.1421219E-002
 7.5005638E+001, 1.9534415E+003, 1.3491816E+003, 2.1983274E+002, 1.6490460E+003, 4.1651353E-002
 8.0008842E+001, 2.0282755E+003, 1.3778248E+003, 2.7243512E+002, 1.6664551E+003, 4.1881549E-002
 8.5006020E+001, 1.9880878E+003, 1.3709359E+003, 2.3924672E+002, 1.6574077E+003, 4.2112379E-002
 9.0007950E+001, 2.0205185E+003, 1.3934876E+003, 2.5212795E+002, 1.6895429E+003, 4.2339869E-002
 9.5001213E+001, 2.0541290E+003, 1.4221059E+003, 2.4583308E+002, 1.7188771E+003, 4.2571386E-002
 1.0000856E+002, 2.0128065E+003, 1.4102141E+003, 2.3502428E+002, 1.7078648E+003, 4.2800879E-002
 1.0500757E+002, 2.0775997E+003, 1.4400912E+003, 2.5186996E+002, 1.7340814E+003, 4.3032469E-002
 1.1000473E+002, 2.0528926E+003, 1.4253563E+003, 2.5772358E+002, 1.7158785E+003, 4.3260425E-002
 1.1500889E+002, 2.0724107E+003, 1.4414732E+003, 2.6044615E+002, 1.7359909E+003, 4.3492480E-002
 1.2000697E+002, 2.0540414E+003, 1.4449229E+003, 2.3527586E+002, 1.7430566E+003, 4.3721250E-002
 1.2500749E+002, 2.0336427E+003, 1.4077840E+003, 2.6719622E+002, 1.6868602E+003, 4.3953726E-002
