Index,Group_Title,Style_Index
1,VTT,12
2,NIST/NRC,1
3,NBS Multiroom,14
4,FM/SNL,15
5,WTC,9
6,Cable B,44
7,Cable D,45
8,Cable F,46
9,Cable G,47
10,Long Wall,1
11,Short Wall,5
12,Ceiling,4
13,Floor,6
14,Column,8
15,Truss,11
16,Bar,10
17,Slug Calorimeter,13
18,Inside Ceiling,7
19,Floor,11
20,Column,10
21,Ceiling Surface,8
22,Truss Support,13
23,Smyth Slot,3
24,Wall Surface,11
25,Inside Wall,12
26,Position A,1
27,Position B,5
28,Position C,4
29,Raised Burner,6
30,INERIS H2,1
31,Heskestad Flame Height,1
32,NIST/NRC (Open Door),2
33,NIST/NRC (Closed Door),1
34,Plate Thermometer,50
35,Adiabatic Surface,5
36,Steel,49
37,Gas,47
38,Curtained,26
39,Non-Curtained,27
40,NIST/FSE 2008,1
