Time,Mdot
0,0
0.1,1.5708E-06
0.2,6.2832E-06
0.3,1.41372E-05
0.4,2.51328E-05
0.5,0.00003927
0.6,5.65488E-05
0.7,7.69692E-05
0.8,0.000100531
0.9,0.000127235
1,0.00015708
1.1,0.000190067
1.2,0.000226195
1.3,0.000265465
1.4,0.000307877
1.5,0.00035343
1.6,0.000402125
1.7,0.000453961
1.8,0.000508939
1.9,0.000567059
2,0.00062832
2.1,0.000692723
2.2,0.000760267
2.3,0.000830953
2.4,0.000904781
2.5,0.00098175
2.6,0.001061861
2.7,0.001145113
2.8,0.001231507
2.9,0.001321043
3,0.00141372
3.1,0.001509539
3.2,0.001608499
3.3,0.001710601
3.4,0.001815845
3.5,0.00192423
3.6,0.002035757
3.7,0.002150425
3.8,0.002268235
3.9,0.002389187
4,0.00251328
4.1,0.002640515
4.2,0.002770891
4.3,0.002904409
4.4,0.003041069
4.5,0.00318087
4.6,0.003323813
4.7,0.003469897
4.8,0.003619123
4.9,0.003771491
5,0.003927
5.1,0.004085651
5.2,0.004247443
5.3,0.004412377
5.4,0.004580453
5.5,0.00475167
5.6,0.004926029
5.7,0.005103529
5.8,0.005284171
5.9,0.005467955
6,0.00565488
6.1,0.005844947
6.2,0.006038155
6.3,0.006234505
6.4,0.006433997
6.5,0.00663663
6.6,0.006842405
6.7,0.007051321
6.8,0.007263379
6.9,0.007478579
7,0.00769692
7.1,0.007918403
7.2,0.008143027
7.3,0.008370793
7.4,0.008601701
7.5,0.00883575
7.6,0.009072941
7.7,0.009313273
7.8,0.009556747
7.9,0.009803363
8,0.01005312
8.1,0.010306019
8.2,0.010562059
8.3,0.010821241
8.4,0.011083565
8.5,0.01134903
8.6,0.011617637
8.7,0.011889385
8.8,0.012164275
8.9,0.012442307
9,0.01272348
9.1,0.013007795
9.2,0.013295251
9.3,0.013585849
9.4,0.013879589
9.5,0.01417647
9.6,0.014476493
9.7,0.014779657
9.8,0.015085963
9.9,0.015395411
10,0.015708
10.1,0.015708
10.2,0.015708
10.3,0.015708
10.4,0.015708
10.5,0.015708
10.6,0.015708
10.7,0.015708
10.8,0.015708
10.9,0.015708
11,0.015708
11.1,0.015708
11.2,0.015708
11.3,0.015708
11.4,0.015708
11.5,0.015708
11.6,0.015708
11.7,0.015708
11.8,0.015708
11.9,0.015708
12,0.015708
12.1,0.015708
12.2,0.015708
12.3,0.015708
12.4,0.015708
12.5,0.015708
12.6,0.015708
12.7,0.015708
12.8,0.015708
12.9,0.015708
13,0.015708
13.1,0.015708
13.2,0.015708
13.3,0.015708
13.4,0.015708
13.5,0.015708
13.6,0.015708
13.7,0.015708
13.8,0.015708
13.9,0.015708
14,0.015708
14.1,0.015708
14.2,0.015708
14.3,0.015708
14.4,0.015708
14.5,0.015708
14.6,0.015708
14.7,0.015708
14.8,0.015708
14.9,0.015708
15,0.015708
15.1,0.015708
15.2,0.015708
15.3,0.015708
15.4,0.015708
15.5,0.015708
15.6,0.015708
15.7,0.015708
15.8,0.015708
15.9,0.015708
16,0.015708
16.1,0.015708
16.2,0.015708
16.3,0.015708
16.4,0.015708
16.5,0.015708
16.6,0.015708
16.7,0.015708
16.8,0.015708
16.9,0.015708
17,0.015708
17.1,0.015708
17.2,0.015708
17.3,0.015708
17.4,0.015708
17.5,0.015708
17.6,0.015708
17.7,0.015708
17.8,0.015708
17.9,0.015708
18,0.015708
18.1,0.015708
18.2,0.015708
18.3,0.015708
18.4,0.015708
18.5,0.015708
18.6,0.015708
18.7,0.015708
18.8,0.015708
18.9,0.015708
19,0.015708
19.1,0.015708
19.2,0.015708
19.3,0.015708
19.4,0.015708
19.5,0.015708
19.6,0.015708
19.7,0.015708
19.8,0.015708
19.9,0.015708
20,0.015708
