x,p,u,rho,T
0.0000,0.7779,1.0000,1.20000,20.
0.0200,0.7779,1.0000,1.20000,20.
0.0395,0.7779,1.0000,1.20000,20.
0.0415,0.0000,1.7087,0.7023,227.46
0.0600,0.0000,1.7087,0.7023,227.46
0.0800,0.0000,1.7087,0.7023,227.46
0.1000,0.0000,1.7087,0.7023,227.46
