s,kW,kW,kW,kW,kg/s
FDS_HRR_Time,HRR,RAD_LOSS,CONV_LOSS,COND_LOSS,BURN_RATE
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.9632768E-006, 0.0000000E+000, 0.0000000E+000
 1.5811388E-001, 0.0000000E+000, 0.0000000E+000, 2.6126478E-006, 4.0480093E-011, 0.0000000E+000
 2.3717083E-001, 5.6556716E-002, 1.9794851E-002, 5.1872859E-002, 8.0959117E-011, 9.5497153E-005
 3.1622776E-001, 3.1375304E-001, 1.0980059E-001, 2.3342394E-001, 7.7260026E-003, 1.9494942E-004
 3.9528471E-001, 1.2305655E+000, 4.3069781E-001, 8.4332401E-001, 7.7260026E-003, 3.1986897E-004
 4.7434166E-001, 3.1672209E+000, 1.1085271E+000, 2.1062586E+000, 7.7652710E-003, 4.4548077E-004
 5.5339861E-001, 6.4574566E+000, 2.2564247E+000, 4.2338275E+000, 1.6053267E-001, 5.9626145E-004
 6.3245553E-001, 1.1449021E+001, 4.0071572E+000, 7.4120677E+000, 1.6089076E-001, 7.3889273E-004
 7.9056942E-001, 1.6954407E+001, 5.9202825E+000, 1.0873903E+001, 3.7300267E-001, 9.5807299E-004
 8.6962634E-001, 2.1792283E+001, 7.6272982E+000, 1.3823144E+001, 5.8511458E-001, 1.1634648E-003
 9.4868332E-001, 2.4683996E+001, 8.6393976E+000, 1.5581630E+001, 5.9315055E-001, 1.3252561E-003
 1.0277402E+000, 3.0743601E+001, 1.0686524E+001, 1.9307790E+001, 1.2721124E+000, 1.5042458E-003
 1.1067972E+000, 4.6556832E+001, 1.6294889E+001, 2.8934545E+001, 1.2874669E+000, 1.6169676E-003
 1.2128577E+000, 6.6160094E+001, 2.3048718E+001, 4.1466570E+001, 2.0747182E+000, 1.8600794E-003
 1.2859901E+000, 7.0904518E+001, 2.4816576E+001, 4.5160764E+001, 2.8843425E+000, 1.8416108E-003
 1.3783330E+000, 6.6806326E+001, 2.3369973E+001, 4.3198993E+001, 4.7581568E+000, 2.0335101E-003
 1.4671453E+000, 6.8963206E+001, 2.4112977E+001, 4.3800494E+001, 6.6261060E+000, 2.1955484E-003
 1.5559576E+000, 8.4451049E+001, 2.9487831E+001, 5.2441103E+001, 8.4351703E+000, 2.5271068E-003
 1.6447699E+000, 1.0859869E+002, 3.7900911E+001, 6.6874500E+001, 1.0482629E+001, 2.8144230E-003
 1.7335823E+000, 1.4125213E+002, 4.9319324E+001, 8.6729089E+001, 1.2386022E+001, 3.2265952E-003
 1.8223945E+000, 1.6277580E+002, 5.6783385E+001, 9.9958658E+001, 1.5109854E+001, 3.0702017E-003
 1.8969529E+000, 1.5503295E+002, 5.4030941E+001, 9.6289010E+001, 1.7802825E+001, 3.1508069E-003
 1.9836601E+000, 1.3665948E+002, 4.7639360E+001, 8.5796618E+001, 1.9874561E+001, 3.4639795E-003
 2.0823128E+000, 1.4102493E+002, 4.9279448E+001, 8.7651516E+001, 2.1220756E+001, 4.2119201E-003
 2.1785328E+000, 1.7352872E+002, 6.0615156E+001, 1.0603850E+002, 2.2413785E+001, 4.3144883E-003
 2.2555089E+000, 1.9601602E+002, 6.8428741E+001, 1.1959791E+002, 2.4214772E+001, 4.0725499E-003
 2.3517289E+000, 2.0630651E+002, 7.1935106E+001, 1.2673444E+002, 2.6878978E+001, 4.5086611E-003
 2.4370129E+000, 2.0916707E+002, 7.2972445E+001, 1.2870648E+002, 2.8998758E+001, 4.4049114E-003
 2.5222969E+000, 2.0590959E+002, 7.1892921E+001, 1.2744944E+002, 3.0112390E+001, 4.7850484E-003
 2.6246378E+000, 2.1156145E+002, 7.3883381E+001, 1.3097520E+002, 3.0911848E+001, 5.0391118E-003
 2.7099221E+000, 2.2559036E+002, 7.8777891E+001, 1.3907938E+002, 3.2072952E+001, 5.2510800E-003
 2.7952061E+000, 2.3993009E+002, 8.3806324E+001, 1.4742729E+002, 3.3578973E+001, 5.5636337E-003
 2.8804901E+000, 2.5248391E+002, 8.8298119E+001, 1.5533510E+002, 3.5324457E+001, 5.7366360E-003
 2.9720244E+000, 2.6682068E+002, 9.3316077E+001, 1.6619503E+002, 3.7590126E+001, 5.9104170E-003
 3.0619588E+000, 2.7440360E+002, 9.6020018E+001, 1.7380772E+002, 3.9660326E+001, 5.7262956E-003
 3.1575480E+000, 2.7114454E+002, 9.4923518E+001, 1.7414957E+002, 4.0987784E+001, 6.0697980E-003
 3.2453551E+000, 2.6766666E+002, 9.3821007E+001, 1.7241520E+002, 4.1202532E+001, 6.1399056E-003
 3.3300493E+000, 2.6817612E+002, 9.4039636E+001, 1.7462002E+002, 4.0945079E+001, 6.4705102E-003
 3.4268425E+000, 2.7265825E+002, 9.5574152E+001, 1.7877733E+002, 4.1045395E+001, 7.0722625E-003
 3.5115368E+000, 2.8730488E+002, 1.0061692E+002, 1.8838812E+002, 4.1899317E+001, 7.2720049E-003
 3.6083300E+000, 3.0143259E+002, 1.0543426E+002, 1.9730531E+002, 4.3596041E+001, 7.9570516E-003
 3.6930242E+000, 3.1816321E+002, 1.1130792E+002, 2.0624794E+002, 4.5203708E+001, 8.3682326E-003
 3.7801383E+000, 3.4280407E+002, 1.1977800E+002, 2.1945039E+002, 4.7021146E+001, 7.8865974E-003
 3.8733017E+000, 3.6015017E+002, 1.2582507E+002, 2.2970426E+002, 4.8683233E+001, 7.5722886E-003
 3.9664652E+000, 3.6515675E+002, 1.2753994E+002, 2.3430506E+002, 4.9891710E+001, 7.5029367E-003
 4.0596290E+000, 3.5750192E+002, 1.2490777E+002, 2.3061412E+002, 5.0410224E+001, 8.0518856E-003
 4.1527925E+000, 3.5157104E+002, 1.2275817E+002, 2.2801835E+002, 5.0835978E+001, 8.5102150E-003
 4.2326469E+000, 3.6026966E+002, 1.2578273E+002, 2.3275834E+002, 5.1665323E+001, 8.8060253E-003
 4.3204694E+000, 3.6918634E+002, 1.2928120E+002, 2.3822568E+002, 5.3220145E+001, 9.7785702E-003
 4.4162602E+000, 3.8831027E+002, 1.3613513E+002, 2.5271365E+002, 5.5397261E+001, 1.0493870E-002
 4.5000772E+000, 4.1744211E+002, 1.4637971E+002, 2.6979915E+002, 5.7450537E+001, 8.6853834E-003
 4.5958681E+000, 4.3816903E+002, 1.5502328E+002, 2.8078703E+002, 5.9533101E+001, 8.6359399E-003
 4.6916590E+000, 4.4234451E+002, 1.5709243E+002, 2.8225053E+002, 6.1273624E+001, 8.9476170E-003
 4.7754760E+000, 4.3027575E+002, 1.5338535E+002, 2.7430678E+002, 6.1899354E+001, 9.5666228E-003
 4.8640227E+000, 4.0498289E+002, 1.4444719E+002, 2.6130302E+002, 6.1244433E+001, 1.0388389E-002
 4.9501548E+000, 4.0541370E+002, 1.4333629E+002, 2.6422388E+002, 6.0781008E+001, 1.0304491E-002
 5.0470538E+000, 4.3290755E+002, 1.5218602E+002, 2.8365813E+002, 6.2232019E+001, 1.0729448E-002
 5.1331863E+000, 4.5107564E+002, 1.5848372E+002, 2.9275875E+002, 6.4948895E+001, 1.0837506E-002
 5.2300849E+000, 4.6195203E+002, 1.6241697E+002, 2.9967802E+002, 6.6991869E+001, 1.1090182E-002
 5.3111219E+000, 4.7447790E+002, 1.6663771E+002, 3.0956134E+002, 6.8139949E+001, 1.2313683E-002
 5.4051003E+000, 4.9465724E+002, 1.7512211E+002, 3.2153284E+002, 6.9225271E+001, 1.3671718E-002
 5.4990783E+000, 4.9932592E+002, 1.7805468E+002, 3.2101957E+002, 6.9999364E+001, 1.2431942E-002
 5.5826144E+000, 5.1129164E+002, 1.8128457E+002, 3.2912819E+002, 6.9539963E+001, 1.1672306E-002
 5.6765928E+000, 5.4338048E+002, 1.9181769E+002, 3.4860867E+002, 6.9354721E+001, 1.0692923E-002
 5.7601290E+000, 5.6409397E+002, 2.0079315E+002, 3.6244723E+002, 7.0092729E+001, 1.1285485E-002
 5.8541074E+000, 5.4830004E+002, 1.9482345E+002, 3.5605396E+002, 7.0636313E+001, 1.2557936E-002
 5.9480853E+000, 5.2612546E+002, 1.8648967E+002, 3.4453393E+002, 7.0992073E+001, 1.2904800E-002
 6.0316215E+000, 5.1484700E+002, 1.8160333E+002, 3.3732049E+002, 7.1299333E+001, 1.3788329E-002
 6.1255999E+000, 5.4503446E+002, 1.9126866E+002, 3.5306532E+002, 7.2642828E+001, 1.3100207E-002
 6.2195778E+000, 5.7772134E+002, 2.0230806E+002, 3.7025962E+002, 7.5799913E+001, 1.3450393E-002
 6.3031139E+000, 5.9988923E+002, 2.0987807E+002, 3.8453785E+002, 7.7760983E+001, 1.4796803E-002
 6.3970923E+000, 6.2049410E+002, 2.1726274E+002, 4.0043969E+002, 7.8968510E+001, 1.4419956E-002
 6.4806285E+000, 6.2285872E+002, 2.1950944E+002, 4.0165364E+002, 7.9999382E+001, 1.3353191E-002
 6.5766735E+000, 6.2796694E+002, 2.2251528E+002, 4.0457922E+002, 7.9758680E+001, 1.2240706E-002
 6.6612301E+000, 6.4269565E+002, 2.2951339E+002, 4.1624480E+002, 8.0585846E+001, 1.3283300E-002
 6.7551813E+000, 6.3835083E+002, 2.2733902E+002, 4.1728745E+002, 8.1508001E+001, 1.3930679E-002
 6.8491325E+000, 5.9449793E+002, 2.1177408E+002, 3.9172298E+002, 8.0430392E+001, 1.4796793E-002
 6.9336886E+000, 5.8264344E+002, 2.0672702E+002, 3.8451069E+002, 7.9109060E+001, 1.4515352E-002
 7.0274563E+000, 6.0098940E+002, 2.1381589E+002, 3.9632801E+002, 7.9170346E+001, 1.4676065E-002
 7.1118283E+000, 6.3744257E+002, 2.2868103E+002, 4.1556531E+002, 8.0602645E+001, 1.4892349E-002
 7.2088561E+000, 6.5226107E+002, 2.3489838E+002, 4.2229043E+002, 8.2668605E+001, 1.4455436E-002
 7.2923846E+000, 6.3168493E+002, 2.2667936E+002, 4.0788537E+002, 8.3944760E+001, 1.5562115E-002
 7.3851938E+000, 6.4229491E+002, 2.2847856E+002, 4.1131548E+002, 8.5023340E+001, 1.5707679E-002
 7.4780030E+000, 6.9917494E+002, 2.4648965E+002, 4.4443341E+002, 8.8445488E+001, 1.7437665E-002
 7.5615315E+000, 7.0667760E+002, 2.5056905E+002, 4.4955696E+002, 9.1915741E+001, 1.8061641E-002
 7.6543407E+000, 6.9788855E+002, 2.4711822E+002, 4.4403896E+002, 9.1759650E+001, 1.8796497E-002
 7.7428555E+000, 7.2251259E+002, 2.5693819E+002, 4.5906116E+002, 9.1461299E+001, 1.8552412E-002
 7.8331361E+000, 7.6238442E+002, 2.7221705E+002, 4.9366070E+002, 9.3200193E+001, 1.8704066E-002
 7.9234166E+000, 7.9267582E+002, 2.8452727E+002, 5.1004301E+002, 9.4818246E+001, 1.8039703E-002
 8.0136967E+000, 8.3184997E+002, 2.9968304E+002, 5.2968163E+002, 9.6313836E+001, 1.8648150E-002
 8.1039772E+000, 8.5450826E+002, 3.1397091E+002, 5.4217776E+002, 9.7490486E+001, 1.6260040E-002
