s,Pa,Pa,Pa,C,C,C,kg/m3,kg/m3,kg/m3
FDS Time,"Pres 1","Pres 2","Pres 3","Temp 1","Temp 2","Temp 3","Dens 1","Dens 2","Dens 3"
 0.0000000E+000,-2.3115825E-005,-6.1348427E-006,-2.5074508E-006, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 1.1972491E+000, 1.1972491E+000, 1.1972491E+000
 6.3245553E-001, 4.2805809E+001, 4.2795825E+001, 4.2791618E+001, 2.0035636E+001, 2.0035636E+001, 2.0035636E+001, 1.1976092E+000, 1.1976092E+000, 1.1976092E+000
 1.2649111E+000, 3.3681599E+002, 3.3680203E+002, 3.3679332E+002, 2.0280080E+001, 2.0280080E+001, 2.0280080E+001, 1.2000818E+000, 1.2000818E+000, 1.2000818E+000
 1.8183097E+000, 7.9224372E+002, 7.9224603E+002, 7.9224811E+002, 2.0657746E+001, 2.0657746E+001, 2.0657746E+001, 1.2039087E+000, 1.2039087E+000, 1.2039087E+000
 2.4507651E+000, 1.2618888E+003, 1.2618926E+003, 1.2618960E+003, 2.1045917E+001, 2.1045917E+001, 2.1045917E+001, 1.2078497E+000, 1.2078497E+000, 1.2078497E+000
 3.0041637E+000, 1.7315527E+003, 1.7315484E+003, 1.7315445E+003, 2.1432861E+001, 2.1432861E+001, 2.1432861E+001, 1.2117857E+000, 1.2117857E+000, 1.2117857E+000
 3.6366193E+000, 2.2013486E+003, 2.2013496E+003, 2.2013504E+003, 2.1818644E+001, 2.1818644E+001, 2.1818644E+001, 1.2157176E+000, 1.2157176E+000, 1.2157176E+000
 4.2690749E+000, 2.7027565E+003, 2.7027587E+003, 2.7027605E+003, 2.2229025E+001, 2.2229025E+001, 2.2229025E+001, 1.2199085E+000, 1.2199085E+000, 1.2199085E+000
 4.8224735E+000, 3.1731953E+003, 3.1731931E+003, 3.1731909E+003, 2.2612791E+001, 2.2612791E+001, 2.2612791E+001, 1.2238352E+000, 1.2238352E+000, 1.2238352E+000
 5.4549289E+000, 3.6440610E+003, 3.6440619E+003, 3.6440624E+003, 2.2995653E+001, 2.2995654E+001, 2.2995654E+001, 1.2277604E+000, 1.2277604E+000, 1.2277604E+000
 6.0083275E+000, 4.1153888E+003, 4.1153906E+003, 4.1153918E+003, 2.3377694E+001, 2.3377696E+001, 2.3377696E+001, 1.2316845E+000, 1.2316845E+000, 1.2316845E+000
 6.6407833E+000, 4.5872335E+003, 4.5872329E+003, 4.5872318E+003, 2.3758904E+001, 2.3758912E+001, 2.3758912E+001, 1.2356076E+000, 1.2356076E+000, 1.2356076E+000
 7.2732387E+000, 5.0911070E+003, 5.0911084E+003, 5.0911087E+003, 2.4164662E+001, 2.4164691E+001, 2.4164691E+001, 1.2397917E+000, 1.2397916E+000, 1.2397916E+000
 7.8266373E+000, 5.5640521E+003, 5.5640542E+003, 5.5640549E+003, 2.4544262E+001, 2.4544333E+001, 2.4544333E+001, 1.2437139E+000, 1.2437136E+000, 1.2437136E+000
 8.4590931E+000, 6.0375802E+003, 6.0375813E+003, 6.0375807E+003, 2.4923067E+001, 2.4923219E+001, 2.4923219E+001, 1.2476360E+000, 1.2476354E+000, 1.2476354E+000
