Time,Pres,Temp,Dens
0.0,    0,20.0,1.2
30.,25000,37.5,1.4
60.,50000,55.0,1.6
100,50000,55.0,1.6
200,50000,55.0,1.6
300,50000,55.0,1.6
400,50000,55.0,1.6
500,50000,55.0,1.6
600,50000,55.0,1.6
