s,Pa
FDS Time,"Pressure"
 4.7704620E+001, 2.4318344E+004
 4.8005554E+001, 2.4269914E+004
 4.8306484E+001, 2.4220322E+004
 4.8607418E+001, 2.4178065E+004
 4.8908352E+001, 2.4139495E+004
 4.9209286E+001, 2.4096250E+004
 4.9507050E+001, 2.4034143E+004
 4.9803230E+001, 2.3989464E+004
 5.0115307E+001, 2.3942277E+004
 5.0410320E+001, 2.3899504E+004
 5.0705338E+001, 2.3845704E+004
 5.1000355E+001, 2.3795985E+004
 5.1310898E+001, 2.3742479E+004
 5.1605911E+001, 2.3688254E+004
 5.1900928E+001, 2.3637974E+004
 5.2211472E+001, 2.3578354E+004
 5.2506489E+001, 2.3511793E+004
 5.2801502E+001, 2.3465214E+004
 5.3112045E+001, 2.3390563E+004
 5.3407063E+001, 2.3331183E+004
 5.3702080E+001, 2.3269726E+004
 5.4012623E+001, 2.3196947E+004
 5.4307636E+001, 2.3133886E+004
 5.4602654E+001, 2.3080535E+004
 5.4913197E+001, 2.3022210E+004
 5.5208214E+001, 2.2957316E+004
 5.5503227E+001, 2.2897621E+004
 5.5813770E+001, 2.2832593E+004
 5.6108788E+001, 2.2769054E+004
 5.6403805E+001, 2.2695906E+004
 5.6714348E+001, 2.2633059E+004
 5.7009361E+001, 2.2559685E+004
 5.7304379E+001, 2.2481304E+004
 5.7614922E+001, 2.2409643E+004
 5.7909939E+001, 2.2327169E+004
 5.8204952E+001, 2.2255099E+004
 5.8515495E+001, 2.2183855E+004
 5.8810513E+001, 2.2093929E+004
 5.9105530E+001, 2.2029309E+004
 5.9400543E+001, 2.1975095E+004
 5.9711090E+001, 2.1896778E+004
 6.0006104E+001, 2.1814277E+004
 6.0301121E+001, 2.1742098E+004
 6.0611664E+001, 2.1671597E+004
 6.0902020E+001, 2.1596900E+004
 6.1209457E+001, 2.1505346E+004
 6.1508205E+001, 2.1455622E+004
 6.1800076E+001, 2.1382139E+004
 6.2102764E+001, 2.1303309E+004
 6.2403980E+001, 2.1220933E+004
 6.2705196E+001, 2.1134524E+004
 6.3006413E+001, 2.1051317E+004
 6.3307629E+001, 2.0970758E+004
 6.3608845E+001, 2.0884779E+004
 6.3910061E+001, 2.0798256E+004
 6.4211281E+001, 2.0708854E+004
 6.4512497E+001, 2.0624897E+004
 6.4813713E+001, 2.0536126E+004
 6.5114929E+001, 2.0448870E+004
 6.5401077E+001, 2.0368110E+004
 6.5702293E+001, 2.0281839E+004
 6.6003510E+001, 2.0193871E+004
 6.6304726E+001, 2.0107086E+004
 6.6605942E+001, 2.0020626E+004
 6.6907158E+001, 1.9931965E+004
 6.7208374E+001, 1.9842508E+004
 6.7509590E+001, 1.9759395E+004
 6.7810806E+001, 1.9676464E+004
 6.8112022E+001, 1.9588315E+004
 6.8410225E+001, 1.9508358E+004
 6.8708435E+001, 1.9418734E+004
 6.9006638E+001, 1.9319807E+004
 6.9304840E+001, 1.9221943E+004
 6.9602417E+001, 1.9141852E+004
 6.9913017E+001, 1.9079819E+004
 7.0204384E+001, 1.8995648E+004
 7.0513496E+001, 1.8908977E+004
 7.0806343E+001, 1.8830651E+004
 7.1115456E+001, 1.8737298E+004
 7.1408302E+001, 1.8628029E+004
 7.1701149E+001, 1.8544608E+004
 7.2010269E+001, 1.8464257E+004
 7.2302475E+001, 1.8385272E+004
 7.2608620E+001, 1.8302399E+004
 7.2900192E+001, 1.8200013E+004
 7.3206337E+001, 1.8093046E+004
 7.3512482E+001, 1.7999363E+004
 7.3804054E+001, 1.7912323E+004
 7.4110199E+001, 1.7818080E+004
 7.4401772E+001, 1.7728183E+004
 7.4713745E+001, 1.7634158E+004
 7.5002403E+001, 1.7545837E+004
 7.5307091E+001, 1.7463558E+004
 7.5611778E+001, 1.7367201E+004
 7.5900429E+001, 1.7284797E+004
 7.6201744E+001, 1.7189524E+004
 7.6503052E+001, 1.7094760E+004
 7.6804367E+001, 1.7000269E+004
 7.7105675E+001, 1.6901876E+004
 7.7406982E+001, 1.6801700E+004
 7.7708290E+001, 1.6702668E+004
 7.8009605E+001, 1.6620621E+004
 7.8309479E+001, 1.6542365E+004
 7.8615662E+001, 1.6438461E+004
 7.8907761E+001, 1.6354581E+004
 7.9214172E+001, 1.6274292E+004
 7.9502090E+001, 1.6204097E+004
 7.9803719E+001, 1.6102924E+004
 8.0105347E+001, 1.5998382E+004
 8.0402863E+001, 1.5904130E+004
 8.0708374E+001, 1.5814338E+004
 8.1006783E+001, 1.5743342E+004
 8.1305191E+001, 1.5643232E+004
 8.1603607E+001, 1.5543038E+004
 8.1902016E+001, 1.5450305E+004
 8.2200424E+001, 1.5358272E+004
 8.2513756E+001, 1.5267486E+004
 8.2812164E+001, 1.5180191E+004
 8.3110573E+001, 1.5092002E+004
 8.3408981E+001, 1.5003872E+004
 8.3707397E+001, 1.4921788E+004
 8.4005806E+001, 1.4830230E+004
 8.4304214E+001, 1.4726776E+004
 8.4602623E+001, 1.4644308E+004
 8.4901039E+001, 1.4580471E+004
 8.5214363E+001, 1.4481772E+004
 8.5512779E+001, 1.4361464E+004
 8.5811188E+001, 1.4277318E+004
 8.6109596E+001, 1.4205705E+004
 8.6413979E+001, 1.4130971E+004
 8.6710243E+001, 1.4056915E+004
 8.7014038E+001, 1.3974131E+004
 8.7303368E+001, 1.3880083E+004
 8.7607155E+001, 1.3794758E+004
 8.7910950E+001, 1.3704130E+004
 8.8200279E+001, 1.3608714E+004
 8.8504066E+001, 1.3528334E+004
 8.8807861E+001, 1.3443195E+004
 8.9107315E+001, 1.3330418E+004
 8.9409660E+001, 1.3251409E+004
 8.9712006E+001, 1.3159142E+004
 9.0014359E+001, 1.3082978E+004
 9.0309883E+001, 1.2995801E+004
 9.0609970E+001, 1.2912499E+004
 9.0910049E+001, 1.2844413E+004
 9.1210129E+001, 1.2760245E+004
 9.1510208E+001, 1.2668168E+004
 9.1810287E+001, 1.2575245E+004
 9.2110367E+001, 1.2491296E+004
 9.2410446E+001, 1.2411043E+004
 9.2704811E+001, 1.2335764E+004
 9.3003464E+001, 1.2255430E+004
 9.3302116E+001, 1.2170226E+004
 9.3600769E+001, 1.2079087E+004
 9.3908447E+001, 1.1982575E+004
 9.4203438E+001, 1.1904554E+004
 9.4513878E+001, 1.1819886E+004
 9.4807465E+001, 1.1729645E+004
 9.5101044E+001, 1.1650462E+004
 9.5410080E+001, 1.1584608E+004
 9.5703667E+001, 1.1498622E+004
 9.6012703E+001, 1.1404881E+004
 9.6306282E+001, 1.1332566E+004
 9.6612228E+001, 1.1246330E+004
 9.6901176E+001, 1.1164462E+004
 9.7207123E+001, 1.1101741E+004
 9.7501167E+001, 1.1035333E+004
 9.7800316E+001, 1.0961269E+004
 9.8118156E+001, 1.0899954E+004
 9.8413208E+001, 1.0821836E+004
 9.8712891E+001, 1.0760504E+004
 9.9012566E+001, 1.0701220E+004
 9.9305580E+001, 1.0630079E+004
 9.9614128E+001, 1.0533253E+004
 9.9905792E+001, 1.0473509E+004
 1.0021367E+002, 1.0419142E+004
 1.0050533E+002, 1.0350515E+004
 1.0081320E+002, 1.0261270E+004
 1.0110503E+002, 1.0177146E+004
 1.0141873E+002, 1.0120023E+004
 1.0171283E+002, 1.0047430E+004
 1.0200432E+002, 9.9682936E+003
 1.0231224E+002, 9.8957528E+003
 1.0260890E+002, 9.8600151E+003
 1.0290739E+002, 9.7924835E+003
 1.0321577E+002, 9.7322037E+003
 1.0350601E+002, 9.6528357E+003
 1.0381621E+002, 9.5820469E+003
 1.0411552E+002, 9.5367805E+003
 1.0441566E+002, 9.4499010E+003
 1.0471426E+002, 9.3901995E+003
 1.0501076E+002, 9.3233136E+003
 1.0530443E+002, 9.2527955E+003
 1.0561356E+002, 9.1682908E+003
 1.0591496E+002, 9.1002165E+003
 1.0620400E+002, 9.0203201E+003
 1.0650837E+002, 8.9474237E+003
 1.0680381E+002, 8.8797061E+003
 1.0711402E+002, 8.7969819E+003
 1.0740799E+002, 8.7293237E+003
 1.0770048E+002, 8.6697113E+003
 1.0800922E+002, 8.5908423E+003
 1.0830171E+002, 8.5177874E+003
 1.0861044E+002, 8.4503106E+003
 1.0890294E+002, 8.3888033E+003
 1.0921168E+002, 8.3313297E+003
 1.0950417E+002, 8.2669127E+003
 1.0981778E+002, 8.1832068E+003
 1.1011548E+002, 8.1157726E+003
 1.1040024E+002, 8.0332149E+003
 1.1070082E+002, 7.9728934E+003
 1.1100140E+002, 7.9139551E+003
 1.1130112E+002, 7.8577207E+003
 1.1160282E+002, 7.7855469E+003
 1.1191515E+002, 7.7164076E+003
 1.1221310E+002, 7.6436197E+003
 1.1250865E+002, 7.5878625E+003
 1.1280420E+002, 7.5323202E+003
 1.1311391E+002, 7.4754095E+003
 1.1341505E+002, 7.4234634E+003
 1.1370741E+002, 7.3552219E+003
 1.1401162E+002, 7.2647079E+003
 1.1431293E+002, 7.2065724E+003
 1.1461443E+002, 7.1777544E+003
 1.1491356E+002, 7.1043612E+003
 1.1520725E+002, 6.9989339E+003
 1.1551220E+002, 6.9203896E+003
