s,kg
FDS Time,Total
 0.0000000E+000, 2.7895976E+002
 2.0412415E-001, 2.7895976E+002
 4.0824831E-001, 2.7906182E+002
 6.1237246E-001, 2.7926633E+002
 8.1649661E-001, 2.7947089E+002
 1.0206207E+000, 2.7967540E+002
 1.2247449E+000, 2.7987992E+002
 1.4288690E+000, 2.8008444E+002
 1.6329932E+000, 2.8028896E+002
 1.8371173E+000, 2.8049347E+002
 2.0412414E+000, 2.8069799E+002
 2.2453656E+000, 2.8090249E+002
 2.4494898E+000, 2.8110700E+002
 2.6536138E+000, 2.8131151E+002
 2.8577380E+000, 2.8151602E+002
 3.0618622E+000, 2.8172052E+002
 3.2659864E+000, 2.8192503E+002
 3.4701104E+000, 2.8212954E+002
 3.6742346E+000, 2.8233404E+002
 3.8783588E+000, 2.8253854E+002
 4.0824828E+000, 2.8274304E+002
 4.2866073E+000, 2.8294753E+002
 4.4907312E+000, 2.8315203E+002
 4.6948552E+000, 2.8335652E+002
 4.8989797E+000, 2.8356102E+002
 5.1031036E+000, 2.8376551E+002
 5.3072276E+000, 2.8386782E+002
 5.5113521E+000, 2.8386782E+002
 5.7154760E+000, 2.8386782E+002
 5.9196000E+000, 2.8386782E+002
 6.1237245E+000, 2.8386782E+002
 6.3278484E+000, 2.8386782E+002
 6.5319729E+000, 2.8386782E+002
 6.7360969E+000, 2.8386782E+002
 6.9402208E+000, 2.8386782E+002
 7.1443453E+000, 2.8386782E+002
 7.3484693E+000, 2.8386782E+002
 7.5525932E+000, 2.8386782E+002
 7.7567177E+000, 2.8386782E+002
 7.9608417E+000, 2.8386782E+002
 8.1649656E+000, 2.8386782E+002
 8.3690901E+000, 2.8386782E+002
 8.5732145E+000, 2.8386782E+002
 8.7773380E+000, 2.8386782E+002
 8.9814625E+000, 2.8386782E+002
 9.1855869E+000, 2.8386782E+002
 9.3897104E+000, 2.8386782E+002
 9.5938349E+000, 2.8386782E+002
 9.7979593E+000, 2.8386782E+002
 1.0002083E+001, 2.8386782E+002
 1.0206207E+001, 2.8434714E+002
 1.0410332E+001, 2.8431550E+002
 1.0614455E+001, 2.8429857E+002
 1.0818580E+001, 2.8429092E+002
 1.1022704E+001, 2.8428882E+002
 1.1226828E+001, 2.8428979E+002
 1.1430952E+001, 2.8429222E+002
 1.1635077E+001, 2.8429513E+002
 1.1839200E+001, 2.8429798E+002
 1.2043324E+001, 2.8430052E+002
 1.2247449E+001, 2.8430266E+002
 1.2451572E+001, 2.8430438E+002
 1.2655697E+001, 2.8430574E+002
 1.2859821E+001, 2.8430677E+002
 1.3063946E+001, 2.8430753E+002
 1.3268069E+001, 2.8430806E+002
 1.3472194E+001, 2.8430839E+002
 1.3676318E+001, 2.8430856E+002
 1.3880442E+001, 2.8430860E+002
 1.4084566E+001, 2.8430853E+002
 1.4288691E+001, 2.8430836E+002
 1.4492814E+001, 2.8430813E+002
 1.4696939E+001, 2.8430784E+002
 1.4901063E+001, 2.8430753E+002
 1.5105186E+001, 2.8430720E+002
 1.5309311E+001, 2.8480068E+002
 1.5513435E+001, 2.8479567E+002
 1.5717559E+001, 2.8479246E+002
 1.5921683E+001, 2.8479035E+002
 1.6125807E+001, 2.8478891E+002
 1.6329931E+001, 2.8478789E+002
 1.6534056E+001, 2.8478715E+002
 1.6738180E+001, 2.8478660E+002
 1.6942305E+001, 2.8478620E+002
 1.7146429E+001, 2.8478590E+002
 1.7350552E+001, 2.8478570E+002
 1.7554676E+001, 2.8478558E+002
 1.7758801E+001, 2.8478553E+002
 1.7962925E+001, 2.8478553E+002
 1.8167049E+001, 2.8478557E+002
 1.8371174E+001, 2.8478565E+002
 1.8575296E+001, 2.8478575E+002
 1.8779421E+001, 2.8478588E+002
 1.8983545E+001, 2.8478601E+002
 1.9187670E+001, 2.8478616E+002
 1.9391794E+001, 2.8478631E+002
 1.9595919E+001, 2.8478646E+002
 1.9800041E+001, 2.8478662E+002
 2.0004166E+001, 2.8478677E+002
 2.0208290E+001, 2.8478693E+002
 2.0412415E+001, 2.8386652E+002
 2.0616539E+001, 2.8312913E+002
 2.0820663E+001, 2.8253854E+002
 2.1024788E+001, 2.8206565E+002
 2.1228910E+001, 2.8168706E+002
 2.1433035E+001, 2.8138401E+002
 2.1637159E+001, 2.8114147E+002
 2.1841284E+001, 2.8094736E+002
 2.2045408E+001, 2.8079205E+002
 2.2249533E+001, 2.8066778E+002
 2.2453655E+001, 2.8056836E+002
 2.2657780E+001, 2.8048882E+002
 2.2861904E+001, 2.8042521E+002
 2.3066029E+001, 2.8037433E+002
 2.3270153E+001, 2.8033364E+002
 2.3474277E+001, 2.8030110E+002
 2.3678400E+001, 2.8027508E+002
 2.3882524E+001, 2.8025427E+002
 2.4086649E+001, 2.8023763E+002
 2.4290773E+001, 2.8022432E+002
 2.4494898E+001, 2.8021368E+002
 2.4699022E+001, 2.8020516E+002
 2.4903145E+001, 2.8019834E+002
 2.5107269E+001, 2.8019289E+002
 2.5311394E+001, 2.8018852E+002
 2.5515518E+001, 2.8018502E+002
 2.5719643E+001, 2.8018221E+002
 2.5923767E+001, 2.8017997E+002
 2.6127892E+001, 2.8017816E+002
 2.6332014E+001, 2.8017671E+002
 2.6536139E+001, 2.8017554E+002
