s,kW,kW,kW,kW,kg/s,atm
FDS_HRR_Time,HRR,RAD_LOSS,CONV_LOSS,COND_LOSS,BURN_RATE,ZONE_01
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.4053178E-006, 0.0000000E+000, 0.0000000E+000, 9.9999420E-001
 3.5355338E-001, 3.6923708E-001, 1.2915489E-001,-2.7795610E+000, 1.4785014E-002, 7.2905996E-004, 1.0000695E+000
 6.1871845E-001, 4.2047683E+000, 1.4682659E+000,-6.9106607E+000, 2.2602194E-001, 1.6368890E-003, 1.0002691E+000
 9.7227180E-001, 4.2609991E+001, 1.4863196E+001,-8.6064514E+000, 2.3653339E+000, 2.3082866E-003, 1.0016011E+000
 1.2091399E+000, 1.1989094E+002, 4.4450857E+001,-8.4775353E+000, 1.2218444E+001, 2.7410183E-003, 1.0043531E+000
 1.5123739E+000, 2.1613341E+002, 8.2617449E+001,-2.8452893E+000, 5.4768407E+001, 2.9800322E-003, 1.0120674E+000
 1.8100234E+000, 1.2729018E+002, 4.6149393E+001, 4.3879311E+000, 6.0280284E+001, 3.1491005E-003, 1.0166189E+000
 2.1123109E+000, 1.5341297E+002, 5.3628266E+001, 7.7316402E+000, 5.0546796E+001, 3.2548021E-003, 1.0218201E+000
 2.4082716E+000, 1.4505306E+002, 5.0760452E+001, 9.6997402E+000, 5.3226677E+001, 3.3110909E-003, 1.0264035E+000
 2.7029455E+000, 1.5775290E+002, 5.5275648E+001, 1.1777233E+001, 5.9818079E+001, 3.3433814E-003, 1.0311325E+000
 3.0001931E+000, 1.5674494E+002, 5.5016032E+001, 1.3985225E+001, 6.2705171E+001, 3.3615416E-003, 1.0356421E+000
 3.3115952E+000, 1.5791888E+002, 5.5384032E+001, 1.5579321E+001, 6.5384358E+001, 3.3717671E-003, 1.0402998E+000
 3.6088426E+000, 1.6064932E+002, 5.6296892E+001, 1.7003408E+001, 6.6233157E+001, 3.3773710E-003, 1.0447182E+000
 3.9060903E+000, 1.5979136E+002, 5.5971374E+001, 1.8245994E+001, 6.6656321E+001, 3.3803627E-003, 1.0490429E+000
 4.2033377E+000, 1.6073643E+002, 5.6248294E+001, 1.9433079E+001, 6.7004316E+001, 3.3820149E-003, 1.0533562E+000
 4.5005851E+000, 1.6102734E+002, 5.6308723E+001, 2.0565154E+001, 6.7033673E+001, 3.3829269E-003, 1.0576327E+000
 4.8119874E+000, 1.6119833E+002, 5.6334103E+001, 2.1678409E+001, 6.7182102E+001, 3.3834382E-003, 1.0620688E+000
 5.1092348E+000, 1.6086558E+002, 5.6175845E+001, 2.2718720E+001, 6.7227690E+001, 3.3837177E-003, 1.0662402E+000
 5.4064827E+000, 1.5974515E+002, 5.5762915E+001, 2.3706216E+001, 6.7045182E+001, 3.3838668E-003, 1.0703201E+000
 5.7037301E+000, 1.5848795E+002, 5.5260947E+001, 2.4594912E+001, 6.7006449E+001, 3.3839491E-003, 1.0743041E+000
 6.0009775E+000, 1.5807928E+002, 5.5052735E+001, 2.5498181E+001, 6.6798674E+001, 3.3839944E-003, 1.0782081E+000
 6.3123798E+000, 1.6002340E+002, 5.5684712E+001, 2.6374056E+001, 6.7756423E+001, 3.3840199E-003, 1.0823021E+000
 6.6096272E+000, 1.5908982E+002, 5.5350899E+001, 2.7168164E+001, 6.8199263E+001, 3.3840338E-003, 1.0861117E+000
 6.9068747E+000, 1.5897487E+002, 5.5311193E+001, 2.7906592E+001, 6.8361483E+001, 3.3840412E-003, 1.0898423E+000
 7.2041225E+000, 1.6040254E+002, 5.5772595E+001, 2.8583030E+001, 6.9394234E+001, 3.3840453E-003, 1.0935638E+000
 7.5056162E+000, 1.6080850E+002, 5.6010305E+001, 2.9323517E+001, 7.0067425E+001, 3.3840476E-003, 1.0972836E+000
 7.8014483E+000, 1.5930442E+002, 5.5540680E+001, 3.0053509E+001, 7.0337644E+001, 3.3840488E-003, 1.1008197E+000
 8.1128502E+000, 1.5759075E+002, 5.4939469E+001, 3.0834439E+001, 7.0148752E+001, 3.3840495E-003, 1.1044067E+000
 8.4086828E+000, 1.6068728E+002, 5.5950208E+001, 3.1486821E+001, 7.1215637E+001, 3.3840499E-003, 1.1078841E+000
 8.7045145E+000, 1.5842825E+002, 5.5299743E+001, 3.2023386E+001, 7.1333804E+001, 3.3840501E-003, 1.1112063E+000
 9.0003471E+000, 1.5986993E+002, 5.5873657E+001, 3.2661520E+001, 7.2055416E+001, 3.3840502E-003, 1.1145242E+000
 9.3117485E+000, 1.6112330E+002, 5.6354227E+001, 3.3212881E+001, 7.2768940E+001, 3.3840503E-003, 1.1180118E+000
 9.6075811E+000, 1.6227557E+002, 5.6856596E+001, 3.3904025E+001, 7.3714834E+001, 3.3840503E-003, 1.1213060E+000
 9.9034128E+000, 1.5968846E+002, 5.6009695E+001, 3.4469534E+001, 7.3897097E+001, 3.3840503E-003, 1.1244872E+000
 1.0214815E+001, 1.5545462E+002, 5.4550196E+001, 3.4960523E+001, 7.2627592E+001, 3.3840503E-003, 1.1276215E+000
 1.0510647E+001, 1.6431080E+002, 5.7630551E+001, 3.5611949E+001, 7.4212513E+001, 3.3840503E-003, 1.1308419E+000
 1.0806479E+001, 1.5938512E+002, 5.5983807E+001, 3.6091300E+001, 7.4878977E+001, 3.3840503E-003, 1.1338938E+000
 1.1102311E+001, 1.6155711E+002, 5.6909445E+001, 3.6515273E+001, 7.4562251E+001, 3.3840503E-003, 1.1369248E+000
 1.1413713E+001, 1.5906546E+002, 5.6122083E+001, 3.7127283E+001, 7.5614568E+001, 3.3840503E-003, 1.1400177E+000
 1.1709545E+001, 1.5841781E+002, 5.6005646E+001, 3.7739160E+001, 7.4876208E+001, 3.3840503E-003, 1.1428496E+000
 1.2005378E+001, 1.6107892E+002, 5.6955496E+001, 3.8285694E+001, 7.6123199E+001, 3.3840503E-003, 1.1457264E+000
 1.2301209E+001, 1.6138273E+002, 5.7147949E+001, 3.8576567E+001, 7.7144940E+001, 3.3840503E-003, 1.1485656E+000
 1.2612612E+001, 1.6057926E+002, 5.7031373E+001, 3.9054134E+001, 7.7443352E+001, 3.3840503E-003, 1.1514471E+000
 1.2908444E+001, 1.5888909E+002, 5.6531831E+001, 3.9481159E+001, 7.7755293E+001, 3.3840503E-003, 1.1540912E+000
 1.3204276E+001, 1.6261357E+002, 5.7886242E+001, 3.9923561E+001, 7.8240768E+001, 3.3840503E-003, 1.1568167E+000
 1.3500108E+001, 1.5733626E+002, 5.6131774E+001, 4.0226635E+001, 7.8601748E+001, 3.3840503E-003, 1.1593329E+000
 1.3811510E+001, 1.6089904E+002, 5.7527393E+001, 4.0611414E+001, 7.8459472E+001, 3.3840503E-003, 1.1620277E+000
 1.4107343E+001, 1.5975873E+002, 5.7230429E+001, 4.1003029E+001, 7.9622167E+001, 3.3840503E-003, 1.1645372E+000
