x,DF1unboiled
0.205934,3.52321e-06
0.221743,5.13102e-06
0.245936,2.78547e-05
0.246096,4.05661e-05
0.25408,5.90784e-05
0.25424,8.60387e-05
0.254751,0.000286512
0.293842,0.00026576
0.317173,0.000189475
0.324838,0.000130103
0.340328,8.93347e-05
0.363019,1.41586e-05
0.38635,1.00944e-05
0.409664,6.93133e-06
0.417329,4.75939e-06
0.432819,3.26803e-06
0.448309,2.24399e-06
0.471464,1.05801e-06
0.486953,7.26481e-07
0.518109,5.17947e-07
0.564945,3.98107e-07
0.611862,3.69272e-07
0.690093,3.55648e-07
0.690093,3.55648e-07
0.760531,3.69272e-07
0.838795,3.83419e-07
0.838795,3.83419e-07
0.901361,3.55648e-07
0.940548,4.13358e-07
0.940548,4.13358e-07
1.00313,3.98107e-07
1.03559,6.19208e-06
1.03559,6.19208e-06
1.04358,9.01783e-06
1.05156,1.31331e-05
1.05156,1.31331e-05
1.05172,1.91264e-05
1.05188,2.78547e-05
1.05188,2.78547e-05
1.05987,4.05661e-05
1.06785,5.90784e-05
1.06785,5.90784e-05
1.11491,7.68625e-05
1.13853,0.000107809
1.13853,0.000107809
1.19338,0.000130103
1.24827,0.000169267
1.3109,0.000182484
1.444,0.00022022
1.52226,0.000228657
1.60054,0.000246511
1.63184,0.000246511
1.68671,0.000308884
1.72597,0.000433246
1.78073,0.000417261
1.85895,0.000387039
1.93719,0.000387039
2.13283,0.000401866
2.19551,0.000484969
2.19551,0.000484969
2.25818,0.000585257
2.27404,0.000954095
2.30574,0.00244205
2.33718,0.00342526
2.37618,0.00253561
2.43876,0.00244205
2.43876,0.00244205
2.49345,0.00202359
2.53245,0.00149799
2.53245,0.00149799
2.61066,0.0013895
2.67318,0.0011514
2.67318,0.0011514
2.75148,0.00128886
2.814,0.001068
2.86878,0.00110891
2.92362,0.00128886
2.98627,0.00144273
3.04886,0.00144273
3.10372,0.00174107
3.14297,0.00235195
3.2292,0.00342526
3.31612,0.0251189
3.35572,0.0775882
3.39548,0.349025
3.44235,0.289217
3.45784,0.198591
3.48117,0.141586
3.51262,0.198591
3.53555,0.0553168
3.56653,0.0260811
3.613,0.00844366
3.71461,0.00649
3.76941,0.00699678
3.96465,0.00283832
4.01935,0.00244205
4.07414,0.00253561
4.13677,0.0027336
4.28555,0.00355648
4.32468,0.00355648
4.36371,0.00283832
4.48101,0.00244205
4.53569,0.00194893
4.58273,0.00244205
4.64527,0.00210111
4.67662,0.00235195
4.72344,0.00174107
4.78611,0.00210111
4.84865,0.00180777
4.88004,0.00226518
4.93477,0.00202359
5.10694,0.0021816
5.16168,0.00202359
5.24008,0.00283832
5.30263,0.00253561
5.35748,0.00305995
5.40431,0.00235195
5.44345,0.00244205
5.49828,0.0027336
5.55298,0.00235195
5.60003,0.00294705
5.61573,0.00329889
5.67045,0.00294705
5.70964,0.00342526
5.7567,0.00445635
5.81152,0.00498838
5.85074,0.00625055
5.88204,0.00625055
5.94467,0.00673863
5.97582,0.00480433
