Length,Pres
0.0,0.21
0.5,0.21
1.0,0.21
1.5,0.21
2.0,0.21
2.5,0.21
3.0,0.21
3.5,0.21
4.0,0.21
4.5,0.105
5.0,0.0
5.5,0.0
6.0,0.0
6.5,0.0
7.0,0.0
7.5,0.0
8.0,0.0
8.5,0.0
9.0,0.0
9.5,0.0
10.0,0.0
