Time,x,z,u,w
0.00,0.00000,8.00000,400.00000,0.00000
0.05,15.06500,7.98970,232.56000,-0.38744
0.10,24.77800,7.96260,163.93000,-0.69082
0.15,31.96000,7.92100,126.58000,-0.96759
0.20,37.66200,7.86600,103.09000,-1.23260
0.25,42.39000,7.79790,86.95700,-1.49130
0.30,46.43000,7.71690,75.18800,-1.74630
0.35,49.95600,7.62330,66.22500,-1.99890
0.40,53.08400,7.51700,59.17200,-2.24990
0.45,55.89500,7.39830,53.47600,-2.49980
0.50,58.44800,7.26710,48.78000,-2.74880
0.55,60.78600,7.12340,44.84300,-2.99710
0.60,62.94200,6.96740,41.49400,-3.24500
0.65,64.94300,6.79890,38.61000,-3.49240
0.70,66.80900,6.61810,36.10100,-3.73960
0.75,68.55800,6.42500,33.89800,-3.98640
0.80,70.20400,6.21950,31.94900,-4.23310
0.85,71.75700,6.00170,30.21100,-4.47960
0.90,73.22800,5.77150,28.65300,-4.72590
0.95,74.62500,5.52910,27.24800,-4.97210
1.00,75.95500,5.27430,25.97400,-5.21820
1.05,77.22400,5.00730,24.81400,-5.46420
1.10,78.43800,4.72790,23.75300,-5.71010
1.15,79.60100,4.43630,22.77900,-5.95590
1.20,80.71700,4.13230,21.88200,-6.20170
1.25,81.79000,3.81610,21.05300,-6.44740
1.30,82.82300,3.48760,20.28400,-6.69300
1.35,83.81900,3.14680,19.56900,-6.93860
1.40,84.78100,2.79370,18.90400,-7.18420
1.45,85.71000,2.42840,18.28200,-7.42970
1.50,86.61000,2.05080,17.69900,-7.67520
1.55,87.48100,1.66090,17.15300,-7.92070
1.60,88.32600,1.25870,16.63900,-8.16610
1.65,89.14500,0.84425,16.15500,-8.41150
