Re_H, friction_factor
1995.3,0.049491
2225.7,0.047782
2482.8,0.046156
2769.6,0.044607
3089.6,0.04313
3446.5,0.041723
3844.6,0.04038
4288.7,0.039098
4784.1,0.037873
5336.7,0.036702
5953.2,0.035577
6640.8,0.034506
7407.9,0.03348
8263.6,0.032498
9218.2,0.031556
10283,0.030653
11471,0.029786
12796,0.028954
14274,0.028156
15923,0.027388
17762,0.02665
19814,0.025941
22103,0.025258
24656,0.024601
27504,0.023968
30681,0.023358
34225,0.022771
38178,0.022204
42589,0.021658
47508,0.021131
52996,0.020622
59118,0.02013
65947,0.019656
73564,0.019197
82062,0.018754
91541,0.018325
1.0212e+005,0.017911
1.1391e+005,0.01751
1.2707e+005,0.017121
1.4175e+005,0.016745
1.5812e+005,0.016381
1.7639e+005,0.016029
1.9676e+005,0.015687
2.1949e+005,0.015356
2.4484e+005,0.015034
2.7313e+005,0.014723
3.0468e+005,0.01442
3.3987e+005,0.014127
3.7913e+005,0.013842
4.2292e+005,0.013566
4.7178e+005,0.013297
5.2627e+005,0.013036
5.8707e+005,0.012783
6.5488e+005,0.012537
7.3053e+005,0.012297
8.1491e+005,0.012064
9.0905e+005,0.011837
1.0141e+006,0.011617
1.1312e+006,0.011403
1.2619e+006,0.011194
1.4076e+006,0.010991
1.5702e+006,0.010793
1.7516e+006,0.0106
1.9539e+006,0.010412
2.1796e+006,0.010229
2.4314e+006,0.010051
2.7123e+006,0.0098771
3.0256e+006,0.0097077
3.3751e+006,0.0095425
3.7649e+006,0.0093813
4.1998e+006,0.0092241
4.685e+006,0.0090707
5.2261e+006,0.008921
5.8298e+006,0.0087749
6.5033e+006,0.0086323
7.2545e+006,0.008493
8.0925e+006,0.008357
9.0273e+006,0.0082242
1.007e+007,0.0080944
1.1233e+007,0.0079676
1.2531e+007,0.0078437
1.3978e+007,0.0077226
1.5593e+007,0.0076042
1.7394e+007,0.0074885
1.9403e+007,0.0073753
2.1645e+007,0.0072646
2.4145e+007,0.0071563
2.6934e+007,0.0070504
3.0045e+007,0.0069467
3.3516e+007,0.0068453
3.7388e+007,0.006746
4.1706e+007,0.0066489
4.6524e+007,0.0065537
5.1898e+007,0.0064606
5.7893e+007,0.0063694
6.458e+007,0.00628
7.204e+007,0.0061925
8.0362e+007,0.0061068
8.9645e+007,0.0060232
1e+008,0.0059408
1995.3,0.049492
2225.7,0.047783
2482.8,0.046156
2769.6,0.044607
3089.6,0.043131
3446.5,0.041724
3844.6,0.040381
4288.7,0.039099
4784.1,0.037874
5336.7,0.036703
5953.2,0.035578
6640.8,0.034507
7407.9,0.033481
8263.6,0.032499
9218.2,0.031557
10283,0.030654
11471,0.029788
12796,0.028956
14274,0.028157
15923,0.02739
17762,0.026652
19814,0.025943
22103,0.02526
24656,0.024603
27504,0.02397
30681,0.023361
34225,0.022774
38178,0.022207
42589,0.021661
47508,0.021134
52996,0.020626
59118,0.020134
65947,0.01966
73564,0.019202
82062,0.018759
91541,0.018331
1.0212e+005,0.017916
1.1391e+005,0.017516
1.2707e+005,0.017128
1.4175e+005,0.016752
1.5812e+005,0.016389
1.7639e+005,0.016036
1.9676e+005,0.015695
2.1949e+005,0.015364
2.4484e+005,0.015044
2.7313e+005,0.014733
3.0468e+005,0.014431
3.3987e+005,0.014139
3.7913e+005,0.013855
4.2292e+005,0.013579
4.7178e+005,0.013311
5.2627e+005,0.013052
5.8707e+005,0.012799
6.5488e+005,0.012554
7.3053e+005,0.012316
8.1491e+005,0.012084
9.0905e+005,0.011859
1.0141e+006,0.01164
1.1312e+006,0.011428
1.2619e+006,0.011221
1.4076e+006,0.01102
1.5702e+006,0.010824
1.7516e+006,0.010634
1.9539e+006,0.010448
2.1796e+006,0.010268
2.4314e+006,0.010093
2.7123e+006,0.0099223
3.0256e+006,0.0097563
3.3751e+006,0.0095949
3.7649e+006,0.0094378
4.1998e+006,0.009285
4.685e+006,0.0091363
5.2261e+006,0.0089918
5.8298e+006,0.0088512
6.5033e+006,0.0087145
7.2545e+006,0.0085817
8.0925e+006,0.0084526
9.0273e+006,0.0083272
1.007e+007,0.0082055
1.1233e+007,0.0080873
1.2531e+007,0.0079727
1.3978e+007,0.0078616
1.5593e+007,0.0077545
1.7394e+007,0.0076503
1.9403e+007,0.0075495
2.1645e+007,0.007452
2.4145e+007,0.007358
2.6934e+007,0.0072672
3.0045e+007,0.0071798
3.3516e+007,0.0070958
3.7388e+007,0.007015
4.1706e+007,0.0069374
4.6524e+007,0.0068632
5.1898e+007,0.0067922
5.7893e+007,0.0067244
6.458e+007,0.0066598
7.204e+007,0.0065983
8.0362e+007,0.00654
8.9645e+007,0.0064848
1e+008,0.0064326
1995.3,0.049504
2225.7,0.047796
2482.8,0.04617
2769.6,0.044622
3089.6,0.043147
3446.5,0.04174
3844.6,0.040398
4288.7,0.039116
4784.1,0.037892
5336.7,0.036722
5953.2,0.035598
6640.8,0.034528
7407.9,0.033504
8263.6,0.032523
9218.2,0.031582
10283,0.030681
11471,0.029816
12796,0.028986
14274,0.028188
15923,0.027423
17762,0.026687
19814,0.02598
22103,0.025299
24656,0.024644
27504,0.024014
30681,0.023407
34225,0.022823
38178,0.02226
42589,0.021717
47508,0.021193
52996,0.020688
59118,0.020201
65947,0.019731
73564,0.019277
82062,0.018839
91541,0.018416
1.0212e+005,0.018008
1.1391e+005,0.017613
1.2707e+005,0.017232
1.4175e+005,0.016863
1.5812e+005,0.016507
1.7639e+005,0.016163
1.9676e+005,0.015831
2.1949e+005,0.015509
2.4484e+005,0.015198
2.7313e+005,0.014898
3.0468e+005,0.014608
3.3987e+005,0.014328
3.7913e+005,0.014057
4.2292e+005,0.013795
4.7178e+005,0.013543
5.2627e+005,0.013299
5.8707e+005,0.013064
6.5488e+005,0.012837
7.3053e+005,0.012618
8.1491e+005,0.012408
9.0905e+005,0.012205
1.0141e+006,0.01201
1.1312e+006,0.011823
1.2619e+006,0.011643
1.4076e+006,0.011471
1.5702e+006,0.011305
1.7516e+006,0.011147
1.9539e+006,0.010997
2.1796e+006,0.010853
2.4314e+006,0.010715
2.7123e+006,0.010585
3.0256e+006,0.01046
3.3751e+006,0.010343
3.7649e+006,0.010231
4.1998e+006,0.010126
4.685e+006,0.010027
5.2261e+006,0.0099341
5.8298e+006,0.0098467
6.5033e+006,0.0097648
7.2545e+006,0.0096884
8.0925e+006,0.0096171
9.0273e+006,0.0095507
1.007e+007,0.0094892
1.1233e+007,0.0094322
1.2531e+007,0.0093794
1.3978e+007,0.0093308
1.5593e+007,0.0092861
1.7394e+007,0.0092449
1.9403e+007,0.0092072
2.1645e+007,0.0091727
2.4145e+007,0.0091411
2.6934e+007,0.0091123
3.0045e+007,0.009086
3.3516e+007,0.0090621
3.7388e+007,0.0090404
4.1706e+007,0.0090207
4.6524e+007,0.0090028
5.1898e+007,0.0089866
5.7893e+007,0.008972
6.458e+007,0.0089587
7.204e+007,0.0089467
8.0362e+007,0.0089359
8.9645e+007,0.0089262
1e+008,0.0089173
1995.3,0.049733
2225.7,0.048034
2482.8,0.046419
2769.6,0.044881
3089.6,0.043417
3446.5,0.042023
3844.6,0.040694
4288.7,0.039427
4784.1,0.038212
5336.7,0.037059
5953.2,0.035958
6640.8,0.034906
7407.9,0.033901
8263.6,0.032941
9218.2,0.032022
10283,0.031144
11471,0.030304
12796,0.0295
14274,0.028732
15923,0.027996
17762,0.027292
19814,0.026619
22103,0.025974
24656,0.025358
27504,0.024768
30681,0.024205
34225,0.023666
38178,0.023151
42589,0.02266
47508,0.022191
52996,0.021744
59118,0.021317
65947,0.020912
73564,0.020525
82062,0.020158
91541,0.01981
1.0212e+005,0.01948
1.1391e+005,0.019167
1.2707e+005,0.018872
1.4175e+005,0.018593
1.5812e+005,0.01833
1.7639e+005,0.018083
1.9676e+005,0.01785
2.1949e+005,0.017632
2.4484e+005,0.017428
2.7313e+005,0.017237
3.0468e+005,0.01706
3.3987e+005,0.016894
3.7913e+005,0.016741
4.2292e+005,0.016598
4.7178e+005,0.016467
5.2627e+005,0.016345
5.8707e+005,0.016233
6.5488e+005,0.01613
7.3053e+005,0.016036
8.1491e+005,0.015949
9.0905e+005,0.01587
1.0141e+006,0.015797
1.1312e+006,0.015731
1.2619e+006,0.015671
1.4076e+006,0.015616
1.5702e+006,0.015566
1.7516e+006,0.015521
1.9539e+006,0.01548
2.1796e+006,0.015443
2.4314e+006,0.015409
2.7123e+006,0.015379
3.0256e+006,0.015352
3.3751e+006,0.015327
3.7649e+006,0.015305
4.1998e+006,0.015285
4.685e+006,0.015266
5.2261e+006,0.01525
5.8298e+006,0.015235
6.5033e+006,0.015222
7.2545e+006,0.01521
8.0925e+006,0.015199
9.0273e+006,0.01519
1.007e+007,0.015181
1.1233e+007,0.015173
1.2531e+007,0.015166
1.3978e+007,0.01516
1.5593e+007,0.015155
1.7394e+007,0.01515
1.9403e+007,0.015145
2.1645e+007,0.015141
2.4145e+007,0.015137
2.6934e+007,0.015134
3.0045e+007,0.015131
3.3516e+007,0.015128
3.7388e+007,0.015126
4.1706e+007,0.015124
4.6524e+007,0.015122
5.1898e+007,0.01512
5.7893e+007,0.015119
6.458e+007,0.015117
7.204e+007,0.015116
8.0362e+007,0.015115
8.9645e+007,0.015114
1e+008,0.015113
1995.3,0.053677
2225.7,0.052128
2482.8,0.050673
2769.6,0.049303
3089.6,0.048016
3446.5,0.046806
3844.6,0.045669
4288.7,0.044603
4784.1,0.043603
5336.7,0.042667
5953.2,0.04179
6640.8,0.040971
7407.9,0.040207
8263.6,0.039494
9218.2,0.03883
10283,0.038214
11471,0.037641
12796,0.037111
14274,0.036622
15923,0.036168
17762,0.035749
19814,0.035364
22103,0.03501
24656,0.034684
27504,0.034386
30681,0.034114
34225,0.033864
38178,0.033637
42589,0.03343
47508,0.033241
52996,0.03307
59118,0.032914
65947,0.032773
73564,0.032645
82062,0.032529
