Time,Convective HRR,Total HRR
s,kW,kW
3,0.0,19.8
7,0.0,19.9
10,0.0,20.5
14,0.0,20.4
18,0.0,53.0
21,0.0,58.3
25,0.0,134.0
29,9.8,167.9
33,62.4,649.9
36,135.8,621.6
40,319.3,1121.1
44,686.7,2444.3
47,1360.5,2524.7
51,1714.7,3086.7
55,1937.6,3372.2
59,1790.2,3614.1
62,1702.1,3637.9
66,1766.6,4343.4
70,1996.3,6758.5
73,2631.0,6664.7
77,3194.6,8475.2
81,4046.0,11514.8
84,4789.6,14249.1
88,5480.3,16353.9
92,7571.6,20901.3
96,7487.5,21758.2
99,8061.1,23553.5
103,8097.9,25129.1
107,8595.8,28769.4
111,8779.0,29968.1
114,9550.2,32851.3
120,10514.5,39839.9
124,9744.4,38291.8
127,9868.7,40463.5
131,9623.3,NaN
134,9722.2,NaN
138,10519.4,NaN
141,10612.6,NaN
145,8321.1,NaN
148,6629.6,NaN
152,5106.7,NaN
155,4019.5,NaN
159,3033.2,NaN
162,2467.8,NaN
166,2053.4,NaN
169,1784.4,NaN
173,1561.1,NaN
176,1458.0,NaN
180,1367.0,NaN
184,1297.0,NaN
187,1213.5,NaN
191,1096.6,NaN
194,1012.8,NaN
198,975.7,NaN
202,910.9,NaN
205,820.8,NaN
209,807.5,NaN
213,816.5,NaN
216,748.2,NaN
220,747.0,NaN
223,709.5,NaN
227,709.3,NaN
230,740.2,NaN
234,733.8,NaN
238,721.0,NaN
241,729.5,NaN
245,744.6,NaN
249,824.3,NaN
252,807.8,NaN
256,842.9,NaN
259,878.1,NaN
263,1012.2,NaN
267,879.7,NaN
270,609.7,NaN
274,398.8,NaN
278,269.0,NaN
281,198.7,NaN
285,171.8,NaN
288,146.9,NaN
292,136.4,NaN
296,138.6,NaN
299,130.0,NaN
303,120.9,NaN
307,147.2,NaN
310,145.2,NaN
314,162.1,NaN
317,228.3,NaN
321,252.6,NaN
325,276.8,NaN
328,278.8,NaN
332,350.3,NaN
336,314.8,NaN
339,312.1,NaN
343,267.4,NaN
346,226.6,NaN
350,199.7,NaN
354,169.3,NaN
357,175.5,NaN
361,193.7,NaN
364,214.1,NaN
368,220.8,NaN
371,226.6,NaN
375,187.8,NaN
