Time,Convective HRR,Total HRR
s,kW,kW
0,0,0
2,0,16.8
4,1.7,0
6,2.1,8.3
8,1.5,16.9
10,0.7,0
12,0,69
14,0.5,8.1
16,1.2,82.4
18,1.5,81
20,1.9,48.7
22,0,22.8
24,0,0
26,0.4,102.3
28,0.6,10
30,0.9,97.6
32,0.8,19.4
34,2,45.3
36,2.9,0
38,3.2,36.6
40,3.9,118.2
42,4.9,26.6
44,5.8,85.5
46,7.8,36.7
48,9.9,99.4
50,10.6,37.9
52,9.4,26.4
54,7.8,27.1
56,7,0
58,8.3,64
60,9.2,0
62,9,100.9
64,9.4,45.8
66,9,108.3
68,9.3,52.8
70,10.7,87.7
72,13.2,89.1
74,11,70.5
76,13.8,127.5
78,18.5,51
80,19.7,98.4
82,17.9,68.3
84,20.6,90.7
86,23.5,139.1
88,34.1,120.5
90,40.2,220.5
92,49.9,159
94,53.6,220.2
96,62.1,157.8
98,73.3,241.5
100,82.5,246.4
102,87.1,314.1
104,94.7,380.8
106,118.3,401.5
108,146.8,508.8
110,171.8,516.9
112,192.9,674.9
114,220,718.1
116,295.4,857.6
118,370.7,1039.6
120,447,1132.1
122,550.5,1354.9
124,701.9,1485.5
126,925.6,1863.3
128,1009.4,2088.6
130,1235.7,2498.9
132,1673.8,2940
134,1990.5,3248.7
136,2157.1,3600.9
138,2293.9,3998.1
140,2467.1,4398.9
142,2547.1,4503.3
144,2648,4666.1
146,3100.3,5615.1
148,3256.6,6113.7
150,3440.4,6554.1
152,3410.2,6651.8
154,3704.9,7208.6
156,3808.7,7384.2
158,4123.9,8256.3
160,4403.5,8505.1
162,4605.4,8994.2
164,4825.9,9291.3
166,4994.5,9300
168,5114,9715.6
170,5076.7,9969.6
172,5330.1,10364.9
174,5435.7,10003.2
176,5225.3,9257.6
178,4989.7,8825.4
180,4807.4,8744.6
182,4333.5,7904.4
184,4141.3,7169.8
186,4157.5,6444.8
188,3708,4960.5
190,3440,4160
192,1865.7,3307.3
194,767.3,2614.1
196,426.3,1933.1
198,267.1,1657
200,96.7,1178.1
202,10.4,891.5
204,NaN,764.7
206,NaN,576.2
208,NaN,554.6
210,NaN,472
212,NaN,436.5
214,NaN,435.7
216,NaN,350.4
218,NaN,390.1
220,NaN,336.7
222,NaN,389.7
224,NaN,316
226,NaN,333.9
228,NaN,274.5
230,NaN,239.1
232,NaN,281.6
234,NaN,207.5
236,NaN,229.5
238,NaN,151.4
240,NaN,214.3
242,NaN,158.3
244,NaN,172.8
246,NaN,162.8
248,NaN,193.3
250,NaN,185.9
252,NaN,160.2
254,NaN,208.8
256,NaN,147.6
258,NaN,193.6
260,NaN,180.4
262,NaN,170.9
264,NaN,194.8
266,NaN,160.2
268,NaN,235.3
270,NaN,161.5
272,NaN,219.3
274,NaN,161.7
276,NaN,204.2
278,NaN,201.7
280,NaN,168.1
282,NaN,218.4
284,NaN,150.3
286,NaN,227.7
288,NaN,154
290,NaN,217.8
292,NaN,184.7
294,NaN,197.6
296,NaN,212.6
298,NaN,162.8
300,NaN,232.6
302,NaN,152.9
304,NaN,211.1
306,NaN,155.8
308,NaN,224.5
310,NaN,161.8
312,NaN,199.6
314,NaN,220.4
316,NaN,176
318,NaN,211.9
320,NaN,185.2
322,NaN,168.7
324,NaN,181.9
326,NaN,187.7
