Time ,Mass_1 (kg),Q_1 (kJ),Mass_2 (kg),Q_2 (kJ),Mass_3 (kg),Q_3 (kJ),Mass_4 (kg),Q_4 (kJ)
60,0.000517,6.204,0.000772,9.264,0.0011,13.2,0.00151,18
70,0.000517,6.204,0.000772,9.264,0.0011,13.2,0.00151,18
80,0.000517,6.204,0.000772,9.264,0.0011,13.2,0.00151,18
90,0.000517,6.204,0.000772,9.264,0.0011,13.2,0.00151,18
100,0.000517,6.204,0.000772,9.264,0.0011,13.2,0.00151,18
