Temperature (C),HRR (W/g)
99.931,-1.926
99.938,-2.6682
99.97,-3.6523
100.01,-4.4276
100.05,-4.6138
100.09,-4.5931
100.12,-4.9683
100.17,-5.0538
100.23,-4.9739
100.28,-4.9486
100.36,-4.372
100.43,-3.6723
100.5,-2.8038
100.63,-2.037
100.75,-1.314
100.87,-0.55784
101.01,-0.15747
101.13,0.051527
101.26,0.17652
101.42,0.31513
101.54,0.26319
101.71,0.36361
101.89,0.50954
102.06,0.28125
102.23,0.62637
102.39,0.62238
102.59,0.47055
102.79,0.62408
102.97,0.58933
103.18,0.73421
103.38,0.65277
103.6,0.67161
103.81,0.57171
104,0.56238
104.21,0.71635
104.46,0.53727
104.69,0.50588
104.92,0.40833
105.17,0.40705
105.4,0.33247
105.66,0.4028
105.91,0.49068
106.21,0.57196
106.43,0.75251
106.71,0.83338
107.01,0.74166
107.29,0.7385
107.55,0.7877
107.86,0.59678
108.13,0.72071
108.4,0.51488
108.72,0.6225
109.06,0.83224
109.33,0.8085
109.67,0.87108
109.96,0.82581
110.26,1.1267
110.58,1.0623
110.91,0.97245
111.24,0.92778
111.6,0.82096
111.93,0.70902
112.29,0.7902
112.61,0.80656
112.97,0.93664
113.29,0.83123
113.64,0.92767
114.02,0.79619
114.36,0.79806
114.72,0.99133
115.13,1.0369
115.47,1.1418
115.87,1.1537
116.24,1.0713
116.62,1.2448
117,1.2724
117.36,1.1518
117.75,1.1477
118.13,1.2682
118.52,1.2125
118.95,1.1665
119.33,1.2499
119.73,1.3299
120.13,1.5127
120.51,1.5842
120.96,1.5633
121.38,1.5495
121.81,1.7095
122.22,1.7191
122.63,1.6976
123.05,1.6019
123.5,1.5321
123.93,1.628
124.34,1.7115
124.77,1.6402
125.22,1.5587
125.63,1.572
126.06,1.6658
126.55,1.7337
126.94,1.617
127.42,1.6021
127.84,1.8306
128.29,1.7196
128.72,1.9095
129.15,1.9203
129.65,1.6992
130.09,1.6877
130.52,1.5275
130.96,1.5129
131.45,1.5718
131.92,1.5834
132.39,1.6629
132.88,1.492
133.33,1.5961
133.8,1.5218
134.28,1.5911
134.72,1.5606
135.19,1.5031
135.68,1.6431
136.16,1.7801
136.69,1.951
137.12,1.9127
137.61,2.1595
138.07,2.0885
138.58,1.9148
139.06,2.116
139.52,2.147
140.05,2.2666
140.54,2.0433
141.04,2.2789
141.51,2.1785
141.98,2.2682
142.5,2.1601
142.97,2.1306
143.45,1.9867
143.97,2.0997
144.45,1.9719
144.96,1.8573
145.49,1.8609
145.98,1.7437
146.46,1.7609
146.97,1.6491
147.5,1.7507
148.03,1.6675
148.53,1.8261
149.05,1.662
149.54,1.7317
150.08,1.7461
150.57,1.7062
151.06,1.537
151.58,1.7378
152.13,1.768
152.63,1.6304
153.16,1.8889
153.66,1.7764
154.19,1.707
154.71,1.6832
155.24,1.7408
155.78,1.8681
156.26,1.7883
156.79,1.7936
157.33,1.765
157.83,1.6826
158.35,1.5904
158.9,1.8254
159.39,1.7023
159.98,1.777
160.48,1.7505
161.03,1.8647
161.57,1.9397
162.1,1.9495
162.67,1.8636
163.17,1.8961
163.72,1.917
164.26,2.0495
164.82,2.2352
165.36,2.0964
165.86,2.1289
166.38,2.1549
166.94,2.0163
167.48,2.0976
168.04,2.1343
168.51,2.1768
169.07,2.0576
169.63,2.1252
170.2,2.0195
170.74,1.8966
171.23,1.8187
171.8,1.7959
172.31,1.8051
172.87,1.7446
173.42,1.7067
173.95,1.6923
174.5,1.7192
175.09,1.4717
175.6,1.8229
176.17,1.8163
176.73,1.8149
177.23,2.0055
177.81,1.8935
178.35,1.8496
178.92,1.835
179.48,2.1147
180,2.0726
180.54,2.067
181.08,1.9802
181.6,2.0488
182.19,2.0297
182.69,1.9522
183.28,2.1229
183.82,2.15
184.36,2.1955
184.9,2.1298
185.52,2.0633
186.05,2.119
186.57,2.0649
187.1,2.1415
187.7,2.1478
188.21,2.1898
188.77,2.3095
189.31,2.2117
189.87,2.2224
190.47,2.1869
191,2.1552
191.58,2.1994
192.11,2.2498
192.66,2.2808
193.22,2.5862
193.79,2.3948
194.35,2.2203
194.86,2.1557
195.43,2.2149
195.99,2.1076
196.52,2.2192
197.08,2.2786
197.63,2.1405
198.22,2.3102
198.74,2.4183
199.28,2.2963
199.83,2.3583
200.42,2.351
200.92,2.6124
201.5,2.7047
202.08,2.4426
202.6,2.6363
203.16,2.6781
203.74,2.657
204.28,2.6312
204.85,2.6474
205.42,2.6997
205.96,2.5889
206.49,2.6845
207.09,2.6269
207.59,2.6465
208.16,2.6109
208.76,2.731
209.29,2.6037
209.82,2.6303
210.39,2.6065
210.91,2.5875
211.48,2.6698
212.03,2.6628
212.59,2.6294
213.14,2.5774
213.69,2.6003
214.24,2.6052
214.77,2.4478
215.32,2.6158
215.89,2.489
216.42,2.4936
216.97,2.4495
217.51,2.5338
218.06,2.6028
218.61,2.5945
219.15,2.7738
219.71,2.5395
220.23,2.6155
220.77,2.4998
221.29,2.6386
221.87,2.6765
222.41,2.5639
222.97,2.6225
223.51,2.8656
224.03,2.7807
224.58,2.7755
225.14,2.8891
225.66,2.7821
226.18,2.79
226.77,2.7565
227.28,2.472
227.82,2.6761
228.4,2.9463
228.94,2.9043
229.48,3.0366
230.01,3.0373
230.56,3.1933
231.11,3.0751
231.66,2.9951
232.17,3.0613
232.73,3.0588
233.28,3.2078
233.82,2.9503
234.35,2.8037
234.87,2.7758
235.41,2.9179
235.94,2.9657
236.49,2.8984
237.03,2.8676
237.57,3.0331
238.1,2.9586
238.6,2.941
239.18,2.9931
239.71,2.9067
240.24,2.5672
240.76,2.8762
241.3,2.9365
241.88,2.7313
242.41,2.9839
242.91,2.9537
243.43,2.9627
244.01,3.1865
244.52,3.2018
245.1,3.2908
245.62,3.1805
246.19,3.1959
246.69,3.1924
247.24,3.3955
247.75,3.2748
248.28,3.3313
248.82,3.3694
249.31,3.4613
249.89,3.3203
250.42,3.2849
250.91,3.228
251.45,3.1922
251.97,3.3002
252.5,3.3336
253.01,3.1819
253.55,3.2521
254.1,3.1642
254.62,3.083
255.14,2.926
255.64,2.8106
256.18,2.7689
256.73,3.1049
257.22,2.9957
257.76,2.7828
258.27,2.8801
258.79,2.739
259.32,2.7067
259.86,2.8628
260.36,2.8765
260.91,2.9745
261.42,2.7246
261.97,2.8886
262.48,2.84
263,2.9417
263.51,2.7942
264.04,2.8469
264.54,2.8464
265.07,2.981
265.63,2.9275
266.19,2.8643
266.71,2.705
267.24,2.5925
267.69,2.5168
268.25,2.5004
268.76,2.4458
269.27,2.4761
269.8,2.4745
270.35,2.6065
270.83,2.7748
271.36,2.7054
271.89,2.634
272.4,2.7562
272.9,3.0436
273.43,2.8393
273.97,3.1716
274.45,2.9989
274.97,3.0357
275.49,3.0148
276.01,3.0887
276.49,3.1719
277.01,3.0228
277.51,3.1172
278.08,3.1367
278.58,3.1772
279.07,3.3791
279.6,3.2949
280.1,3.4692
280.6,3.5888
281.14,3.4641
281.63,3.4689
282.13,3.5495
282.68,3.5396
283.14,3.6685
283.7,3.4542
284.2,3.4846
284.69,3.5326
285.2,3.7158
285.73,3.6673
286.26,3.726
286.78,3.891
287.29,3.8962
287.82,3.8429
288.28,3.9678
288.8,3.8646
289.31,3.9308
289.82,4.168
290.31,4.2851
290.83,4.301
291.33,4.4906
291.87,4.3826
292.35,4.594
292.87,4.378
293.4,4.4685
293.89,4.4764
294.42,4.673
294.92,4.9086
295.42,5.0411
295.92,5.0988
296.42,5.3655
296.92,5.4758
297.43,5.2881
297.95,5.3142
298.44,5.479
298.95,5.5184
299.48,5.854
299.97,5.9337
300.47,5.9413
300.97,6.0719
301.48,6.081
301.96,6.2063
302.45,6.1854
302.96,5.8755
303.47,6.001
303.99,5.9008
304.49,5.9504
304.99,6.1351
305.47,6.0171
305.95,6.1224
306.47,6.4954
306.95,6.5067
307.43,6.4658
307.91,6.6619
308.46,6.7788
308.96,6.6904
309.47,6.6507
309.97,6.9574
310.46,6.7401
310.95,6.7612
311.44,6.7972
311.92,6.8124
312.41,6.5983
312.89,6.7884
313.4,6.5456
313.91,6.6168
314.43,6.6769
314.94,6.5773
315.4,6.665
315.9,6.8677
316.41,6.9908
316.9,6.9969
317.45,7.0358
317.94,6.8478
318.45,7.0427
318.94,7.2276
319.41,7.2554
319.91,7.33
320.43,7.48
320.88,7.5559
321.41,7.4798
321.89,7.5519
322.37,7.5482
322.86,7.757
323.36,7.5487
323.88,7.5804
324.38,7.6022
324.89,7.5163
325.38,7.6734
325.91,7.5479
326.41,7.5344
326.92,7.1287
327.42,7.3153
327.9,7.1255
328.38,6.805
328.88,6.4585
329.38,6.3011
329.9,6.1188
330.39,6.3278
330.89,6.0495
331.38,6.2684
331.82,6.5077
332.35,6.6466
332.83,7.2256
333.34,7.4719
333.84,8.2585
334.35,8.8277
334.84,9.9977
335.33,10.844
335.87,12.062
336.34,13.083
336.85,14.068
337.3,15.236
337.82,16.376
338.32,17.657
338.8,18.837
339.31,20.25
339.81,21.636
340.31,23.424
340.83,24.773
341.32,26.37
341.82,28.01
342.29,29.476
342.77,30.917
343.26,32.661
343.76,34.065
344.26,35.796
344.74,37.33
345.23,38.663
345.7,40.174
346.2,41.31
346.66,42.712
347.18,43.779
347.65,44.908
348.18,45.736
348.63,46.445
349.16,46.925
349.64,47.484
350.15,47.726
350.64,47.838
351.12,47.843
351.59,47.647
352.13,47.329
352.62,47.147
353.11,46.657
353.63,46.137
354.08,45.513
354.62,44.702
355.12,43.689
355.61,42.538
356.13,41.397
356.6,40.274
357.12,38.986
357.6,37.865
358.09,36.433
358.58,35.113
359.1,33.667
359.59,32.483
360.08,31.209
360.57,30.084
361.06,28.889
361.54,27.722
362.05,26.59
362.58,25.658
363.05,24.879
363.55,23.804
364.05,23.038
364.52,22.177
365.06,21.402
365.59,20.817
366.09,20.035
366.58,19.488
367.12,18.879
367.58,18.302
368.06,17.889
368.57,17.378
369.1,17.137
369.59,16.767
370.09,16.475
370.56,16.01
371.08,15.505
371.58,15.107
372.07,14.639
372.59,14.285
373.1,14.215
373.6,13.809
374.08,13.499
374.58,13.309
375.09,12.977
375.58,12.778
376.1,12.493
376.58,12.462
377.07,12.255
377.6,12.19
378.08,12.123
378.59,11.802
379.08,11.805
379.57,11.959
380.1,11.608
380.59,11.626
381.08,11.551
381.58,11.316
382.09,11.16
382.61,11.174
383.06,11.132
383.58,11.025
384.08,11.189
384.57,11.392
385.05,11.409
385.55,11.277
386.04,11.274
386.51,11.461
387.03,11.623
387.5,11.591
387.99,11.888
388.5,11.881
389.02,12.104
389.53,12.024
390,12.302
390.5,12.444
390.98,12.417
391.48,12.333
391.99,12.7
392.5,12.683
393.02,12.824
393.52,12.879
394.01,13.198
394.52,13.153
394.97,13.252
395.49,13.589
396.01,13.801
396.47,13.896
396.99,14.018
397.48,14.261
398.01,14.341
398.47,14.576
398.98,14.975
399.48,15.164
399.98,15.369
400.49,15.686
400.98,15.703
401.49,15.765
401.98,15.821
402.51,15.913
402.98,16.085
403.47,16.16
403.94,16.504
404.48,16.788
404.96,16.892
405.51,17.423
406,17.867
406.52,18.371
406.98,18.674
407.55,19.219
408.02,19.529
408.49,19.863
408.98,20.272
409.47,20.503
409.95,20.859
410.49,21.157
410.96,21.614
411.45,22.229
411.96,22.592
412.44,22.879
412.95,23.553
413.44,23.941
413.9,24.495
414.46,24.974
414.95,25.51
415.43,26.174
415.94,26.53
416.4,26.815
416.91,27.615
417.38,28.121
417.9,28.997
418.4,29.75
418.91,31.035
419.44,32.323
419.88,33.689
420.36,35.561
420.84,37.524
421.34,39.501
421.82,41.729
422.36,43.875
422.8,46.096
423.35,48.297
423.86,50.49
424.34,52.377
