Temperature (C),HRR (W/g)
99.824,-1.794
99.84,-2.6197
99.856,-3.4975
99.885,-4.0149
99.876,-4.2514
99.907,-4.4099
99.943,-4.6036
100.03,-4.6246
100.04,-4.5939
100.12,-4.4888
100.14,-4.2418
100.24,-3.5695
100.32,-3.0201
100.4,-2.2181
100.53,-1.6632
100.62,-1.1091
100.73,-0.63157
100.85,-0.19605
100.99,0.016445
101.18,0.15873
101.27,0.1551
101.42,0.37717
101.58,0.28553
101.75,0.56504
101.92,0.37671
102.07,0.38006
102.29,0.25438
102.45,0.45393
102.65,0.47057
102.86,0.51783
103.08,0.60939
103.24,0.52908
103.44,0.64643
103.69,0.56077
103.88,0.64197
104.08,0.55779
104.35,0.4831
104.6,0.56249
104.79,0.66545
105.05,0.59023
105.33,0.6124
105.58,0.62231
105.8,0.81915
106.09,0.80738
106.36,0.83116
106.66,0.88702
106.93,0.85614
107.19,0.80306
107.53,0.73419
107.77,0.83895
108.08,0.86638
108.39,0.83882
108.69,0.83663
109.01,0.96765
109.3,0.95416
109.6,1.126
109.92,0.97836
110.25,1.0138
110.6,1.0666
110.93,0.98006
111.23,1.2549
111.58,1.2312
111.96,1.1989
112.28,1.2729
112.65,1.2076
113.02,1.0922
113.33,1.2384
113.72,1.0804
114.07,1.181
114.41,1.1591
114.78,1.1884
115.18,1.161
115.56,1.199
115.96,1.2424
116.33,1.3372
116.74,1.362
117.12,1.5039
117.53,1.4618
117.91,1.5171
118.33,1.5753
118.73,1.4286
119.12,1.3884
119.51,1.4403
119.94,1.2472
120.35,1.2526
120.74,1.3456
121.19,1.3725
121.61,1.4146
122.06,1.3699
122.49,1.4294
122.92,1.4246
123.38,1.4031
123.81,1.4739
124.23,1.5323
124.68,1.5471
125.06,1.538
125.53,1.5431
125.97,1.5129
126.44,1.4274
126.91,1.4287
127.33,1.6181
127.8,1.485
128.24,1.5292
128.67,1.5711
129.13,1.5945
129.67,1.5162
130.07,1.6604
130.55,1.6572
131.04,1.5643
131.5,1.6365
131.98,1.7453
132.45,1.8061
132.93,1.7037
133.38,1.6386
133.85,1.7048
134.36,1.7197
134.82,1.729
135.28,1.8885
135.79,1.8908
136.28,2.0036
136.77,1.9429
137.27,1.8075
137.72,1.7626
138.21,1.7467
138.69,1.5989
139.21,1.6297
139.68,1.7335
140.19,1.7756
140.68,1.7376
141.18,1.7764
141.69,1.8176
142.17,1.8139
142.67,1.9514
143.14,1.9556
143.65,1.9669
144.18,2.028
144.69,2.1172
145.16,2.1527
145.67,2.231
146.19,2.2338
146.73,2.2836
147.22,2.2774
147.75,2.2619
148.26,2.3836
148.78,2.3797
149.26,2.263
149.81,2.5083
150.32,2.5912
150.82,2.5128
151.34,2.4774
151.86,2.58
152.36,2.4967
152.9,2.4525
153.43,2.7028
153.91,2.5493
154.48,2.5705
155.02,2.6652
155.49,2.7851
156.01,2.7549
156.61,2.7707
157.08,2.7189
157.62,2.7814
158.15,2.7716
158.64,2.6528
159.17,2.8789
159.72,2.7262
160.26,2.6646
160.76,2.8335
161.33,2.6616
161.85,2.7295
162.37,2.892
162.93,3.079
163.44,3.082
163.99,3.1692
164.52,3.2202
165.07,3.2128
165.6,3.2818
166.12,3.4116
166.69,3.2429
167.25,3.3075
167.75,3.4353
168.33,3.3621
168.81,3.5474
169.35,3.6911
169.89,3.684
170.42,3.7489
170.95,3.8542
171.49,3.7781
172.08,3.8104
172.61,3.7717
173.13,3.951
173.69,4.0372
174.21,4.0216
174.76,4.1817
175.3,3.9538
175.83,3.9467
176.35,4.0423
176.94,4.0509
177.48,4.0806
178,4.1263
178.56,4.1988
179.13,4.119
179.63,4.2916
