#FILE:                        13WaT18 2 K min N2 15.2.2007.dsu
#FORMAT:                      NETZSCH4                        
#IDENTITY:                    13 WaT18 2 K min N2             
#DECIMAL:                     POINT                           
#SEPARATOR:                   SEMICOLON                       
#MTYPE:                       TG                              
#INSTRUMENT:                  NETZSCH STA 449C                
#PROJECT:                     vtt                             
#DATE/TIME:                   15.2.2007 12:04:57              
#CORR. FILE:                  correction 2K min N2 800 C.bsu  
#LABORATORY:                  EO                              
#OPERATOR:                    TL                              
#REMARK:                                                      
#SAMPLE:                      13 WaT18                        
#SAMPLE MASS /mg:             12.065                          
#MATERIAL:                    Empty crucibles                 
#REFERENCE:                   al2o3                           
#REFERENCE MASS /mg:          40.312                          
#TYPE OF CRUCIBLE:            DSC/TG pan Al2O3                
#SAMPLE CRUCIBLE MASS /mg:    0.000                           
#REFERENCE CRUCIBLE MASS /mg: 0.000                           
#PROTECTIVE GAS:              N2                              
#PURGE GAS 1:                 air                             
#FLOW RATE 1 /(ml/min):       40                              
#PURGE GAS 2:                 N2                              
#FLOW RATE 2:                                                 
#DSC RANGE /æm:               5000                            
#TG RANGE /æm:                5000                            
#CORR. CODE:                  020                             
#EXO:                         +1                              
#RANGE:                       20.0/2.00(K/min)/800.0          
#SEGMENT:                     S1/2                            

##Temp./øC,Mass/%
 23.85012,100.00000
 24.85012, 99.72929
 25.85012, 99.72590
 26.85012, 99.73545
 27.85012, 99.73027
 28.85012, 99.72767
 29.85012, 99.71910
 30.85012, 99.71120
 31.85012, 99.70514
 32.85012, 99.68857
 33.85012, 99.67005
 34.85012, 99.64921
 35.85012, 99.62587
 36.85012, 99.59738
 37.85012, 99.56632
 38.85012, 99.53708
 39.85012, 99.49015
 40.85012, 99.45018
 41.85012, 99.40136
 42.85012, 99.35400
 43.85012, 99.30340
 44.85012, 99.25427
 45.85012, 99.19460
 46.85012, 99.13718
 47.85012, 99.08145
 48.85012, 99.02353
 49.85012, 98.96601
 50.85012, 98.90998
 51.85012, 98.85391
 52.85012, 98.79030
 53.85012, 98.73130
 54.85012, 98.67453
 55.85012, 98.60581
 56.85012, 98.54580
 57.85012, 98.48330
 58.85012, 98.43103
 59.85012, 98.37288
 60.85012, 98.30956
 61.85012, 98.25753
 62.85012, 98.20497
 63.85012, 98.14395
 64.85012, 98.09509
 65.85012, 98.04438
 66.85012, 97.99262
 67.85012, 97.94276
 68.85012, 97.89980
 69.85012, 97.85690
 70.85012, 97.81615
 71.85012, 97.77878
 72.85012, 97.73652
 73.85012, 97.70122
 74.85012, 97.67148
 75.85012, 97.64093
 76.85012, 97.61193
 77.85012, 97.57807
 78.85012, 97.55411
 79.85012, 97.52693
 80.85012, 97.50794
 81.85012, 97.48321
 82.85012, 97.46405
 83.85012, 97.44909
 84.85012, 97.43253
 85.85012, 97.41359
 86.85012, 97.39744
 87.85012, 97.38299
 88.85012, 97.37181
 89.85012, 97.35895
 90.85012, 97.34825
 91.85012, 97.33298
 92.85012, 97.32565
 93.85012, 97.32072
 94.85012, 97.31419
 95.85012, 97.30593
 96.85012, 97.29955
 97.85012, 97.29352
 98.85012, 97.28509
 99.85012, 97.27886
100.85012, 97.27900
101.85012, 97.27450
102.85012, 97.27354
103.85012, 97.27027
104.85012, 97.26642
105.85012, 97.26486
106.85012, 97.26531
107.85012, 97.26566
108.85012, 97.25984
109.85012, 97.26106
110.85012, 97.26155
111.85012, 97.25932
112.85012, 97.25726
