Time ,Mass_1 (kg),Q_1 (kJ),Mass_2 (kg),Q_2 (kJ)
60,0.00288,34.56,0.0045,54
70,0.00288,34.56,0.0045,54
80,0.00288,34.56,0.0045,54
90,0.00288,34.56,0.0045,54
100,0.00288,34.56,0.0045,54
