Temp,Mass,MLR
24.1,1,0
29,1,-1.55E-05
34,1,-7.61E-06
39,1,3.72E-06
43.9,1,-8.26E-06
48.9,1,3.70E-06
53.9,1,3.35E-09
58.8,1,5.20E-08
63.8,1,-1.88E-06
68.8,1,-1.32E-05
73.7,1,2.75E-07
78.7,1,5.54E-07
83.7,1,9.39E-07
88.6,0.9997,5.26E-06
93.6,0.9998,-1.15E-06
98.6,0.9997,2.10E-06
103.5,0.9998,-1.83E-06
108.5,0.9997,1.58E-06
113.5,0.9998,-1.87E-06
118.4,0.9994,7.10E-06
123.4,0.9992,3.46E-06
128.4,0.9989,4.54E-06
133.3,0.9986,4.02E-06
138.3,0.9973,2.32E-05
143.3,0.9968,7.54E-06
148.3,0.9965,4.62E-06
153.2,0.996,8.94E-06
158.2,0.9954,1.08E-05
163.2,0.9946,1.24E-05
168.1,0.9937,1.55E-05
173.1,0.9927,1.61E-05
178.1,0.9916,1.86E-05
183,0.9903,2.23E-05
188,0.9886,2.77E-05
193,0.9869,2.94E-05
197.9,0.985,3.19E-05
202.9,0.9828,3.73E-05
207.9,0.9808,3.38E-05
212.8,0.9782,4.34E-05
217.8,0.9754,4.60E-05
222.8,0.9726,4.75E-05
227.7,0.9692,5.62E-05
232.7,0.9657,6.00E-05
237.7,0.9619,6.29E-05
242.6,0.9579,6.68E-05
247.6,0.9535,7.40E-05
252.6,0.9483,8.69E-05
257.6,0.9421,1.05E-04
262.5,0.9343,1.31E-04
267.5,0.9249,1.58E-04
272.5,0.9139,1.83E-04
277.4,0.9019,2.02E-04
282.4,0.8883,2.28E-04
287.4,0.873,2.58E-04
292.3,0.855,3.01E-04
297.3,0.8328,3.72E-04
302.3,0.8054,4.61E-04
307.2,0.7798,4.28E-04
312.2,0.7628,2.85E-04
317.2,0.7519,1.84E-04
322.1,0.744,1.31E-04
327.1,0.7388,8.82E-05
332.1,0.735,6.30E-05
337,0.7315,5.85E-05
342,0.7278,6.31E-05
347,0.7242,6.00E-05
351.9,0.7207,5.91E-05
356.9,0.7176,5.20E-05
361.9,0.7151,4.08E-05
366.9,0.7131,3.38E-05
371.8,0.7114,2.94E-05
376.8,0.7096,3.02E-05
381.8,0.7078,2.92E-05
386.7,0.7061,2.83E-05
391.7,0.7046,2.54E-05
396.7,0.7031,2.66E-05
401.6,0.7013,2.95E-05
406.6,0.6994,3.22E-05
411.6,0.6976,2.98E-05
416.5,0.6956,3.39E-05
421.5,0.6934,3.68E-05
426.5,0.6911,3.82E-05
431.4,0.6887,3.95E-05
436.4,0.6861,4.49E-05
441.4,0.6833,4.68E-05
446.3,0.6803,5.01E-05
451.3,0.6772,5.26E-05
456.3,0.674,5.24E-05
461.2,0.6704,6.09E-05
466.2,0.667,5.74E-05
471.2,0.6634,5.95E-05
476.2,0.6593,6.85E-05
481.1,0.6549,7.38E-05
486.1,0.6503,7.83E-05
491.1,0.6458,7.48E-05
496,0.642,6.48E-05
501,0.6382,6.38E-05
506,0.6348,5.60E-05
510.9,0.6311,6.31E-05
515.9,0.6262,8.22E-05
520.9,0.6201,1.02E-04
525.8,0.6126,1.25E-04
530.8,0.6056,1.17E-04
535.8,0.5992,1.08E-04
540.7,0.5942,8.48E-05
545.7,0.5905,6.18E-05
550.7,0.5881,3.92E-05
555.6,0.5863,3.12E-05
560.6,0.585,2.09E-05
565.6,0.5838,2.04E-05
570.5,0.5827,1.90E-05
575.5,0.5817,1.72E-05
580.5,0.5806,1.75E-05
585.5,0.5798,1.41E-05
590.4,0.579,1.38E-05
595.4,0.5777,2.09E-05
600.4,0.5769,1.34E-05
605.3,0.5758,1.82E-05
610.3,0.5748,1.77E-05
615.3,0.5737,1.73E-05
620.2,0.5727,1.70E-05
625.2,0.5718,1.53E-05
630.2,0.5709,1.61E-05
635.1,0.57,1.37E-05
640.1,0.5694,1.00E-05
645.1,0.5685,1.60E-05
650,0.5678,1.10E-05
655,0.567,1.37E-05
660,0.5663,1.24E-05
664.9,0.5652,1.84E-05
669.9,0.564,1.90E-05
674.9,0.5626,2.36E-05
679.8,0.5612,2.40E-05
684.8,0.5597,2.56E-05
689.8,0.5583,2.32E-05
694.8,0.5569,2.42E-05
699.7,0.5553,2.57E-05
704.7,0.5537,2.72E-05
709.7,0.5522,2.59E-05
714.6,0.551,2.00E-05
719.6,0.55,1.68E-05
724.6,0.549,1.59E-05
729.5,0.5481,1.59E-05
734.5,0.5471,1.64E-05
739.5,0.5465,1.05E-05
744.4,0.5458,1.04E-05
749.4,0.545,1.41E-05
754.4,0.5443,1.09E-05
759.3,0.5436,1.26E-05
764.3,0.543,1.07E-05
769.3,0.5424,9.15E-06
774.2,0.5418,1.04E-05
779.2,0.5411,1.20E-05
784.2,0.5404,1.11E-05
789.1,0.5399,9.36E-06
794.1,0.5393,1.01E-05
799.1,0.5387,8.95E-06
804.1,0.5382,9.28E-06
809,0.5378,6.92E-06
814,0.5371,1.04E-05
819,0.5368,6.23E-06
823.9,0.5364,5.88E-06
828.9,0.536,6.75E-06
833.9,0.5358,4.33E-06
838.8,0.5354,6.33E-06
843.8,0.5351,4.27E-06
848.8,0.5347,6.69E-06
853.7,0.5346,2.10E-06
858.7,0.5344,2.88E-06
863.7,0.5343,2.04E-06
868.6,0.5341,2.85E-06
873.6,0.5339,4.50E-06
878.6,0.534,-1.61E-06
883.5,0.5338,3.16E-06
888.5,0.5337,7.82E-07
893.5,0.5335,3.62E-06
898.4,0.5333,2.78E-06
