"ID","Symbol_Style","Edge_Color","Fill_Color","Symbol_Size","Line_Color","Line_Style","Line_Width"
1,"o","k","k",20,"w","None","None"
2,"o","k","w",20,"w","None","None"
3,"o","b","b",20,"w","None","None"
4,"o","g","g",20,"w","None","None"
5,"o","r","r",20,"w","None","None"
6,"o","y","y",20,"w","None","None"
7,"d","k","k",20,"w","None","None"
8,"d","k","w",20,"w","None","None"
9,"d","b","w",20,"w","None","None"
10,"d","g","w",20,"w","None","None"
11,"d","r","w",20,"w","None","None"
12,"d","r","r",20,"w","None","None"
13,"d","y","w",20,"w","None","None"
14,"s","r","r",20,"w","None","None"
15,"^","g","g",20,"w","None","None"
16,"None","w","w","None","k","-",1
17,"None","w","w","None","r","-",1
18,"None","w","w","None","g",":",1
19,"None","w","w","None","b","-.",1
20,"None","w","w","None","k",":",1
21,"None","w","w","None","r",":",1
22,"None","w","w","None","g",":",0.75
23,"None","w","w","None","b","-.",0.75
24,"o","k","k",20,"k","-",2
25,"s","y","y",20,"w","None","None"
26,"s","k","w",20,"w","None","None"
27,"s","k","k",20,"w","None","None"
28,"o","b","w",20,"w","None","None"
29,"o","k","k",7,"w","None","None"
