m,kW/m2
flux20-z,flux20
 2.5000000E-002, 3.8011953E+001
 7.5000000E-002, 4.0693294E+001
 1.2500000E-001, 4.3638411E+001
 1.7500000E-001, 4.6868033E+001
 2.2500000E-001, 5.0406662E+001
 2.7500000E-001, 5.4283757E+001
 3.2500000E-001, 5.8534123E+001
 3.7500000E-001, 6.3196619E+001
 4.2500000E-001, 6.8310067E+001
 4.7500000E-001, 7.3905380E+001
 5.2500000E-001, 7.9993752E+001
 5.7500000E-001, 8.6552741E+001
 6.2500000E-001, 9.3515698E+001
 6.7500000E-001, 1.0077459E+002
 7.2500000E-001, 1.0820846E+002
 7.7500000E-001, 1.1574029E+002
 8.2500000E-001, 1.2338751E+002
 8.7500000E-001, 1.3119947E+002
 9.2500000E-001, 1.3892733E+002
 9.7500000E-001, 1.4547820E+002
