s,C
Time,Temp
0,20
0.02,20.82
0.27,31.53
0.96,60.45
1.88,98.96
2.9,140.77
3.89,180.52
4.88,219.25
5.91,258.14
6.9,293.93
7.89,327.85
8.92,360.94
9.91,390.46
10.9,417.55
11.93,443.11
12.93,465.16
13.92,484.74
14.95,502.64
15.95,517.64
16.94,530.59
17.94,541.74
18.93,551.24
19.97,559.6
20.96,566.38
21.96,572.06
22.99,577
23.99,580.96
24.99,584.25
26.02,587.08
27.02,589.34
28.01,591.2
29.05,592.8
30.05,594.07
31.04,595.11
32.08,596.01
33.08,596.71
34.07,597.29
35.11,597.79
36.1,598.18
37.1,598.5
38.1,598.77
39.09,598.99
40.13,599.17
41.13,599.32
42.12,599.44
43.16,599.54
44.16,599.62
45.15,599.69
46.19,599.75
47.19,599.79
48.18,599.83
49.22,599.86
50.22,599.89
51.21,599.91
52.25,599.92
53.25,599.94
54.24,599.95
55.24,599.96
56.23,599.96
57.27,599.97
58.27,599.98
59.26,599.98
60.31,599.98
61.31,599.99
62.28,599.99
63.31,599.99
64.34,599.99
65.34,599.99
66.34,600
67.32,600
68.38,600
69.44,600
70.33,600
71.44,600
72.42,600
73.33,600
74.45,600
75.55,600
76.39,600
77.39,600
78.65,600
79.41,600
80.31,600
81.62,600
83.08,600
83.08,600
85.15,600
85.15,600
88.68,600
88.68,600
88.68,600
88.68,600
88.68,600
