m,kW/m2
flux40-z,flux40
 1.2500000E-002, 3.7161212E+001
 3.7500000E-002, 3.8524566E+001
 6.2500000E-002, 3.9953986E+001
 8.7500000E-002, 4.1452963E+001
 1.1250000E-001, 4.3025134E+001
 1.3750000E-001, 4.4674285E+001
 1.6250000E-001, 4.6404344E+001
 1.8750000E-001, 4.8219370E+001
 2.1250000E-001, 5.0123541E+001
 2.3750000E-001, 5.2121138E+001
 2.6250000E-001, 5.4216506E+001
 2.8750000E-001, 5.6414027E+001
 3.1250000E-001, 5.8718064E+001
 3.3750000E-001, 6.1132906E+001
 3.6250000E-001, 6.3662700E+001
 3.8750000E-001, 6.6311367E+001
 4.1250000E-001, 6.9082509E+001
 4.3750000E-001, 7.1979286E+001
 4.6250000E-001, 7.5004266E+001
 4.8750000E-001, 7.8159212E+001
 5.1250000E-001, 8.1444814E+001
 5.3750000E-001, 8.4860319E+001
 5.6250000E-001, 8.8403115E+001
 5.8750000E-001, 9.2068268E+001
 6.1250000E-001, 9.5848125E+001
 6.3750000E-001, 9.9732084E+001
 6.6250000E-001, 1.0370658E+002
 6.8750000E-001, 1.0775522E+002
 7.1250000E-001, 1.1185873E+002
 7.3750000E-001, 1.1599388E+002
 7.6250000E-001, 1.2013066E+002
 7.8750000E-001, 1.2422703E+002
 8.1250000E-001, 1.2822286E+002
 8.3750000E-001, 1.3203778E+002
 8.6250000E-001, 1.3558185E+002
 8.8750000E-001, 1.3878576E+002
 9.1250000E-001, 1.4164020E+002
 9.3750000E-001, 1.4419533E+002
 9.6250000E-001, 1.4645044E+002
 9.8750000E-001, 1.4817312E+002
