m,kW/m2
flux80-z,flux80
 6.2500000E-003, 3.6497117E+001
 1.8750000E-002, 3.7175780E+001
 3.1250000E-002, 3.7871205E+001
 4.3750000E-002, 3.8583858E+001
 5.6250000E-002, 3.9314213E+001
 6.8750000E-002, 4.0062759E+001
 8.1250000E-002, 4.0829995E+001
 9.3750000E-002, 4.1616430E+001
 1.0625000E-001, 4.2422586E+001
 1.1875000E-001, 4.3248995E+001
 1.3125000E-001, 4.4096199E+001
 1.4375000E-001, 4.4964750E+001
 1.5625000E-001, 4.5855210E+001
 1.6875000E-001, 4.6768152E+001
 1.8125000E-001, 4.7704154E+001
 1.9375000E-001, 4.8663806E+001
 2.0625000E-001, 4.9647701E+001
 2.1875000E-001, 5.0656440E+001
 2.3125000E-001, 5.1690629E+001
 2.4375000E-001, 5.2750876E+001
 2.5625000E-001, 5.3837793E+001
 2.6875000E-001, 5.4951991E+001
 2.8125000E-001, 5.6094079E+001
 2.9375000E-001, 5.7264662E+001
 3.0625000E-001, 5.8464341E+001
 3.1875000E-001, 5.9693704E+001
 3.3125000E-001, 6.0953330E+001
 3.4375000E-001, 6.2243782E+001
 3.5625000E-001, 6.3565602E+001
 3.6875000E-001, 6.4919309E+001
 3.8125000E-001, 6.6305396E+001
 3.9375000E-001, 6.7724319E+001
 4.0625000E-001, 6.9176498E+001
 4.1875000E-001, 7.0662307E+001
 4.3125000E-001, 7.2182068E+001
 4.4375000E-001, 7.3736044E+001
 4.5625000E-001, 7.5324431E+001
 4.6875000E-001, 7.6947348E+001
 4.8125000E-001, 7.8604830E+001
 4.9375000E-001, 8.0296816E+001
 5.0625000E-001, 8.2023139E+001
 5.1875000E-001, 8.3783512E+001
 5.3125000E-001, 8.5577518E+001
 5.4375000E-001, 8.7404597E+001
 5.5625000E-001, 8.9264025E+001
 5.6875000E-001, 9.1154910E+001
 5.8125000E-001, 9.3076164E+001
 5.9375000E-001, 9.5026495E+001
 6.0625000E-001, 9.7004387E+001
 6.1875000E-001, 9.9008079E+001
 6.3125000E-001, 1.0103555E+002
 6.4375000E-001, 1.0308450E+002
 6.5625000E-001, 1.0515232E+002
 6.6875000E-001, 1.0723610E+002
 6.8125000E-001, 1.0933255E+002
 6.9375000E-001, 1.1143804E+002
 7.0625000E-001, 1.1354858E+002
 7.1875000E-001, 1.1565977E+002
 7.3125000E-001, 1.1776683E+002
 7.4375000E-001, 1.1986458E+002
 7.5625000E-001, 1.2194745E+002
 7.6875000E-001, 1.2400945E+002
 7.8125000E-001, 1.2604408E+002
 7.9375000E-001, 1.2804435E+002
 8.0625000E-001, 1.3000268E+002
 8.1875000E-001, 1.3191104E+002
 8.3125000E-001, 1.3376109E+002
 8.4375000E-001, 1.3554464E+002
 8.5625000E-001, 1.3725408E+002
 8.6875000E-001, 1.3888248E+002
 8.8125000E-001, 1.4042285E+002
 8.9375000E-001, 1.4186622E+002
 9.0625000E-001, 1.4319914E+002
 9.1875000E-001, 1.4440292E+002
 9.3125000E-001, 1.4545860E+002
 9.4375000E-001, 1.4635942E+002
 9.5625000E-001, 1.4712427E+002
 9.6875000E-001, 1.4779107E+002
 9.8125000E-001, 1.4837097E+002
 9.9375000E-001, 1.4879740E+002
