Position,Flux_20_50,Flux_20_100,Flux_20_300,Flux_20_1000,Flux_20_2000,Flux_100_50,Flux_100_100,Flux_100_300,Flux_100_1000,Flux_100_2000
   0.025,   0.129,   0.136,   0.137,   0.141,   0.143,   0.118,   0.140,   0.135,   0.137,   0.140
   0.075,   0.125,   0.139,   0.151,   0.161,   0.163,   0.104,   0.135,   0.139,   0.162,   0.163
   0.125,   0.128,   0.155,   0.175,   0.180,   0.180,   0.093,   0.138,   0.180,   0.178,   0.175
   0.175,   0.143,   0.180,   0.196,   0.196,   0.196,   0.090,   0.175,   0.205,   0.189,   0.190
   0.225,   0.169,   0.207,   0.212,   0.211,   0.211,   0.115,   0.230,   0.205,   0.203,   0.204
   0.275,   0.200,   0.227,   0.224,   0.223,   0.223,   0.181,   0.253,   0.208,   0.216,   0.215
   0.325,   0.231,   0.239,   0.234,   0.234,   0.234,   0.252,   0.247,   0.221,   0.225,   0.226
   0.375,   0.256,   0.246,   0.242,   0.243,   0.243,   0.290,   0.233,   0.235,   0.233,   0.233
   0.425,   0.273,   0.248,   0.248,   0.248,   0.248,   0.302,   0.221,   0.240,   0.239,   0.239
   0.475,   0.282,   0.248,   0.251,   0.251,   0.251,   0.304,   0.214,   0.240,   0.242,   0.242
   0.525,   0.282,   0.248,   0.251,   0.251,   0.251,   0.304,   0.214,   0.240,   0.242,   0.242
   0.575,   0.273,   0.248,   0.248,   0.248,   0.248,   0.302,   0.221,   0.240,   0.239,   0.239
   0.625,   0.256,   0.246,   0.242,   0.243,   0.243,   0.290,   0.233,   0.235,   0.233,   0.233
   0.675,   0.231,   0.239,   0.234,   0.234,   0.234,   0.252,   0.247,   0.221,   0.225,   0.226
   0.725,   0.200,   0.227,   0.224,   0.223,   0.223,   0.181,   0.253,   0.208,   0.216,   0.215
   0.775,   0.169,   0.207,   0.212,   0.211,   0.211,   0.115,   0.230,   0.205,   0.203,   0.204
   0.825,   0.143,   0.180,   0.196,   0.196,   0.196,   0.090,   0.175,   0.205,   0.189,   0.190
   0.875,   0.128,   0.155,   0.175,   0.180,   0.180,   0.093,   0.138,   0.180,   0.178,   0.175
   0.925,   0.125,   0.139,   0.151,   0.161,   0.163,   0.104,   0.135,   0.139,   0.162,   0.163
   0.975,   0.129,   0.136,   0.137,   0.141,   0.143,   0.118,   0.140,   0.135,   0.137,   0.140
