s,kW,C,kg,mu-m
Time,"Absorption","ADT","null","null"
 3.3000000E-003, 7.4204421E+000, 2.3981621E+000, 9.9999998E-003, 8.7128503E+002
 3.4000000E-003, 7.4204216E+000, 2.4723809E+000, 9.9999998E-003, 8.7128503E+002
 3.5000000E-003, 7.4204016E+000, 2.5465994E+000, 9.9999998E-003, 8.7128503E+002
 3.6000000E-003, 7.4203811E+000, 2.6208177E+000, 9.9999998E-003, 8.7128503E+002
 3.7000000E-003, 7.4203606E+000, 2.6950355E+000, 9.9999998E-003, 8.7128503E+002
 3.8000000E-003, 7.4203401E+000, 2.7692530E+000, 9.9999998E-003, 8.7128503E+002
 3.9000000E-003, 7.4203196E+000, 2.8434703E+000, 9.9999998E-003, 8.7128503E+002
 4.0000000E-003, 7.4202991E+000, 2.9176872E+000, 9.9999998E-003, 8.7128503E+002
 4.1000000E-003, 7.4202785E+000, 2.9919040E+000, 9.9999998E-003, 8.7128503E+002
 4.2100000E-003, 7.4202571E+000, 3.0698311E+000, 9.9999998E-003, 8.7128503E+002
 4.3100000E-003, 7.4202356E+000, 3.1477580E+000, 9.9999998E-003, 8.7128503E+002
 4.4100000E-003, 7.4202147E+000, 3.2219739E+000, 9.9999998E-003, 8.7128503E+002
 4.5100000E-003, 7.4201941E+000, 3.2961893E+000, 9.9999998E-003, 8.7128503E+002
 4.6100000E-003, 7.4201736E+000, 3.3704045E+000, 9.9999998E-003, 8.7128503E+002
 4.7100000E-003, 7.4201531E+000, 3.4446194E+000, 9.9999998E-003, 8.7128503E+002
 4.8100000E-003, 7.4201326E+000, 3.5188339E+000, 9.9999998E-003, 8.7128503E+002
 4.9100000E-003, 7.4201117E+000, 3.5930483E+000, 9.9999998E-003, 8.7128503E+002
 5.0100000E-003, 7.4200912E+000, 3.6672623E+000, 9.9999998E-003, 8.7128503E+002
 5.1100000E-003, 7.4200706E+000, 3.7414761E+000, 9.9999998E-003, 8.7128503E+002
 5.2100000E-003, 7.4200497E+000, 3.8156893E+000, 9.9999998E-003, 8.7128503E+002
 5.3100000E-003, 7.4200292E+000, 3.8899026E+000, 9.9999998E-003, 8.7128503E+002
 5.4100000E-003, 7.4200082E+000, 3.9641154E+000, 9.9999998E-003, 8.7128503E+002
 5.5100000E-003, 7.4199877E+000, 4.0383277E+000, 9.9999998E-003, 8.7128503E+002
 5.6100000E-003, 7.4199667E+000, 4.1125402E+000, 9.9999998E-003, 8.7128503E+002
 5.7100000E-003, 7.4199462E+000, 4.1867523E+000, 9.9999998E-003, 8.7128503E+002
 5.8100000E-003, 7.4199252E+000, 4.2609639E+000, 9.9999998E-003, 8.7128503E+002
 5.9100000E-003, 7.4199042E+000, 4.3351750E+000, 9.9999998E-003, 8.7128503E+002
 6.0100000E-003, 7.4198837E+000, 4.4093862E+000, 9.9999998E-003, 8.7128503E+002
 6.1100000E-003, 7.4198627E+000, 4.4835968E+000, 9.9999998E-003, 8.7128503E+002
 6.2100000E-003, 7.4198418E+000, 4.5578074E+000, 9.9999998E-003, 8.7128503E+002
 6.3100000E-003, 7.4198208E+000, 4.6320176E+000, 9.9999998E-003, 8.7128503E+002
