Time,Rad Loss 1,Rad Loss 2,Rad Flux,Intensity
5,-0.0623,-29.76,20.26,81.04
6,-0.0623,-29.76,20.26,81.04
7,-0.0623,-29.76,20.26,81.04
8,-0.0623,-29.76,20.26,81.04
9,-0.0623,-29.76,20.26,81.04
9.9,-0.0623,-29.76,20.26,81.04
