m,m,kW/m2
x,x1,q_net
0.025,0.0354,-8.48
0.075,0.1061,-8.85
0.125,0.1768,-9.24
0.175,0.2475,-9.65
0.225,0.3182,-10.09
0.275,0.3889,-10.55
0.325,0.4596,-11.03
0.375,0.5303,-11.53
0.425,0.601,-12.07
0.475,0.6718,-12.62
0.525,0.7425,-13.21
0.575,0.8132,-13.83
0.625,0.8839,-14.47
0.675,0.9546,-15.15
0.725,1.0253,-15.85
0.775,1.096,-16.59
0.825,1.1667,-17.35
0.875,1.2374,-18.14
0.925,1.3081,-18.96
0.975,1.3789,-19.81
1.025,1.4496,-20.69
1.075,1.5203,-21.59
1.125,1.591,-22.51
1.175,1.6617,-23.45
1.225,1.7324,-24.41
1.275,1.8031,-25.38
1.325,1.8738,-26.37
1.375,1.9445,-27.36
1.425,2.0153,-28.35
1.475,2.086,-29.34
1.525,2.1567,-30.34
1.575,2.2274,-31.32
1.625,2.2981,-32.29
1.675,2.3688,-33.25
1.725,2.4395,-34.19
1.775,2.5102,-35.11
1.825,2.5809,-36.01
1.875,2.6517,-36.89
1.925,2.7224,-37.74
1.975,2.7931,-38.56
