s,m/s,m/s,kg/m/s,kg/m3
FDS Time,"Device_1","Device_2","Device_3","Device_4"
 0.0000000E+000,-3.2526065E-019,-3.1015863E-002, 2.4990405E-002, 1.1984476E+000
 5.1620044E-002, 2.2253413E-002, 2.1577047E-002, 2.4990405E-002, 1.1984476E+000
 1.0324009E-001, 6.2276279E-002, 6.7587138E-002, 2.4990405E-002, 1.1984476E+000
 1.5117298E-001, 9.9567047E-002, 1.0866391E-001, 2.4990405E-002, 1.1984476E+000
 2.0279303E-001, 1.3588961E-001, 1.5001146E-001, 2.4990405E-002, 1.1984476E+000
 2.5072592E-001, 1.7141843E-001, 1.9150128E-001, 2.4990405E-002, 1.1984476E+000
 3.0234596E-001, 2.0623032E-001, 2.3305761E-001, 2.4990405E-002, 1.1984476E+000
 3.5027885E-001, 2.4040945E-001, 2.7464288E-001, 2.4990405E-002, 1.1984476E+000
 4.0189892E-001, 2.7399163E-001, 3.1624009E-001, 2.4990405E-002, 1.1984476E+000
 4.5351896E-001, 3.0824169E-001, 3.5937850E-001, 2.4990405E-002, 1.1984476E+000
 5.0145185E-001, 3.4074660E-001, 4.0096651E-001, 2.4990405E-002, 1.1984476E+000
 5.5307192E-001, 3.7275805E-001, 4.4253280E-001, 2.4990405E-002, 1.1984476E+000
 6.0100478E-001, 4.0431138E-001, 4.8406439E-001, 2.4990405E-002, 1.1984476E+000
 6.5262485E-001, 4.3541583E-001, 5.2554451E-001, 2.4990405E-002, 1.1984476E+000
 7.0055771E-001, 4.6610010E-001, 5.6695737E-001, 2.4990405E-002, 1.1984476E+000
 7.5217777E-001, 4.9636983E-001, 6.0828275E-001, 2.4990405E-002, 1.1984476E+000
 8.0011070E-001, 5.2624925E-001, 6.4950422E-001, 2.4990405E-002, 1.1984476E+000
 8.5173070E-001, 5.5574162E-001, 6.9060010E-001, 2.4990405E-002, 1.1984476E+000
 9.0335077E-001, 5.8593742E-001, 7.3306803E-001, 2.4990405E-002, 1.1984476E+000
 9.5128363E-001, 6.1469061E-001, 7.7385650E-001, 2.4990405E-002, 1.1984476E+000
 1.0029037E+000, 6.4308971E-001, 8.1446469E-001, 2.4990405E-002, 1.1984476E+000
 1.0508366E+000, 6.7115228E-001, 8.5488120E-001, 2.4990405E-002, 1.1984476E+000
 1.1024567E+000, 6.9887836E-001, 8.9508616E-001, 2.4990405E-002, 1.1984476E+000
 1.1503896E+000, 7.2628385E-001, 9.3507113E-001, 2.4990405E-002, 1.1984476E+000
 1.2020096E+000, 7.5336808E-001, 9.7481783E-001, 2.4990405E-002, 1.1984476E+000
 1.2536296E+000, 7.8112952E-001, 1.0157773E+000, 2.4990405E-002, 1.1984476E+000
 1.3015625E+000, 8.0759167E-001, 1.0550133E+000, 2.4990405E-002, 1.1984476E+000
 1.3531826E+000, 8.3375220E-001, 1.0939791E+000, 2.4990405E-002, 1.1984476E+000
 1.4011154E+000, 8.5962405E-001, 1.1326731E+000, 2.4990405E-002, 1.1984476E+000
 1.4527355E+000, 8.8520543E-001, 1.1710811E+000, 2.4990405E-002, 1.1984476E+000
 1.5006684E+000, 9.1050843E-001, 1.2092037E+000, 2.4990405E-002, 1.1984476E+000
 1.5522884E+000, 9.3553100E-001, 1.2470280E+000, 2.4990405E-002, 1.1984476E+000
