m,m/s
U0.10-z,U0.10
 2.3437500E-003, 1.1894840E-001
 7.0312500E-003, 3.6894218E-001
 1.1718750E-002, 6.0175706E-001
 1.6406250E-002, 7.8095296E-001
 2.1093750E-002, 8.9449751E-001
 2.5781250E-002, 9.5525254E-001
 3.0468750E-002, 9.8321388E-001
 3.5156250E-002, 9.9428536E-001
 3.9843750E-002, 9.9793097E-001
 4.4531250E-002, 9.9878829E-001
 4.9218750E-002, 9.9879866E-001
 5.3906250E-002, 9.9866111E-001
 5.8593750E-002, 9.9858274E-001
 6.3281250E-002, 9.9860092E-001
 6.7968750E-002, 9.9870341E-001
 7.2656250E-002, 9.9886792E-001
 7.7343750E-002, 9.9907346E-001
 8.2031250E-002, 9.9930276E-001
 8.6718750E-002, 9.9954234E-001
 9.1406250E-002, 9.9978189E-001
 9.6093750E-002, 1.0000137E+000
 1.0078125E-001, 1.0002320E+000
 1.0546875E-001, 1.0004328E+000
 1.1015625E-001, 1.0006131E+000
 1.1484375E-001, 1.0007712E+000
 1.1953125E-001, 1.0009057E+000
 1.2421875E-001, 1.0010161E+000
 1.2890625E-001, 1.0011022E+000
 1.3359375E-001, 1.0011641E+000
 1.3828125E-001, 1.0012020E+000
 1.4296875E-001, 1.0012166E+000
 1.4765625E-001, 1.0012082E+000
 1.5234375E-001, 1.0011776E+000
 1.5703125E-001, 1.0011254E+000
 1.6171875E-001, 1.0010522E+000
 1.6640625E-001, 1.0009587E+000
 1.7109375E-001, 1.0008457E+000
 1.7578125E-001, 1.0007136E+000
 1.8046875E-001, 1.0005632E+000
 1.8515625E-001, 1.0003952E+000
 1.8984375E-001, 1.0002101E+000
 1.9453125E-001, 1.0000088E+000
 1.9921875E-001, 9.9979199E-001
 2.0390625E-001, 9.9956068E-001
 2.0859375E-001, 9.9931592E-001
 2.1328125E-001, 9.9905904E-001
 2.1796875E-001, 9.9879162E-001
 2.2265625E-001, 9.9851562E-001
 2.2734375E-001, 9.9823341E-001
 2.3203125E-001, 9.9794790E-001
 2.3671875E-001, 9.9766260E-001
 2.4140625E-001, 9.9738167E-001
 2.4609375E-001, 9.9710997E-001
 2.5078125E-001, 9.9685301E-001
 2.5546875E-001, 9.9661682E-001
 2.6015625E-001, 9.9640763E-001
 2.6484375E-001, 9.9623136E-001
 2.6953125E-001, 9.9609265E-001
 2.7421875E-001, 9.9599346E-001
 2.7890625E-001, 9.9593109E-001
 2.8359375E-001, 9.9589957E-001
 2.8828125E-001, 9.9591548E-001
 2.9296875E-001, 9.9612018E-001
 2.9765625E-001, 9.9684564E-001
