Re_H,f(laminar),f(RR=0),f(RR=1.00e-6),f(RR=1.78e-5),f(RR=3.16e-4),f(RR=5.62e-3),f(RR=1.00e-1)
100,0.24,,,,,,
1990,0.012,,,,,,
1992,,,,,,,
1995.3,,0.049491,0.049492,0.049504,0.049733,0.053677,0.10949
2225.7,,0.047782,0.047783,0.047796,0.048034,0.052128,0.10871
2482.8,,0.046156,0.046156,0.04617,0.046419,0.050673,0.10801
2769.6,,0.044607,0.044607,0.044622,0.044881,0.049303,0.10737
3089.6,,0.04313,0.043131,0.043147,0.043417,0.048016,0.1068
3446.5,,0.041723,0.041724,0.04174,0.042023,0.046806,0.10628
3844.6,,0.04038,0.040381,0.040398,0.040694,0.045669,0.10581
4288.7,,0.039098,0.039099,0.039116,0.039427,0.044603,0.10539
4784.1,,0.037873,0.037874,0.037892,0.038212,0.043603,0.10501
5336.7,,0.036702,0.036703,0.036722,0.037059,0.042667,0.10467
5953.2,,0.035577,0.035578,0.035598,0.035958,0.04179,0.10437
6640.8,,0.034506,0.034507,0.034528,0.034906,0.040971,0.10409
7407.9,,0.03348,0.033481,0.033504,0.033901,0.040207,0.10384
8263.6,,0.032498,0.032499,0.032523,0.032941,0.039494,0.10362
9218.2,,0.031556,0.031557,0.031582,0.032022,0.03883,0.10342
10283,,0.030653,0.030654,0.030681,0.031144,0.038214,0.10324
11471,,0.029786,0.029788,0.029816,0.030304,0.037641,0.10307
12796,,0.028954,0.028956,0.028986,0.0295,0.037111,0.10293
14274,,0.028156,0.028157,0.028188,0.028732,0.036622,0.1028
15923,,0.027388,0.02739,0.027423,0.027996,0.036168,0.10268
17762,,0.02665,0.026652,0.026687,0.027292,0.035749,0.10257
19814,,0.025941,0.025943,0.02598,0.026619,0.035364,0.10248
22103,,0.025258,0.02526,0.025299,0.025974,0.03501,0.10239
24656,,0.024601,0.024603,0.024644,0.025358,0.034684,0.10232
27504,,0.023968,0.02397,0.024014,0.024768,0.034386,0.10225
30681,,0.023358,0.023361,0.023407,0.024205,0.034114,0.10219
34225,,0.022771,0.022774,0.022823,0.023666,0.033864,0.10213
38178,,0.022204,0.022207,0.02226,0.023151,0.033637,0.10209
42589,,0.021658,0.021661,0.021717,0.02266,0.03343,0.10204
47508,,0.021131,0.021134,0.021193,0.022191,0.033241,0.102
52996,,0.020622,0.020626,0.020688,0.021744,0.03307,0.10197
59118,,0.02013,0.020134,0.020201,0.021317,0.032914,0.10193
65947,,0.019656,0.01966,0.019731,0.020912,0.032773,0.1019
73564,,0.019197,0.019202,0.019277,0.020525,0.032645,0.10188
82062,,0.018754,0.018759,0.018839,0.020158,0.032529,0.10186
91541,,0.018325,0.018331,0.018416,0.01981,0.032424,0.10184
1.02E+05,,0.017911,0.017916,0.018008,0.01948,0.03233,0.10182
1.14E+05,,0.01751,0.017516,0.017613,0.019167,0.032244,0.1018
1.27E+05,,0.017121,0.017128,0.017232,0.018872,0.032167,0.10179
1.42E+05,,0.016745,0.016752,0.016863,0.018593,0.032097,0.10177
1.58E+05,,0.016381,0.016389,0.016507,0.01833,0.032035,0.10176
1.76E+05,,0.016029,0.016036,0.016163,0.018083,0.031978,0.10175
1.97E+05,,0.015687,0.015695,0.015831,0.01785,0.031927,0.10174
2.19E+05,,0.015356,0.015364,0.015509,0.017632,0.031881,0.10173
2.45E+05,,0.015034,0.015044,0.015198,0.017428,0.03184,0.10172
2.73E+05,,0.014723,0.014733,0.014898,0.017237,0.031803,0.10172
3.05E+05,,0.01442,0.014431,0.014608,0.01706,0.03177,0.10171
3.40E+05,,0.014127,0.014139,0.014328,0.016894,0.03174,0.1017
3.79E+05,,0.013842,0.013855,0.014057,0.016741,0.031713,0.1017
4.23E+05,,0.013566,0.013579,0.013795,0.016598,0.031689,0.1017
4.72E+05,,0.013297,0.013311,0.013543,0.016467,0.031667,0.10169
5.26E+05,,0.013036,0.013052,0.013299,0.016345,0.031647,0.10169
5.87E+05,,0.012783,0.012799,0.013064,0.016233,0.03163,0.10168
6.55E+05,,0.012537,0.012554,0.012837,0.01613,0.031614,0.10168
7.31E+05,,0.012297,0.012316,0.012618,0.016036,0.0316,0.10168
8.15E+05,,0.012064,0.012084,0.012408,0.015949,0.031587,0.10168
9.09E+05,,0.011837,0.011859,0.012205,0.01587,0.031576,0.10167
1.01E+06,,0.011617,0.01164,0.01201,0.015797,0.031566,0.10167
1.13E+06,,0.011403,0.011428,0.011823,0.015731,0.031557,0.10167
1.26E+06,,0.011194,0.011221,0.011643,0.015671,0.031549,0.10167
1.41E+06,,0.010991,0.01102,0.011471,0.015616,0.031541,0.10167
1.57E+06,,0.010793,0.010824,0.011305,0.015566,0.031535,0.10167
1.75E+06,,0.0106,0.010634,0.011147,0.015521,0.031529,0.10167
1.95E+06,,0.010412,0.010448,0.010997,0.01548,0.031523,0.10167
2.18E+06,,0.010229,0.010268,0.010853,0.015443,0.031519,0.10166
2.43E+06,,0.010051,0.010093,0.010715,0.015409,0.031514,0.10166
2.71E+06,,0.0098771,0.0099223,0.010585,0.015379,0.03151,0.10166
3.03E+06,,0.0097077,0.0097563,0.01046,0.015352,0.031507,0.10166
3.38E+06,,0.0095425,0.0095949,0.010343,0.015327,0.031504,0.10166
3.76E+06,,0.0093813,0.0094378,0.010231,0.015305,0.031501,0.10166
4.20E+06,,0.0092241,0.009285,0.010126,0.015285,0.031499,0.10166
4.69E+06,,0.0090707,0.0091363,0.010027,0.015266,0.031496,0.10166
5.23E+06,,0.008921,0.0089918,0.0099341,0.01525,0.031494,0.10166
5.83E+06,,0.0087749,0.0088512,0.0098467,0.015235,0.031493,0.10166
6.50E+06,,0.0086323,0.0087145,0.0097648,0.015222,0.031491,0.10166
7.25E+06,,0.008493,0.0085817,0.0096884,0.01521,0.03149,0.10166
8.09E+06,,0.008357,0.0084526,0.0096171,0.015199,0.031488,0.10166
9.03E+06,,0.0082242,0.0083272,0.0095507,0.01519,0.031487,0.10166
1.01E+07,,0.0080944,0.0082055,0.0094892,0.015181,0.031486,0.10166
1.12E+07,,0.0079676,0.0080873,0.0094322,0.015173,0.031485,0.10166
1.25E+07,,0.0078437,0.0079727,0.0093794,0.015166,0.031484,0.10166
1.40E+07,,0.0077226,0.0078616,0.0093308,0.01516,0.031484,0.10166
1.56E+07,,0.0076042,0.0077545,0.0092861,0.015155,0.031483,0.10166
1.74E+07,,0.0074885,0.0076503,0.0092449,0.01515,0.031482,0.10166
1.94E+07,,0.0073753,0.0075495,0.0092072,0.015145,0.031482,0.10166
2.16E+07,,0.0072646,0.007452,0.0091727,0.015141,0.031481,0.10166
2.41E+07,,0.0071563,0.007358,0.0091411,0.015137,0.031481,0.10166
2.69E+07,,0.0070504,0.0072672,0.0091123,0.015134,0.031481,0.10166
3.00E+07,,0.0069467,0.0071798,0.009086,0.015131,0.03148,0.10166
3.35E+07,,0.0068453,0.0070958,0.0090621,0.015128,0.03148,0.10166
3.74E+07,,0.006746,0.007015,0.0090404,0.015126,0.03148,0.10166
4.17E+07,,0.0066489,0.0069374,0.0090207,0.015124,0.031479,0.10166
4.65E+07,,0.0065537,0.0068632,0.0090028,0.015122,0.031479,0.10166
5.19E+07,,0.0064606,0.0067922,0.0089866,0.01512,0.031479,0.10166
5.79E+07,,0.0063694,0.0067244,0.008972,0.015119,0.031479,0.10166
6.46E+07,,0.00628,0.0066598,0.0089587,0.015117,0.031479,0.10166
7.20E+07,,0.0061925,0.0065983,0.0089467,0.015116,0.031478,0.10166
8.04E+07,,0.0061068,0.00654,0.0089359,0.015115,0.031478,0.10166
8.96E+07,,0.0060232,0.0064848,0.0089262,0.015114,0.031478,0.10166
1.00E+08,,0.0059408,0.0064326,0.0089173,0.015113,0.031478,0.10166
