s,m/s,m/s,kg/m/s,kg/m3
FDS Time,"Device_1","Device_2","Device_3","Device_4"
 0.0000000E+000, 8.8091427E-020, 8.2258463E-003, 1.8089887E-005, 1.1984476E+000
 2.2529690E-002, 1.2133130E+000, 1.2218139E+000, 1.8089887E-005, 1.1984476E+000
 4.1554686E-002, 3.0513127E+000, 3.0585918E+000, 1.8089887E-005, 1.1984476E+000
 6.2914543E-002, 4.8153926E+000, 4.8155438E+000, 1.8089887E-005, 1.1984476E+000
 8.1248060E-002, 6.3962982E+000, 6.3940153E+000, 1.8089887E-005, 1.1984476E+000
 1.0262127E-001, 7.9935803E+000, 7.9953868E+000, 1.8089887E-005, 1.1984476E+000
 1.2075916E-001, 9.5892275E+000, 9.5866996E+000, 2.6435081E-005, 1.1984476E+000
 1.4183004E-001, 1.1196402E+001, 1.1195381E+001, 4.6750682E-005, 1.1984476E+000
 1.6020098E-001, 1.2810639E+001, 1.2811506E+001, 7.1552638E-005, 1.1984476E+000
 1.8056051E-001, 1.4398597E+001, 1.4404558E+001, 5.2223755E-005, 1.1984476E+000
 2.0240352E-001, 1.6139919E+001, 1.6141229E+001, 5.4421056E-005, 1.1984476E+000
 2.2204535E-001, 1.7852720E+001, 1.7857063E+001, 7.3559635E-005, 1.1984476E+000
 2.4028911E-001, 1.9431983E+001, 1.9434812E+001, 5.5897312E-005, 1.1984476E+000
 2.6036021E-001, 2.1000629E+001, 2.1004150E+001, 5.0491275E-005, 1.1984476E+000
 2.8083253E-001, 2.2678154E+001, 2.2681875E+001, 5.8128624E-005, 1.1984476E+000
 3.0024606E-001, 2.4357567E+001, 2.4365786E+001, 1.3390355E-004, 1.1984476E+000
 3.2089514E-001, 2.6000106E+001, 2.6007682E+001, 2.8338503E-005, 1.1984476E+000
 3.4192720E-001, 2.7745563E+001, 2.7755594E+001, 8.0043856E-005, 1.1984476E+000
 3.6042601E-001, 2.9375387E+001, 2.9391324E+001, 2.7168473E-005, 1.1984476E+000
 3.8096467E-001, 3.1002465E+001, 3.1016955E+001, 4.3678642E-005, 1.1984476E+000
 4.0129620E-001, 3.2697187E+001, 3.2713477E+001, 2.5134626E-005, 1.1984476E+000
 4.2155376E-001, 3.4395386E+001, 3.4414871E+001, 4.6873706E-005, 1.1984476E+000
 4.4142684E-001, 3.6053003E+001, 3.6074992E+001, 4.0995734E-005, 1.1984476E+000
 4.6028808E-001, 3.7684576E+001, 3.7705275E+001, 6.3423352E-005, 1.1984476E+000
 4.8111230E-001, 3.9313504E+001, 3.9337722E+001, 3.0965007E-005, 1.1984476E+000
 5.0044906E-001, 4.0986723E+001, 4.1012198E+001, 3.5609915E-005, 1.1984476E+000
 5.2067584E-001, 4.2634930E+001, 4.2660523E+001, 1.8089887E-005, 1.1984476E+000
 5.4075366E-001, 4.4307683E+001, 4.4337440E+001, 5.1506046E-005, 1.1984476E+000
