s,m/s,m/s,kg/m/s,kg/m3
FDS Time,"Device_1","Device_2","Device_3","Device_4"
 3.1029850E+001, 2.5351538E-001, 2.6450488E-001, 2.0215736E-005, 1.1984476E+000
 3.1622776E+001, 2.5750059E-001, 2.6799077E-001, 1.8089887E-005, 1.1984476E+000
 3.2018063E+001, 2.6148337E-001, 2.7018863E-001, 2.1833689E-005, 1.1984476E+000
 3.2610989E+001, 2.6546344E-001, 2.7279420E-001, 6.4311392E-005, 1.1984476E+000
 3.3006271E+001, 2.6944132E-001, 2.7644924E-001, 2.3226227E-005, 1.1984476E+000
 3.3599201E+001, 2.7341697E-001, 2.8033678E-001, 1.8089887E-005, 1.1984476E+000
 3.4192127E+001, 2.7818529E-001, 2.8391570E-001, 1.8089887E-005, 1.1984476E+000
 3.4587414E+001, 2.8215651E-001, 2.8639488E-001, 1.8089887E-005, 1.1984476E+000
 3.5180340E+001, 2.8612501E-001, 2.8976327E-001, 1.8089887E-005, 1.1984476E+000
 3.5575623E+001, 2.9009137E-001, 2.9426057E-001, 1.8089887E-005, 1.1984476E+000
 3.6168552E+001, 2.9405569E-001, 2.9901967E-001, 1.9576744E-005, 1.1984476E+000
 3.6563835E+001, 2.9801836E-001, 3.0313449E-001, 2.1113022E-005, 1.1984476E+000
 3.7156761E+001, 3.0197890E-001, 3.0689826E-001, 1.9026901E-005, 1.1984476E+000
 3.7552048E+001, 3.0593697E-001, 3.1119402E-001, 1.8089887E-005, 1.1984476E+000
 3.8144974E+001, 3.0989185E-001, 3.1572667E-001, 1.8089887E-005, 1.1984476E+000
 3.8540260E+001, 3.1384442E-001, 3.1901785E-001, 1.8089887E-005, 1.1984476E+000
 3.9133186E+001, 3.1779496E-001, 3.2058622E-001, 1.8873221E-005, 1.1984476E+000
 3.9528469E+001, 3.2174347E-001, 3.2272612E-001, 3.4003030E-005, 1.1984476E+000
 4.0121399E+001, 3.2568916E-001, 3.2818455E-001, 5.5304007E-005, 1.1984476E+000
 4.0516682E+001, 3.2963248E-001, 3.3613460E-001, 3.8183888E-005, 1.1984476E+000
 4.1109608E+001, 3.3357335E-001, 3.4322461E-001, 2.8942923E-005, 1.1984476E+000
 4.1504894E+001, 3.3751225E-001, 3.4751574E-001, 4.0546098E-005, 1.1984476E+000
 4.2097820E+001, 3.4144886E-001, 3.5079093E-001, 5.6165980E-005, 1.1984476E+000
 4.2690750E+001, 3.4616956E-001, 3.5684094E-001, 4.0920937E-005, 1.1984476E+000
 4.3086033E+001, 3.5010087E-001, 3.6195301E-001, 1.8089887E-005, 1.1984476E+000
 4.3678959E+001, 3.5403013E-001, 3.6373313E-001, 1.8089887E-005, 1.1984476E+000
 4.4074245E+001, 3.5795763E-001, 3.6388845E-001, 1.8089887E-005, 1.1984476E+000
 4.4667171E+001, 3.6188252E-001, 3.6700162E-001, 3.1658789E-005, 1.1984476E+000
 4.5062458E+001, 3.6580471E-001, 3.7411246E-001, 8.0287985E-005, 1.1984476E+000
 4.5655384E+001, 3.6972448E-001, 3.8191919E-001, 4.7214896E-005, 1.1984476E+000
 4.6050667E+001, 3.7364264E-001, 3.8648878E-001, 2.9191230E-005, 1.1984476E+000
 4.6643597E+001, 3.7755848E-001, 3.8805795E-001, 1.8089887E-005, 1.1984476E+000
 4.7038879E+001, 3.8147172E-001, 3.9058219E-001, 1.9789086E-005, 1.1984476E+000
 4.7631805E+001, 3.8538219E-001, 3.9640858E-001, 3.3113525E-005, 1.1984476E+000
 4.8027092E+001, 3.8929047E-001, 4.0378172E-001, 3.0598863E-005, 1.1984476E+000
 4.8620018E+001, 3.9319611E-001, 4.0926739E-001, 2.6520932E-005, 1.1984476E+000
 4.9015305E+001, 3.9709913E-001, 4.1169642E-001, 2.0332017E-005, 1.1984476E+000
 4.9608231E+001, 4.0099931E-001, 4.1326122E-001, 1.8089887E-005, 1.1984476E+000
 5.0003517E+001, 4.0489744E-001, 4.1682217E-001, 1.8089887E-005, 1.1984476E+000
