s,status
Time,"Total"
 0.0000000E+000,-1
 1.0000000E-001,-1
 2.0000000E-001,-1
 3.4999999E-001,-1
 4.4999999E-001,-1
 5.5000001E-001,-1
 6.0000002E-001,-1
 6.9999999E-001,-1
 8.0000001E-001,-1
 8.9999998E-001,-1
 1.0000000E+000,-1
 1.1000000E+000,-1
 1.2000000E+000,-1
 1.3000000E+000,-1
 1.4000000E+000,-1
 1.5000000E+000,-1
 1.6386415E+000,-1
 1.7272830E+000,-1
 1.8159245E+000,-1
 1.9045660E+000,-1
 2.0375283E+000,-1
 2.1261699E+000,-1
 2.2148113E+000,-1
 2.3034530E+000,-1
 2.4364152E+000,-1
 2.5250566E+000,-1
 2.6225624E+000,-1
 2.7200680E+000,-1
 2.8200679E+000,-1
 2.9200680E+000,-1
 3.0200679E+000,-1
 3.1200681E+000,-1
 3.2200680E+000,-1
 3.3200679E+000,-1
 3.4200680E+000,-1
 3.5200679E+000,-1
 3.6200681E+000,-1
 3.7200680E+000,-1
 3.8200679E+000,-1
 3.9200680E+000,-1
 4.0200682E+000,-1
 4.1200681E+000,-1
 4.2200680E+000,-1
 4.3200679E+000,-1
 4.4200678E+000,-1
 4.5200682E+000,-1
 4.6200681E+000,-1
 4.7200680E+000,-1
 4.8200679E+000,-1
 4.9200678E+000,-1
 5.0200682E+000,-1
 5.1200681E+000,-1
 5.2200680E+000,-1
 5.3200679E+000,-1
 5.4200678E+000,-1
 5.5200682E+000,-1
 5.6200681E+000,-1
 5.7200680E+000,-1
 5.8200679E+000,-1
 5.9200678E+000,-1
 6.0200682E+000,-1
 6.1200681E+000,-1
 6.2200680E+000,-1
 6.3200679E+000,-1
 6.4200678E+000,-1
 6.5200682E+000,-1
 6.6200681E+000,-1
 6.7200680E+000,-1
 6.8200679E+000,-1
 6.9200678E+000,-1
 7.0200682E+000,-1
 7.1200681E+000,-1
 7.2200680E+000,-1
 7.3200679E+000,-1
 7.4200678E+000,-1
 7.5200682E+000,-1
 7.6200681E+000,-1
 7.7200680E+000,-1
 7.8200679E+000,-1
 7.9200678E+000,-1
 8.0200682E+000,-1
 8.1200676E+000,-1
 8.2200680E+000,-1
 8.3200684E+000,-1
 8.4200678E+000,-1
 8.5200682E+000,-1
 8.6200676E+000,-1
 8.7200680E+000,-1
 8.8200684E+000,-1
 8.9200678E+000,-1
 9.0200682E+000,-1
 9.1200676E+000,-1
 9.2200680E+000,-1
 9.3200684E+000,-1
 9.4200678E+000,-1
 9.5200682E+000,-1
 9.6200676E+000,-1
 9.7200680E+000,-1
 9.8200684E+000,-1
 9.9200678E+000,-1
 1.0020068E+001,-1
 1.0120068E+001,-1
 1.0220068E+001,-1
 1.0320068E+001,-1
 1.0420068E+001,-1
 1.0520068E+001,-1
 1.0620068E+001,-1
 1.0720068E+001,-1
 1.0820068E+001,-1
 1.0920068E+001,-1
 1.1020068E+001,-1
 1.1120068E+001,-1
 1.1220068E+001,-1
 1.1320068E+001,-1
 1.1420068E+001,-1
 1.1520068E+001,-1
 1.1620068E+001,-1
 1.1720068E+001,-1
 1.1820068E+001,-1
 1.1920068E+001,-1
 1.2020068E+001,-1
 1.2120068E+001,-1
 1.2220068E+001,-1
 1.2320068E+001,-1
 1.2420068E+001,-1
 1.2520068E+001,-1
 1.2620068E+001,-1
 1.2720068E+001,-1
 1.2820068E+001,-1
 1.2920068E+001,-1
