s,kg,kg
FDS Time,Total,HYDROGEN
 0.0000000E+000, 1.4723962E+002, 0.0000000E+000
 3.6514837E-001, 1.4723975E+002, 2.5560848E-004
 7.3029673E-001, 1.4724142E+002, 3.5650888E-003
 9.1287094E-001, 1.4724407E+002, 6.8036477E-003
 1.2780193E+000, 1.4724811E+002, 1.2115279E-002
 1.5100834E+000, 1.4725269E+002, 1.7488303E-002
 1.8413320E+000, 1.4725681E+002, 2.2146563E-002
 2.1396439E+000, 1.4726183E+002, 2.7159854E-002
 2.4379559E+000, 1.4726671E+002, 3.1891428E-002
 2.7064366E+000, 1.4727138E+002, 3.6502819E-002
 3.0455179E+000, 1.4727646E+002, 4.1686285E-002
 3.3042500E+000, 1.4728158E+002, 4.6959330E-002
 3.6052265E+000, 1.4728608E+002, 5.1448490E-002
 3.9263456E+000, 1.4729113E+002, 5.6503178E-002
 4.2451792E+000, 1.4729656E+002, 6.1943588E-002
 4.5295444E+000, 1.4730165E+002, 6.7032173E-002
 4.8139095E+000, 1.4730639E+002, 7.1778684E-002
 5.1456685E+000, 1.4731152E+002, 7.6928864E-002
 5.4300337E+000, 1.4731665E+002, 8.2063870E-002
 5.7143989E+000, 1.4732138E+002, 8.6793135E-002
 6.0461583E+000, 1.4732650E+002, 9.1918253E-002
 6.3305235E+000, 1.4733163E+002, 9.7053916E-002
 6.6148882E+000, 1.4733637E+002, 1.0180336E-001
 6.9466476E+000, 1.4734150E+002, 1.0694342E-001
 7.2310128E+000, 1.4734662E+002, 1.1207150E-001
 7.5153780E+000, 1.4735135E+002, 1.1680508E-001
 7.8471370E+000, 1.4735648E+002, 1.2194250E-001
 8.1315022E+000, 1.4736161E+002, 1.2708311E-001
 8.4158678E+000, 1.4736634E+002, 1.3182325E-001
 8.7002325E+000, 1.4737107E+002, 1.3655658E-001
 9.0319920E+000, 1.4737619E+002, 1.4168112E-001
 9.3163567E+000, 1.4738132E+002, 1.4680842E-001
 9.6007223E+000, 1.4738605E+002, 1.5154629E-001
 9.9324808E+000, 1.4739118E+002, 1.5669180E-001
 1.0216846E+001, 1.4739631E+002, 1.6184018E-001
 1.0501211E+001, 1.4740104E+002, 1.6658658E-001
 1.0832971E+001, 1.4740617E+002, 1.7172594E-001
 1.1117335E+001, 1.4741130E+002, 1.7685400E-001
 1.1401701E+001, 1.4741603E+002, 1.8158347E-001
 1.1733460E+001, 1.4742115E+002, 1.8670956E-001
 1.2017825E+001, 1.4742627E+002, 1.9183951E-001
 1.2302191E+001, 1.4743101E+002, 1.9658613E-001
 1.2633949E+001, 1.4743614E+002, 2.0172713E-001
 1.2918315E+001, 1.4744126E+002, 2.0685416E-001
 1.3202680E+001, 1.4744599E+002, 2.1158041E-001
 1.3534439E+001, 1.4745111E+002, 2.1670568E-001
 1.3818804E+001, 1.4745624E+002, 2.2184357E-001
 1.4103169E+001, 1.4746098E+002, 2.2659733E-001
 1.4434929E+001, 1.4746611E+002, 2.3174693E-001
 1.4719294E+001, 1.4747123E+002, 2.3687969E-001
 1.5003659E+001, 1.4747596E+002, 2.4160978E-001
 1.5335418E+001, 1.4748109E+002, 2.4675405E-001
 1.5619783E+001, 1.4748623E+002, 2.5191725E-001
 1.5904148E+001, 1.4749096E+002, 2.5666677E-001
 1.6235909E+001, 1.4749609E+002, 2.6179103E-001
 1.6520273E+001, 1.4750121E+002, 2.6691583E-001
 1.6804638E+001, 1.4750594E+002, 2.7165606E-001
 1.7136396E+001, 1.4751107E+002, 2.7679847E-001
 1.7420763E+001, 1.4751620E+002, 2.8193081E-001
 1.7705128E+001, 1.4752092E+002, 2.8665748E-001
 1.8036886E+001, 1.4752605E+002, 2.9178851E-001
 1.8321251E+001, 1.4753118E+002, 2.9694038E-001
 1.8605618E+001, 1.4753592E+002, 3.0170182E-001
 1.8937376E+001, 1.4754105E+002, 3.0683829E-001
 1.9221741E+001, 1.4754617E+002, 3.1195027E-001
 1.9506105E+001, 1.4755089E+002, 3.1666881E-001
 1.9837866E+001, 1.4755602E+002, 3.2180324E-001
 2.0122231E+001, 1.4756115E+002, 3.2695182E-001
 2.0406595E+001, 1.4756588E+002, 3.3169797E-001
 2.0738356E+001, 1.4757101E+002, 3.3683222E-001
 2.1022720E+001, 1.4757613E+002, 3.4195763E-001
 2.1307085E+001, 1.4758086E+002, 3.4669066E-001
 2.1638845E+001, 1.4758599E+002, 3.5183328E-001
 2.1923210E+001, 1.4759112E+002, 3.5697942E-001
 2.2207575E+001, 1.4759586E+002, 3.6171921E-001
 2.2539333E+001, 1.4760098E+002, 3.6684601E-001
 2.2823700E+001, 1.4760610E+002, 3.7197385E-001
 2.3108065E+001, 1.4761083E+002, 3.7671032E-001
 2.3439823E+001, 1.4761596E+002, 3.8184459E-001
 2.3724188E+001, 1.4762109E+002, 3.8698352E-001
 2.4008554E+001, 1.4762582E+002, 3.9172891E-001
 2.4340313E+001, 1.4763095E+002, 3.9686362E-001
 2.4624678E+001, 1.4763608E+002, 4.0199426E-001
 2.4909042E+001, 1.4764081E+002, 4.0673398E-001
 2.5240803E+001, 1.4764594E+002, 4.1187359E-001
 2.5525167E+001, 1.4765107E+002, 4.1701396E-001
 2.5809532E+001, 1.4765580E+002, 4.2175333E-001
 2.6141293E+001, 1.4766092E+002, 4.2687527E-001
 2.6425657E+001, 1.4766604E+002, 4.3199528E-001
 2.6728979E+001, 1.4767091E+002, 4.3686763E-001
 2.7041782E+001, 1.4767610E+002, 4.4208259E-001
 2.7302450E+001, 1.4768088E+002, 4.4687057E-001
 2.7615252E+001, 1.4768565E+002, 4.5164796E-001
 2.7928053E+001, 1.4769085E+002, 4.5686126E-001
 2.8240854E+001, 1.4769606E+002, 4.6207894E-001
 2.8501522E+001, 1.4770083E+002, 4.6685563E-001
 2.8814323E+001, 1.4770560E+002, 4.7162334E-001
 2.9127125E+001, 1.4771080E+002, 4.7683154E-001
 2.9439928E+001, 1.4771600E+002, 4.8204656E-001
 2.9700596E+001, 1.4772077E+002, 4.8681868E-001
 3.0013397E+001, 1.4772554E+002, 4.9158462E-001
 3.0326199E+001, 1.4773074E+002, 4.9678929E-001
 3.0639000E+001, 1.4773594E+002, 5.0199268E-001
 3.0951801E+001, 1.4774115E+002, 5.0722821E-001
 3.1212469E+001, 1.4774594E+002, 5.1204417E-001
