m,m/s
U0.10-z,U0.10
 4.6875000E-003, 3.0141468E-001
 1.4062500E-002, 7.4298825E-001
 2.3437500E-002, 9.1768323E-001
 3.2812500E-002, 9.6825555E-001
 4.2187500E-002, 9.8011147E-001
 5.1562500E-002, 9.8313820E-001
 6.0937500E-002, 9.8476359E-001
 7.0312500E-002, 9.8627530E-001
 7.9687500E-002, 9.8775551E-001
 8.9062500E-002, 9.8914299E-001
 9.8437500E-002, 9.9039510E-001
 1.0781250E-001, 9.9149526E-001
 1.1718750E-001, 9.9244351E-001
 1.2656250E-001, 9.9324903E-001
 1.3593750E-001, 9.9392547E-001
 1.4531250E-001, 9.9448822E-001
 1.5468750E-001, 9.9495288E-001
 1.6406250E-001, 9.9533450E-001
 1.7343750E-001, 9.9564728E-001
 1.8281250E-001, 9.9590453E-001
 1.9218750E-001, 9.9611889E-001
 2.0156250E-001, 9.9630272E-001
 2.1093750E-001, 9.9646859E-001
 2.2031250E-001, 9.9662996E-001
 2.2968750E-001, 9.9680193E-001
 2.3906250E-001, 9.9700202E-001
 2.4843750E-001, 9.9725045E-001
 2.5781250E-001, 9.9756914E-001
 2.6718750E-001, 9.9797607E-001
 2.7656250E-001, 9.9845210E-001
 2.8593750E-001, 9.9868115E-001
 2.9531250E-001, 9.9700691E-001
