Re_H,f
   0.583E+05,   0.215E-01
   0.589E+05,   0.211E-01
   0.576E+05,   0.221E-01
   0.100E+08,   0.726E-02
   0.850E+07,   0.101E-01
   0.104E+08,   0.672E-02
   0.760E+06,   0.127E-01
   0.747E+06,   0.131E-01
   0.772E+06,   0.123E-01
   0.164E+03,   0.142E+00
   0.162E+03,   0.146E+00
   0.170E+03,   0.133E+00
