Time,uv
0,0.000
1,0.395
2,0.760
3,1.074
4,1.328
5,1.523
6,1.667
7,1.771
8,1.843
9,1.894
10,1.928
11,1.951
12,1.967
13,1.978
14,1.985
15,1.990
16,1.993
17,1.996
18,1.997
19,1.998
20,1.999
