s,status
Time,"Total"
 0.0000000E+000,-1
 1.1000000E-001,-1
 2.0000000E-001,-1
 3.0000001E-001,-1
 4.0000001E-001,-1
 5.0000000E-001,-1
 6.0000002E-001,-1
 6.9999999E-001,-1
 8.0000001E-001,-1
 8.9999998E-001,-1
 1.0000000E+000,-1
 1.1000000E+000,-1
 1.2000000E+000,-1
 1.3000000E+000,-1
 1.4000000E+000,-1
 1.5000000E+000,-1
 1.6000000E+000,-1
 1.7000000E+000,-1
 1.8000000E+000,-1
 1.9000000E+000,-1
 2.0000000E+000,-1
 2.1099999E+000,-1
 2.2100000E+000,-1
 2.3099999E+000,-1
 2.4100001E+000,-1
 2.5100000E+000,-1
 2.6099999E+000,-1
 2.7100000E+000,-1
 2.8099999E+000,-1
 2.9100001E+000,-1
 3.0100000E+000,-1
 3.1099999E+000,-1
 3.2100000E+000,-1
 3.3099999E+000,-1
 3.4100001E+000,-1
 3.5100000E+000,-1
 3.6099999E+000,-1
 3.7100000E+000,-1
 3.8099999E+000,-1
 3.9100001E+000,-1
 4.0100002E+000,-1
 4.1100001E+000,-1
 4.2100000E+000,-1
 4.3099999E+000,-1
 4.4099998E+000,-1
 4.5100002E+000,-1
 4.6100001E+000,-1
 4.7100000E+000,-1
 4.8099999E+000,-1
 4.9099998E+000,-1
 5.0100002E+000,-1
 5.1100001E+000,-1
 5.2100000E+000,-1
 5.3099999E+000,-1
 5.4099998E+000,-1
 5.5100002E+000,-1
 5.6100001E+000,-1
 5.7100000E+000,-1
 5.8099999E+000,-1
 5.9099998E+000,-1
 6.0100002E+000,-1
 6.1100001E+000,-1
 6.2100000E+000,-1
 6.3099999E+000,-1
 6.4099998E+000,-1
 6.5100002E+000,-1
 6.6100001E+000,-1
 6.7100000E+000,-1
 6.8099999E+000,-1
 6.9099998E+000,-1
 7.0100002E+000,-1
 7.1100001E+000,-1
 7.2100000E+000,-1
 7.3099999E+000,-1
 7.4099998E+000,-1
 7.5100002E+000,-1
 7.6100001E+000,-1
 7.7100000E+000,-1
 7.8099999E+000,-1
 7.9099998E+000,-1
 8.0100002E+000,-1
 8.1099997E+000,-1
 8.2100000E+000,-1
 8.3100004E+000,-1
 8.4099998E+000,-1
 8.5100002E+000,-1
 8.6099997E+000,-1
 8.7100000E+000,-1
 8.8100004E+000,-1
 8.9099998E+000,-1
 9.0100002E+000,-1
 9.1099997E+000,-1
 9.2100000E+000,-1
 9.3100004E+000,-1
 9.4099998E+000,-1
 9.5100002E+000,-1
 9.6099997E+000,-1
 9.7100000E+000,-1
 9.8100004E+000,-1
 9.9099998E+000,-1
 1.0010000E+001,-1
 1.0110000E+001,-1
 1.0210000E+001,-1
 1.0310000E+001,-1
 1.0410000E+001,-1
 1.0510000E+001,-1
 1.0610000E+001,-1
 1.0710000E+001,-1
 1.0810000E+001,-1
 1.0910000E+001,-1
 1.1010000E+001,-1
 1.1110000E+001,-1
 1.1210000E+001,-1
 1.1310000E+001,-1
 1.1410000E+001,-1
 1.1510000E+001,-1
 1.1610000E+001,-1
 1.1710000E+001,-1
 1.1810000E+001,-1
 1.1910000E+001,-1
 1.2010000E+001,-1
 1.2110000E+001,-1
 1.2210000E+001,-1
 1.2310000E+001,-1
 1.2410000E+001,-1
 1.2510000E+001,-1
 1.2610000E+001,-1
 1.2710000E+001,-1
 1.2810000E+001,-1
 1.2910000E+001,-1
