m,m/s
U0.1-z,U0.1
 9.3750000E-003, 7.2826182E-001
 2.8125000E-002, 9.4669039E-001
 4.6875000E-002, 9.7751632E-001
 6.5625000E-002, 9.8487006E-001
 8.4375000E-002, 9.8904720E-001
 1.0312500E-001, 9.9196863E-001
 1.2187500E-001, 9.9401317E-001
 1.4062500E-001, 9.9543115E-001
 1.5937500E-001, 9.9641460E-001
 1.7812500E-001, 9.9710682E-001
 1.9687500E-001, 9.9761540E-001
 2.1562500E-001, 9.9802619E-001
 2.3437500E-001, 9.9841697E-001
 2.5312500E-001, 9.9886868E-001
 2.7187500E-001, 9.9940983E-001
 2.9062500E-001, 9.9783222E-001
