s,m/s,m/s,kg/m/s,kg/m3
FDS Time,"Device_1","Device_2","Device_3","Device_4"
 0.0000000E+000,-3.2526065E-019,-1.8352253E-002, 2.4990405E-002, 1.1984476E+000
 5.8951169E-002, 2.9503854E-002, 2.7022726E-002, 2.4990405E-002, 1.1984476E+000
 1.0316455E-001, 6.9354382E-002, 7.4632714E-002, 2.4990405E-002, 1.1984476E+000
 1.6211571E-001, 1.0779929E-001, 1.1807604E-001, 2.4990405E-002, 1.1984476E+000
 2.0632909E-001, 1.4527589E-001, 1.6111088E-001, 2.4990405E-002, 1.1984476E+000
 2.5054246E-001, 1.7669653E-001, 1.9793938E-001, 2.4990405E-002, 1.1984476E+000
 3.0949363E-001, 2.1263577E-001, 2.4089234E-001, 2.4990405E-002, 1.1984476E+000
 3.5370702E-001, 2.4792253E-001, 2.8384200E-001, 2.4990405E-002, 1.1984476E+000
 4.1265818E-001, 2.8255040E-001, 3.2678993E-001, 2.4990405E-002, 1.1984476E+000
 4.5687157E-001, 3.1662156E-001, 3.6973262E-001, 2.4990405E-002, 1.1984476E+000
 5.0108492E-001, 3.4537570E-001, 4.0652969E-001, 2.4990405E-002, 1.1984476E+000
 5.6003612E-001, 3.7842645E-001, 4.4943498E-001, 2.4990405E-002, 1.1984476E+000
 6.0424948E-001, 4.1100440E-001, 4.9230183E-001, 2.4990405E-002, 1.1984476E+000
 6.6320062E-001, 4.4308586E-001, 5.3510753E-001, 2.4990405E-002, 1.1984476E+000
 7.0741403E-001, 4.7473477E-001, 5.7783892E-001, 2.4990405E-002, 1.1984476E+000
 7.5162739E-001, 5.0150494E-001, 6.1438650E-001, 2.4990405E-002, 1.1984476E+000
 8.1057858E-001, 5.3233471E-001, 6.5691282E-001, 2.4990405E-002, 1.1984476E+000
 8.5479194E-001, 5.6277490E-001, 6.9930816E-001, 2.4990405E-002, 1.1984476E+000
 9.1374314E-001, 5.9280002E-001, 7.4153814E-001, 2.4990405E-002, 1.1984476E+000
 9.5795649E-001, 6.2245900E-001, 7.8359917E-001, 2.4990405E-002, 1.1984476E+000
 1.0021698E+000, 6.4757531E-001, 8.1949261E-001, 2.4990405E-002, 1.1984476E+000
 1.0611210E+000, 6.7653053E-001, 8.6116639E-001, 2.4990405E-002, 1.1984476E+000
 1.1053344E+000, 7.0514677E-001, 9.0262395E-001, 2.4990405E-002, 1.1984476E+000
 1.1642855E+000, 7.3339909E-001, 9.4382806E-001, 2.4990405E-002, 1.1984476E+000
 1.2084990E+000, 7.6132820E-001, 9.8478876E-001, 2.4990405E-002, 1.1984476E+000
 1.2527124E+000, 7.8499608E-001, 1.0196799E+000, 2.4990405E-002, 1.1984476E+000
 1.3116635E+000, 8.1229872E-001, 1.0601211E+000, 2.4990405E-002, 1.1984476E+000
 1.3558769E+000, 8.3929731E-001, 1.1002884E+000, 2.4990405E-002, 1.1984476E+000
 1.4000902E+000, 8.6218311E-001, 1.1344758E+000, 2.4990405E-002, 1.1984476E+000
 1.4590415E+000, 8.8859037E-001, 1.1740716E+000, 2.4990405E-002, 1.1984476E+000
